cluster_id,cluster_size,computed_silhouette,computed_wcss,computed_on_zscore,saved_silhouette,saved_ch,saved_db,saved_rank_score,saved_min_cluster_size,has_saved_metrics,avg_S0_S1,avg_S1_S2,avg_S2_S3,A_strength,B_strength,C_strength,D_strength
1,25,0.5210238757346792,69.8682238559913,True,0.521,99.5761,0.6331,8.0,9,True,0.0907576,0.03733759999999998,0.1407765714285714,0.25142857142857145,0.032,0.008,0.0
2,9,0.5210238757346792,69.8682238559913,True,0.521,99.5761,0.6331,8.0,9,True,0.09979333333333329,0.5527644444444444,0.11181587301587298,0.2222222222222222,1.0,0.0,0.0
3,48,0.5210238757346792,69.8682238559913,True,0.521,99.5761,0.6331,8.0,9,True,0.19427624999999996,0.06303291666666666,0.5514044642857142,0.9523809523809524,0.09166666666666667,0.17500000000000002,0.012500000000000002
