point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,王盈新2011/石汝杰
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,戈,T,堕,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,戈,N,挼,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,戈,N,糯,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,戈,N,懦,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,戈,L,骡,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,戈,L,螺,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,戈,L,脶,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,戈,L,啰,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,戈,L,裸,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,戈,L,瘰,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,戈,L,摞,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,戈,TS,锉,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,戈,TS,莝,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,戈,TS,矬,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,戈,TS,坐,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,戈,TS,座,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,戈,TS,蓑,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,戈,TS,梭,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,戈,TS,唆,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,戈,TS,莎,o,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,戈,TS,锁,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,戈,TS,琐,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,戈,TS,唢,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,戈,K,过,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,戈,K,锅,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,戈,K,戈,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,戈,K,果,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,戈,K,裹,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,戈,K,餜,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,戈,K,过,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,戈,K,科,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,戈,K,窠,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,戈,K,棵,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,戈,K,髁,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,戈,K,蝌,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,戈,K,颗,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,戈,K,课,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,戈,K,讹,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,戈,K,卧,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,戈,Ø,火,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,戈,Ø,伙,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,戈,Ø,货,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,戈,Ø,和,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,戈,Ø,禾,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,戈,Ø,祸,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,戈,Ø,夥,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,戈,Ø,和,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,戈,Ø,倭,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,戈,Ø,踒,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,戈,Ø,窝,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,戈,Ø,涡,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,戈,Ø,莴,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,戈,Ø,涴,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,戈,Ø,瘸,ua,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,戈,Ø,靴,yø,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,戈,Ø,�,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,P,巴,o,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,P,芭,o,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,P,疤,o,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,P,笆,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,P,吧,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,P,把,o,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,P,靶,o,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,P,霸,o,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,P,欛,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,P,壩,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,P,坝,o,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,P,爸,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,P,怕,o,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,P,帕,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,P,爬,o,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,P,琶,o,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,P,杷,o,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,P,钯,o,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,P,耙,o,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,M,麻,o,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,M,痲,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,M,蟆,o,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,M,妈,a,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,M,马,o,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,M,码,o,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,M,玛,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,M,蚂,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,M,骂,o,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,N,拿,o,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,TS,茶,o,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,TS,搽,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,TS,䖳,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,TS*,楂,o,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,TS*,渣,o,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,TS*,诈,o,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,TS*,榨,o,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,TS*,炸,o,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,TS*,叉,o,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,TS*,杈,o,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,TS*,差,o,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,TS*,岔,o,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,TS*,差,o,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,TS*,茬,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,TS*,查,o,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,TS*,乍,o,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,TS*,沙,o,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,TS*,纱,o,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,TS*,痧,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,TS*,砂,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,TS*,鲨,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,TS*,裟,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,TS*,洒,a,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,TS*,厦,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,K,家,a,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,K,傢,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,K,加,a,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,K,痂,a,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,K,嘉,a,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,K,枷,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,K,袈,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,K,假,a,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,K,贾,ia,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,K,假,a,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,K,架,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,K,驾,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,K,嫁,a,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,K,稼,a,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,K,价,a,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,K,揢,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,K,牙,a,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,K,芽,a,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,K,衙,a,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,K,伢,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,K,蚜,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,K,雅,ia,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,K,砑,,,
