point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,萧山方言研究
XH02,萧山城厢,太湖片-临绍小片,,,戈,TS,梭,o,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,TS,唆,o,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,TS,莎,,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,TS,锁,o,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,TS,琐,o,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,TS,唢,,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,K,过,,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,K,锅,,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,K,戈,o,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,K,果,,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,K,裹,,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,K,餜,,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,K,过,,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,K,科,o,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,K,窠,o,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,K,棵,o,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,K,髁,,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,K,蝌,o,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,K,颗,o,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,K,课,o,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,K,讹,,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,K,卧,o,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,Ø,火,u,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,Ø,伙,u,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,Ø,货,u,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,Ø,和,o,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,Ø,禾,o,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,Ø,祸,o,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,Ø,夥,,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,Ø,和,o,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,Ø,倭,o,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,Ø,踒,,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,Ø,窝,o,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,Ø,涡,,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,Ø,莴,,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,Ø,涴,,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,Ø,瘸,,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,Ø,靴,,,
XH02,萧山城厢,太湖片-临绍小片,,,戈,Ø,�,,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,P,巴,o,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,P,芭,o,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,P,疤,o,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,P,笆,,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,P,吧,,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,P,把,o,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,P,靶,,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,P,霸,o,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,P,欛,,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,P,壩,,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,P,坝,o,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,P,爸,a,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,P,怕,a/o,文读/白读,
XH02,萧山城厢,太湖片-临绍小片,,,麻,P,帕,o,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,P,爬,o,白读,
XH02,萧山城厢,太湖片-临绍小片,,,麻,P,琶,o,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,P,杷,o,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,P,钯,,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,P,耙,o,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,M,麻,o,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,M,痲,,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,M,蟆,o,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,M,妈,o,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,M,马,o,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,M,码,o,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,M,玛,,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,M,蚂,o,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,M,骂,o,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,N,拿,a/o,文读/白读,
XH02,萧山城厢,太湖片-临绍小片,,,麻,TS,茶,o,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,TS,搽,o,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,TS,䖳,,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,TS*,楂,o,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,TS*,渣,o,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,TS*,诈,o,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,TS*,榨,o,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,TS*,炸,o,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,TS*,叉,a/o,文读/白读,
XH02,萧山城厢,太湖片-临绍小片,,,麻,TS*,杈,o,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,TS*,差,o,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,TS*,岔,a/o,文读/白读,
XH02,萧山城厢,太湖片-临绍小片,,,麻,TS*,差,o,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,TS*,茬,,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,TS*,查,o,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,TS*,乍,a,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,TS*,沙,o,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,TS*,纱,o,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,TS*,痧,,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,TS*,砂,,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,TS*,鲨,,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,TS*,裟,,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,TS*,洒,a,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,TS*,厦,a,大～,
XH02,萧山城厢,太湖片-临绍小片,,,麻,K,家,o,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,K,傢,,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,K,加,o,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,K,痂,o,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,K,嘉,o,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,K,枷,ia,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,K,袈,,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,K,假,o,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,K,贾,o,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,K,假,o,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,K,架,o,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,K,驾,ia,,
