point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,蔡华祥、万久富2010/瞿晗晔2016
NT01,南通金沙镇,太湖片-毗陵小片,,,戈,T,堕,,
NT01,南通金沙镇,太湖片-毗陵小片,,,戈,N,挼,,
NT01,南通金沙镇,太湖片-毗陵小片,,,戈,N,糯,ɤɯ,
NT01,南通金沙镇,太湖片-毗陵小片,,,戈,N,懦,,
NT01,南通金沙镇,太湖片-毗陵小片,,,戈,L,骡,,
NT01,南通金沙镇,太湖片-毗陵小片,,,戈,L,螺,ɤɯ,
NT01,南通金沙镇,太湖片-毗陵小片,,,戈,L,脶,,
NT01,南通金沙镇,太湖片-毗陵小片,,,戈,L,啰,ɤɯ,
NT01,南通金沙镇,太湖片-毗陵小片,,,戈,L,裸,ɤɯ,
NT01,南通金沙镇,太湖片-毗陵小片,,,戈,L,瘰,,
NT01,南通金沙镇,太湖片-毗陵小片,,,戈,L,摞,,
NT01,南通金沙镇,太湖片-毗陵小片,,,戈,TS,锉,ɤɯ,
NT01,南通金沙镇,太湖片-毗陵小片,,,戈,TS,莝,,
NT01,南通金沙镇,太湖片-毗陵小片,,,戈,TS,矬,,
NT01,南通金沙镇,太湖片-毗陵小片,,,戈,TS,坐,ɤɯ,
NT01,南通金沙镇,太湖片-毗陵小片,,,戈,TS,座,ɤɯ,
NT01,南通金沙镇,太湖片-毗陵小片,,,戈,TS,蓑,,
NT01,南通金沙镇,太湖片-毗陵小片,,,戈,TS,梭,ɤɯ,
NT01,南通金沙镇,太湖片-毗陵小片,,,戈,TS,唆,,
NT01,南通金沙镇,太湖片-毗陵小片,,,戈,TS,莎,,
NT01,南通金沙镇,太湖片-毗陵小片,,,戈,TS,锁,ɤɯ,
NT01,南通金沙镇,太湖片-毗陵小片,,,戈,TS,琐,,
NT01,南通金沙镇,太湖片-毗陵小片,,,戈,TS,唢,,
NT01,南通金沙镇,太湖片-毗陵小片,,,戈,K,过,ɤɯ,
NT01,南通金沙镇,太湖片-毗陵小片,,,戈,K,锅,ɤɯ,
NT01,南通金沙镇,太湖片-毗陵小片,,,戈,K,戈,,
NT01,南通金沙镇,太湖片-毗陵小片,,,戈,K,果,ɤɯ,
NT01,南通金沙镇,太湖片-毗陵小片,,,戈,K,裹,,
NT01,南通金沙镇,太湖片-毗陵小片,,,戈,K,餜,,
NT01,南通金沙镇,太湖片-毗陵小片,,,戈,K,过,ɤɯ,
NT01,南通金沙镇,太湖片-毗陵小片,,,戈,K,科,ɤɯ,
NT01,南通金沙镇,太湖片-毗陵小片,,,戈,K,窠,ɤɯ,
NT01,南通金沙镇,太湖片-毗陵小片,,,戈,K,棵,ɤɯ,
NT01,南通金沙镇,太湖片-毗陵小片,,,戈,K,髁,,
NT01,南通金沙镇,太湖片-毗陵小片,,,戈,K,蝌,,
NT01,南通金沙镇,太湖片-毗陵小片,,,戈,K,颗,ɤɯ,
NT01,南通金沙镇,太湖片-毗陵小片,,,戈,K,课,ɤɯ,
NT01,南通金沙镇,太湖片-毗陵小片,,,戈,K,讹,,
NT01,南通金沙镇,太湖片-毗陵小片,,,戈,K,卧,,
NT01,南通金沙镇,太湖片-毗陵小片,,,戈,Ø,火,ɤɯ,
NT01,南通金沙镇,太湖片-毗陵小片,,,戈,Ø,伙,,
NT01,南通金沙镇,太湖片-毗陵小片,,,戈,Ø,货,ɤɯ,
NT01,南通金沙镇,太湖片-毗陵小片,,,戈,Ø,和,ɤɯ,
NT01,南通金沙镇,太湖片-毗陵小片,,,戈,Ø,禾,,
NT01,南通金沙镇,太湖片-毗陵小片,,,戈,Ø,祸,ɤɯ,
NT01,南通金沙镇,太湖片-毗陵小片,,,戈,Ø,夥,,
NT01,南通金沙镇,太湖片-毗陵小片,,,戈,Ø,和,ɤɯ,
NT01,南通金沙镇,太湖片-毗陵小片,,,戈,Ø,倭,ɤɯ,
NT01,南通金沙镇,太湖片-毗陵小片,,,戈,Ø,踒,,
NT01,南通金沙镇,太湖片-毗陵小片,,,戈,Ø,窝,ɤɯ,
NT01,南通金沙镇,太湖片-毗陵小片,,,戈,Ø,涡,,
NT01,南通金沙镇,太湖片-毗陵小片,,,戈,Ø,莴,,
NT01,南通金沙镇,太湖片-毗陵小片,,,戈,Ø,涴,ɤɯ,
NT01,南通金沙镇,太湖片-毗陵小片,,,戈,Ø,瘸,iɑʔ,
NT01,南通金沙镇,太湖片-毗陵小片,,,戈,Ø,靴,yæ,
NT01,南通金沙镇,太湖片-毗陵小片,,,戈,Ø,�,,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,P,巴,o/uo,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,P,芭,,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,P,疤,o,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,P,笆,,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,P,吧,,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,P,把,o,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,P,靶,,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,P,霸,,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,P,欛,,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,P,壩,,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,P,坝,,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,P,爸,,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,P,怕,o/uo,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,P,帕,,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,P,爬,o/uo,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,P,琶,,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,P,杷,,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,P,钯,,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,P,耙,,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,M,麻,o,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,M,痲,,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,M,蟆,,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,M,妈,,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,M,马,o/uo,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,M,码,,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,M,玛,,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,M,蚂,,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,M,骂,,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,N,拿,ɑ,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,TS,茶,o/uo,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,TS,搽,,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,TS,䖳,,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,TS*,楂,,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,TS*,渣,,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,TS*,诈,,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,TS*,榨,uo,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,TS*,炸,,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,TS*,叉,,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,TS*,杈,,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,TS*,差,o,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,TS*,岔,uo,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,TS*,差,o,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,TS*,茬,,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,TS*,查,o/uo,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,TS*,乍,,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,TS*,沙,o/uo,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,TS*,纱,,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,TS*,痧,,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,TS*,砂,,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,TS*,鲨,,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,TS*,裟,,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,TS*,洒,,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,TS*,厦,,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,K,家,o（uo）/iɑ,白读/文读国～
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,K,傢,,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,K,加,uo,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,K,痂,,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,K,嘉,,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,K,枷,iɑ,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,K,袈,,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,K,假,iɑ,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,K,贾,uo,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,K,假,uo,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,K,架,,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,K,驾,,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,K,嫁,,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,K,稼,,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,K,价,iɑ,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,K,揢,,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,K,牙,o（uo）/iɑ,白读/文读
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,K,芽,,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,K,衙,,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,K,伢,,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,K,蚜,,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,K,雅,uo,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,K,砑,,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,Ø,虾,o（uo）/iɑ,白读/文读
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,Ø,�,,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,Ø,嚇,,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,Ø,霞,,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,Ø,瑕,,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,Ø,遐,,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,Ø,蝦,,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,Ø,下,o（uo）/iɑ,白读/文读
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,Ø,夏,,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,Ø,厦,,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,Ø,下,o（uo）/iɑ,白读/文读
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,Ø,夏,,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,Ø,暇,,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,Ø,鸦,,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,Ø,丫,,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,Ø,桠,uo,
NT01,南通金沙镇,太湖片-毗陵小片,,,麻,Ø,哑,o（uo）/iɑ,白读～子/文读～巴
