point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,俞光中1988
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,侯,K,藕,e,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,侯,K,偶,e,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,侯,K,偶,e,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,侯,Ø,吼,e,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,侯,Ø,侯,e,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,侯,Ø,喉,e,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,侯,Ø,猴,e,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,侯,Ø,瘊,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,侯,Ø,後,e,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,侯,Ø,厚,e,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,侯,Ø,后,e,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,侯,Ø,候,e,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,侯,Ø,鲎,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,侯,Ø,欧,e,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,侯,Ø,瓯,e,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,侯,Ø,区,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,侯,Ø,鸥,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,侯,Ø,呕,e,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,侯,Ø,殴,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,侯,Ø,沤,e,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,侯,Ø,怄,e,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,皆,P,拜,ɑ,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,皆,P,排,ɑ,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,皆,P,�,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,皆,M,埋,ɑ,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,皆,L,攋,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,皆,TS*,䍉,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,皆,TS*,箉,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,皆,TS*,斋,ɑ,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,皆,TS*,豺,ɛ,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,皆,K,皆,iɑ,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,皆,K,阶,ɑ,白读,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,皆,K,稭,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,皆,K,偕,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,皆,K,介,ɑ,白读,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,皆,K,界,ɑ,白读,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,皆,K,芥,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,皆,K,尬,ɑ,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,皆,K,疥,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,皆,K,届,ɑ,白读,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,皆,K,戒,ɑ,白读,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,皆,K,庎,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,皆,K,揩,ɑ,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,皆,K,楷,ɑ,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,皆,Ø,谐,iɑ,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,皆,Ø,骇,ɛ,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,皆,Ø,械,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,皆,Ø,挨,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,佳,P,摆,ɑ,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,佳,P,派,ɑ,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,佳,P,牌,ɑ,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,佳,P,簰,ɑ,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,佳,P,罢,ɑ,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,佳,P,稗,ɑ,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,佳,M,买,ɑ,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,佳,M,卖,ɑ,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,佳,N,奶,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,佳,TS*,债,ɑ,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,佳,TS*,钗,ɑ,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,佳,TS*,差,ɑ,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,佳,TS*,柴,ɑ,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,佳,TS*,筛,ɑ,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,佳,TS*,洒,ɑ,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,佳,TS*,晒,o/ɑ,/文读,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,佳,K,佳,iɑ,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,佳,K,街,ɑ,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,佳,K,解,ɑ,白读,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,佳,K,懈,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,佳,K,涯,iɑ,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,佳,K,崖,iɑ,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,佳,K,捱,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,佳,Ø,鞋,ɑ,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,佳,Ø,解,ɑ,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,佳,Ø,解,ɑ,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,佳,Ø,蟹,ɑ,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,佳,Ø,矮,ɑ,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,佳,Ø,隘,ɛ,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,咍,T,呆,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,咍,T,戴,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,咍,T,胎,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,咍,T,台,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,咍,T,奤,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,咍,T,态,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,咍,T,贷,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,咍,T,台,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,咍,T,苔,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,咍,T,抬,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,咍,T,待,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,咍,T,怠,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,咍,T,殆,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,咍,T,代,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,咍,T,袋,,,
