point_id,point_name,subbranch,core_slots,monophthong_values,monophthong_value_size,monophthong_token_count,monophthong_nuclei,monophthong_nucleus_size,monophthong_nucleus_counts,back_monophthong_values,back_monophthong_value_size,back_monophthong_token_count,back_monophthong_nuclei,back_monophthong_nucleus_size,back_monophthong_nucleus_counts,s4_slot_in_data,s4_rhyme_in_data,s4_initial,s4_value_counts,s4_total_token_count,s4_monophthong_token_count,s4_monophthong_token_share,s4_dominant_value,s4_dominant_value_class,s4_dominant_nucleus,s4_dominant_nucleus_category,s4_dominant_token_count,s4_dominant_token_share,s4_status,s4_monophthong_values,s4_monophthong_nuclei,s4_back_monophthong_nuclei,s4_diphthong_or_glide_values,s4_other_values,s4_monophthong_nuclei_in_core,s4_monophthong_nuclei_in_core_back,s4_monophthong_nuclei_not_in_core,s4_core_relation,s4_map_category,s4_has_monophthong,s4_monophthong_only,s4_half_or_more_monophthong,hao_status,hao_monophthong_token_share,hao_dominant_value,hao_core_relation,s5_has_monophthong,s5_monophthong_only,s0s1_merge_mean,s0s1_merge_median,s1s2_merge_mean,s2s3_merge_mean,onset_condition_count
JS01,嘉善魏塘镇,太湖片-苏沪嘉小片,S0+S1+S2+S3,"a, i, o, u, ɔ, ɤ, ᴇ",7,345,"a, i, o, u, ɔ, ɤ, ᴇ",7,"u(208), a(73), o(55), ᴇ(5), ɤ(2), i(1), ɔ(1)","o, u, ɔ, ɤ",4,266,"o, u, ɔ, ɤ",4,"u(208), o(55), ɤ(2), ɔ(1)",S4,侯,*əu,"ɤ(63), u(3)",66,66,1.0,ɤ,monophthong,ɤ,back_unrounded,63,0.9545454545454546,monophthong_only,"u, ɤ","u, ɤ","u, ɤ",,,"u, ɤ","u, ɤ",,all_s4_mono_in_core_back_inventory,ɤ/ɯ类单音化,True,True,True,monophthong_only,1.0,ɔ,all_hao_mono_in_core_back_inventory,True,True,0.28738,0.1871,0.0,0.6891571428571428,7
JS02,金山,太湖片-苏沪嘉小片,S0+S1+S2+S3,"i, o, u, ɑ, ɔ, ɛ, ɤ, ᴀ",8,278,"i, o, u, ɑ, ɔ, ɛ, ɤ, ᴀ",8,"u(165), ᴀ(57), o(48), ɔ(3), ɛ(2), i(1), ɤ(1), ɑ(1)","o, u, ɑ, ɔ, ɤ",5,218,"o, u, ɑ, ɔ, ɤ",5,"u(165), o(48), ɔ(3), ɤ(1), ɑ(1)",S4,侯,*əu,"ɤ(49), o(2), u(1)",52,52,1.0,ɤ,monophthong,ɤ,back_unrounded,49,0.9423076923076923,monophthong_only,"o, u, ɤ","o, u, ɤ","o, u, ɤ",,,"o, u, ɤ","o, u, ɤ",,all_s4_mono_in_core_back_inventory,ɤ/ɯ类单音化,True,True,True,monophthong_only,1.0,ɔ,all_hao_mono_in_core_back_inventory,True,True,0.21810000000000002,0.1111,0.11528000000000001,0.5311714285714285,7
JT01,金坛,太湖片-毗陵小片,S0+S1+S2+S3,"a, o, u",3,223,"a, o, u",3,"u(115), o(69), a(39)","o, u",2,184,"o, u",2,"u(115), o(69)",S4,侯,*əu,"ei(58), əu(6), ao(2), u(1)",67,1,0.014925373134328358,ei,diphthong_or_glide,,,58,0.8656716417910447,mixed_mono_and_diphthong,u,u,u,"ao, ei, əu",,u,u,,all_s4_mono_in_core_back_inventory,混合,True,False,False,diphthong_or_glide_only,0.0,ao,no_hao_monophthong,False,False,0.14892,0.1111,0.03598,0.12081428571428572,7
JW01,江湾,太湖片-苏沪嘉小片,S0+S1+S2+S3,"o, u, ɑ, ɔ, ɛ, ᴀ",6,237,"o, u, ɑ, ɔ, ɛ, ᴀ",6,"u(156), ɑ(41), o(32), ᴀ(4), ɔ(3), ɛ(1)","o, u, ɑ, ɔ",4,232,"o, u, ɑ, ɔ",4,"u(156), ɑ(41), o(32), ɔ(3)",S4,侯,*əu,"ɤɯ(47), u(2)",49,2,0.04081632653061224,ɤɯ,diphthong_or_glide,,,47,0.9591836734693877,mixed_mono_and_diphthong,u,u,u,ɤɯ,,u,u,,all_s4_mono_in_core_back_inventory,混合,True,False,False,monophthong_only,1.0,ɔ,all_hao_mono_in_core_back_inventory,True,True,0.16078,0.1111,0.0,0.48295714285714286,7
JX01,嘉兴城区,太湖片-苏沪嘉小片,S0+S1+S2+S3,"e, o, u, ɑ, ɛ",5,264,"e, o, u, ɑ, ɛ",5,"u(169), ɑ(49), o(42), ɛ(3), e(1)","o, u, ɑ",3,260,"o, u, ɑ",3,"u(169), ɑ(49), o(42)",S4,侯,*əu,"e(50), u(3), o(1)",54,54,1.0,e,monophthong,e,e_like,50,0.9259259259259259,monophthong_only,"e, o, u","e, o, u","o, u",,,"e, o, u","o, u",,all_s4_mono_in_core_inventory,e类单音化,True,True,True,monophthong_only,1.0,ɔ,hao_mono_outside_core_inventory,True,True,0.17092000000000002,0.1111,0.0,0.45594285714285715,7
JY01,江阴城区澄江镇,太湖片-毗陵小片,S0+S1+S2+S3,"a, o, u, æ, ɒ",5,192,"a, o, u, æ, ɒ",5,"u(79), o(48), a(32), æ(32), ɒ(1)","o, u, ɒ",3,128,"o, u, ɒ",3,"u(79), o(48), ɒ(1)",S4,侯,*əu,"ei(59), əɯ(9), ɒ(2), u(1)",71,3,0.04225352112676056,ei,diphthong_or_glide,,,59,0.8309859154929577,mixed_mono_and_diphthong,"u, ɒ","u, ɒ","u, ɒ","ei, əɯ",,"u, ɒ","u, ɒ",,all_s4_mono_in_core_back_inventory,混合,True,False,False,monophthong_only,1.0,ɒ,all_hao_mono_in_core_back_inventory,True,True,0.08376,0.0,0.0073999999999999995,0.48795714285714287,7
KQ01,柯桥城关,太湖片-临绍小片,S0+S1+S2+S3,"a, e, o, u, y, ɒ",6,369,"a, e, o, u, y, ɒ",6,"o(165), u(142), a(57), y(2), e(2), ɒ(1)","o, u, ɒ",3,308,"o, u, ɒ",3,"o(165), u(142), ɒ(1)",S4,侯,*əu,"ɤ(50), iɤ(17), o(3), u(2)",72,55,0.7638888888888888,ɤ,monophthong,ɤ,back_unrounded,50,0.6944444444444444,mixed_mono_and_diphthong,"o, u, ɤ","o, u, ɤ","o, u, ɤ",iɤ,,"o, u","o, u",ɤ,partial_s4_mono_in_core_inventory,混合,True,False,True,monophthong_only,1.0,ɒ,all_hao_mono_in_core_inventory,True,True,0.12482,0.1637,0.64494,0.11538571428571429,7
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,S0+S1+S2+S3,"a, o, u, ɛ",4,141,"a, o, u, ɛ",4,"o(61), a(50), u(27), ɛ(3)","o, u",2,88,"o, u",2,"o(61), u(27)",S4,侯,*əu,"ei(58), o(2), m(1)",61,2,0.03278688524590164,ei,diphthong_or_glide,,,58,0.9508196721311475,mixed_with_other,o,o,o,ei,m,o,o,,all_s4_mono_in_core_back_inventory,混合,True,False,False,monophthong_only,1.0,ɔ,hao_mono_outside_core_inventory,True,True,0.19586,0.1111,0.12362,0.6648714285714286,7
LA01,临安城区,太湖片-临绍小片,S0+S1+S2+S3,"a, o, u",3,304,"a, o, u",3,"o(134), u(115), a(55)","o, u",2,249,"o, u",2,"o(134), u(115)",S4,侯,*əu,"ø(62), u(2), ɔ(2), o(1)",67,67,1.0,ø,monophthong,ø,front_rounded,62,0.9253731343283582,monophthong_only,"o, u, ø, ɔ","o, u, ø, ɔ","o, u, ɔ",,,"o, u","o, u","ø, ɔ",partial_s4_mono_in_core_inventory,ø/ɵ/y类单音化,True,True,True,monophthong_only,1.0,ɔ,hao_mono_outside_core_inventory,True,True,0.17852,0.1111,0.48292,0.15902857142857144,7
LP01,临平五杭,太湖片-苕溪小片,S0+S1+S2+S3,"a, o, oŋ, u, y, ɛ",6,262,"a, o, u, y, ɛ",5,"u(187), a(53), o(20), y(1), ɛ(1)","o, oŋ, u",3,207,"o, u",2,"u(187), o(20)",S4,侯,*əu,"ø(49), u(5), ɔ(2), m(1), i(1)",58,57,0.9827586206896551,ø,monophthong,ø,front_rounded,49,0.8448275862068966,mixed_with_other,"i, u, ø, ɔ","i, u, ø, ɔ","u, ɔ",,m,u,u,"i, ø, ɔ",partial_s4_mono_in_core_inventory,混合,True,False,True,monophthong_only,1.0,ɔ,hao_mono_outside_core_inventory,True,True,0.22749999999999998,0.1667,0.0,0.5834714285714285,7
LT01,练塘,太湖片-苏沪嘉小片,S0+S1+S2+S3,"a, o, u, ɔ",4,237,"a, o, u, ɔ",4,"u(154), a(48), o(34), ɔ(1)","o, u, ɔ",3,189,"o, u, ɔ",3,"u(154), o(34), ɔ(1)",S4,侯,*əu,"ɯ(47), u(2)",49,49,1.0,ɯ,monophthong,ɯ,back_unrounded,47,0.9591836734693877,monophthong_only,"u, ɯ","u, ɯ","u, ɯ",,,u,u,ɯ,partial_s4_mono_in_core_inventory,ɤ/ɯ类单音化,True,True,True,monophthong_only,1.0,ɔ,all_hao_mono_in_core_back_inventory,True,True,0.14404,0.1111,0.0,0.4705142857142857,7
LY01,溧阳,太湖片-毗陵小片,S0+S1+S2+S3,"o, u, ɔ, ᴀ",4,107,"o, u, ɔ, ᴀ",4,"u(46), ᴀ(30), o(30), ɔ(1)","o, u, ɔ",3,77,"o, u, ɔ",3,"u(46), o(30), ɔ(1)",S4,侯,*əu,"ei(23), i(6), ʌɯ(5)",34,6,0.17647058823529413,ei,diphthong_or_glide,,,23,0.6764705882352942,mixed_mono_and_diphthong,i,i,,"ei, ʌɯ",,,,i,s4_mono_outside_core_inventory,混合,True,False,False,diphthong_or_glide_only,0.0,ɑɤ,no_hao_monophthong,False,False,0.03628,0.0,0.0,0.028571428571428574,7
MH01,闵行,太湖片-苏沪嘉小片,S0+S1+S2+S3,"a, o, u, ɑ, ɔ, ɛ, ɤ",7,254,"a, o, u, ɑ, ɔ, ɛ, ɤ",7,"u(164), a(46), o(36), ɔ(4), ɛ(2), ɤ(1), ɑ(1)","o, u, ɑ, ɔ, ɤ",5,206,"o, u, ɑ, ɔ, ɤ",5,"u(164), o(36), ɔ(4), ɤ(1), ɑ(1)",S4,侯,*əu,"ɤ(49), u(2), ɔ(2)",53,53,1.0,ɤ,monophthong,ɤ,back_unrounded,49,0.9245283018867925,monophthong_only,"u, ɔ, ɤ","u, ɔ, ɤ","u, ɔ, ɤ",,,"u, ɔ, ɤ","u, ɔ, ɤ",,all_s4_mono_in_core_back_inventory,ɤ/ɯ类单音化,True,True,True,monophthong_only,1.0,ɔ,all_hao_mono_in_core_back_inventory,True,True,0.1431,0.0789,0.12,0.5132714285714286,7
NB01,宁波市区,太湖片-甬江小片,S0+S1+S2+S3,"a, o, u, ø",4,202,"a, o, u, ø",4,"u(97), o(58), a(46), ø(1)","o, u",2,155,"o, u",2,"u(97), o(58)",S4,侯,*əu,"œʏ(43), u(1), əu(1)",45,1,0.022222222222222223,œʏ,diphthong_or_glide,,,43,0.9555555555555556,mixed_mono_and_diphthong,u,u,u,"œʏ, əu",,u,u,,all_s4_mono_in_core_back_inventory,混合,True,False,False,monophthong_only,1.0,ɔ,hao_mono_outside_core_inventory,True,True,0.0784,0.0526,0.02942,0.07347142857142856,7
NH01,南汇惠南镇,太湖片-苏沪嘉小片,S0+S1+S2+S3,"a, o, u, ɔ, ɛ",5,283,"a, o, u, ɔ, ɛ",5,"u(178), a(57), o(35), ɔ(7), ɛ(6)","o, u, ɔ",3,220,"o, u, ɔ",3,"u(178), o(35), ɔ(7)",S4,侯,*əu,"ɤ(60), u(3), ɔ(2)",65,65,1.0,ɤ,monophthong,ɤ,back_unrounded,60,0.9230769230769231,monophthong_only,"u, ɔ, ɤ","u, ɔ, ɤ","u, ɔ, ɤ",,,"u, ɔ","u, ɔ",ɤ,partial_s4_mono_in_core_inventory,ɤ/ɯ类单音化,True,True,True,monophthong_only,1.0,ɔ,all_hao_mono_in_core_back_inventory,True,True,0.15774000000000002,0.1111,0.0,0.5534714285714285,7
NT01,南通金沙镇,太湖片-毗陵小片,S0+S1+S2+S3,"o, u, æ, ɑ",4,108,"o, u, æ, ɑ",4,"u(60), æ(26), o(12), ɑ(10)","o, u, ɑ",3,82,"o, u, ɑ",3,"u(60), o(12), ɑ(10)",S4,侯,*əu,"ᴇ(26), ə(2), u(1)",29,29,1.0,ᴇ,monophthong,ᴇ,e_like,26,0.896551724137931,monophthong_only,"u, ə, ᴇ","u, ə, ᴇ",u,,,u,u,"ə, ᴇ",partial_s4_mono_in_core_inventory,e类单音化,True,True,True,monophthong_only,1.0,ə,hao_mono_outside_core_inventory,True,True,0.0,0.0,0.0,0.04562857142857143,7
PB01,彭埠镇,太湖片-杭州小片,S0+S1+S2+S3,"a, o, u, ø",4,259,"a, o, u, ø",4,"o(119), u(112), a(27), ø(1)","o, u",2,231,"o, u",2,"o(119), u(112)",S4,侯,*əu,"ø(29), io(11), o(4), uo(1), ɔ(1)",46,34,0.7391304347826086,ø,monophthong,ø,front_rounded,29,0.6304347826086957,mixed_mono_and_diphthong,"o, ø, ɔ","o, ø, ɔ","o, ɔ","io, uo",,"o, ø",o,ɔ,partial_s4_mono_in_core_inventory,混合,True,False,True,monophthong_only,1.0,ɔ,hao_mono_outside_core_inventory,True,True,0.10507999999999999,0.1111,0.44692,0.12184285714285714,7
PH01,平湖城关,太湖片-苏沪嘉小片,S0+S1+S2+S3,"a, o, u",3,277,"a, o, u",3,"u(170), a(56), o(51)","o, u",2,221,"o, u",2,"u(170), o(51)",S4,侯,*əu,əw(60),60,0,0.0,əw,diphthong_or_glide,,,60,1.0,diphthong_or_glide_only,,,,əw,,,,,no_s4_monophthong,未单音化,False,False,False,mixed_mono_and_diphthong,0.9878048780487804,ɔ,partial_hao_mono_in_core_inventory,True,False,0.1618,0.0789,0.12,0.5971142857142857,7
QD01,启东吕四,太湖片-毗陵小片,S0+S1+S2+S3,"a, o, u, ɛ, ɤ",5,275,"a, o, u, ɛ, ɤ",5,"ɤ(119), u(102), a(37), o(12), ɛ(5)","o, u, ɤ",3,233,"o, u, ɤ",3,"ɤ(119), u(102), o(12)",S4,侯,*əu,"ei(57), ɤ(2), ie(1)",60,2,0.03333333333333333,ei,diphthong_or_glide,,,57,0.95,mixed_mono_and_diphthong,ɤ,ɤ,ɤ,"ei, ie",,ɤ,ɤ,,all_s4_mono_in_core_back_inventory,混合,True,False,False,monophthong_only,1.0,ɔ,hao_mono_outside_core_inventory,True,True,0.1085,0.1111,0.25966,0.16297142857142857,7
QP01,青浦商榻,太湖片-苏沪嘉小片,S0+S1+S2+S3,"u, ɐ, ɒ, ɛ, ʊ",5,190,"u, ɐ, ɒ, ɛ, ʊ",5,"u(65), ʊ(63), ɒ(59), ɛ(2), ɐ(1)","u, ɒ, ʊ",3,187,"u, ɒ, ʊ",3,"u(65), ʊ(63), ɒ(59)",S4,侯,*əu,"iəu(50), əu(6), ø(1), ɐ(1), u(1)",59,3,0.05084745762711865,iəu,diphthong_or_glide,,,50,0.847457627118644,mixed_mono_and_diphthong,"u, ø, ɐ","u, ø, ɐ",u,"iəu, əu",,"u, ɐ",u,ø,partial_s4_mono_in_core_inventory,混合,True,False,False,monophthong_only,1.0,ɐ,all_hao_mono_in_core_inventory,True,True,0.23632,0.1667,0.13198,0.5273571428571429,7
SH01,上海市区,太湖片-苏沪嘉小片,S0+S1+S2+S3,"i, o, u, ɔ, ᴀ, ᴇ",6,376,"i, o, u, ɔ, ᴀ, ᴇ",6,"u(232), o(69), ᴀ(68), ᴇ(5), i(1), ɔ(1)","o, u, ɔ",3,302,"o, u, ɔ",3,"u(232), o(69), ɔ(1)",S4,侯,*əu,"ɤ(71), u(5), ɔ(2)",78,78,1.0,ɤ,monophthong,ɤ,back_unrounded,71,0.9102564102564102,monophthong_only,"u, ɔ, ɤ","u, ɔ, ɤ","u, ɔ, ɤ",,,"u, ɔ","u, ɔ",ɤ,partial_s4_mono_in_core_inventory,ɤ/ɯ类单音化,True,True,True,monophthong_only,1.0,ɔ,all_hao_mono_in_core_back_inventory,True,True,0.23844000000000004,0.1111,0.09876,0.7852714285714286,7
SJ01,松江镇,太湖片-苏沪嘉小片,S0+S1+S2+S3,"e, o, u, ɑ, ɔ, ɛ",6,382,"e, o, u, ɑ, ɔ, ɛ",6,"u(221), ɑ(81), o(69), ɔ(9), ɛ(1), e(1)","o, u, ɑ, ɔ",4,380,"o, u, ɑ, ɔ",4,"u(221), ɑ(81), o(69), ɔ(9)",S4,侯,*əu,"ɯ(71), o(2), u(2)",75,75,1.0,ɯ,monophthong,ɯ,back_unrounded,71,0.9466666666666667,monophthong_only,"o, u, ɯ","o, u, ɯ","o, u, ɯ",,,"o, u","o, u",ɯ,partial_s4_mono_in_core_inventory,ɤ/ɯ类单音化,True,True,True,monophthong_only,1.0,ɔ,partial_hao_mono_in_core_inventory,True,True,0.27914000000000005,0.2368,0.133,0.7703714285714286,7
SJ02,泗泾,太湖片-苏沪嘉小片,S0+S1+S2+S3,"i, o, u, ɑ",4,208,"i, o, u, ɑ",4,"u(118), ɑ(48), o(41), i(1)","o, u, ɑ",3,207,"o, u, ɑ",3,"u(118), ɑ(48), o(41)",S4,侯,*əu,"ɯ(47), u(2)",49,49,1.0,ɯ,monophthong,ɯ,back_unrounded,47,0.9591836734693877,monophthong_only,"u, ɯ","u, ɯ","u, ɯ",,,u,u,ɯ,partial_s4_mono_in_core_inventory,ɤ/ɯ类单音化,True,True,True,monophthong_only,1.0,ɔ,hao_mono_outside_core_inventory,True,True,0.18416000000000002,0.1111,0.0,0.35987142857142856,7
SL01,三林,太湖片-苏沪嘉小片,S0+S1+S2+S3,"e, o, u, ɔ, ɤ, ᴀ",6,230,"e, o, u, ɔ, ɤ, ᴀ",6,"u(154), ᴀ(48), o(22), ɔ(4), ɤ(1), e(1)","o, u, ɔ, ɤ",4,181,"o, u, ɔ, ɤ",4,"u(154), o(22), ɔ(4), ɤ(1)",S4,侯,*əu,"ɤ(45), e(2), u(2)",49,49,1.0,ɤ,monophthong,ɤ,back_unrounded,45,0.9183673469387755,monophthong_only,"e, u, ɤ","e, u, ɤ","u, ɤ",,,"e, u, ɤ","u, ɤ",,all_s4_mono_in_core_inventory,ɤ/ɯ类单音化,True,True,True,monophthong_only,1.0,ɔ,all_hao_mono_in_core_back_inventory,True,True,0.13413999999999998,0.1111,0.0,0.47237142857142855,7
SX01,绍兴城区东头埭,太湖片-临绍小片,S0+S1+S2+S3,"a, o, u, ɒ",4,387,"a, o, u, ɒ",4,"o(186), u(148), a(52), ɒ(1)","o, u, ɒ",3,335,"o, u, ɒ",3,"o(186), u(148), ɒ(1)",S4,侯,*əu,"ɤ(68), u(4), o(1)",73,73,1.0,ɤ,monophthong,ɤ,back_unrounded,68,0.9315068493150684,monophthong_only,"o, u, ɤ","o, u, ɤ","o, u, ɤ",,,"o, u","o, u",ɤ,partial_s4_mono_in_core_inventory,ɤ/ɯ类单音化,True,True,True,monophthong_only,1.0,ɒ,partial_hao_mono_in_core_inventory,True,True,0.10206,0.1111,0.69228,0.15164285714285716,7
SY02,上虞百官镇,太湖片-临绍小片,S0+S1+S2+S3,"o, u, y, ɐ, ᴇ",5,308,"o, u, y, ɐ, ᴇ",5,"o(136), u(114), ɐ(46), y(10), ᴇ(2)","o, u",2,250,"o, u",2,"o(136), u(114)",S4,侯,*əu,"ə(63), u(2), ɔ(2), o(1), iə(1)",69,68,0.9855072463768116,ə,monophthong,ə,central,63,0.9130434782608695,mixed_mono_and_diphthong,"o, u, ɔ, ə","o, u, ɔ, ə","o, u, ɔ",iə,,"o, u","o, u","ɔ, ə",partial_s4_mono_in_core_inventory,混合,True,False,True,monophthong_only,1.0,ɔ,hao_mono_outside_core_inventory,True,True,0.08349999999999999,0.0625,0.54868,0.04874285714285714,7
SZ01,苏州城区,太湖片-苏沪嘉小片,S0+S1+S2+S3,"i, o, ɑ, ɪ, ᴇ",5,140,"i, o, ɑ, ɪ, ᴇ",5,"o(67), ɑ(65), ɪ(4), ᴇ(3), i(1)","o, ɑ",2,132,"o, ɑ",2,"o(67), ɑ(65)",S4,侯,*əu,"øʏ(69), æ(3), o(2), ø(1), v(1)",76,6,0.07894736842105263,øʏ,diphthong_or_glide,,,69,0.9078947368421053,mixed_with_other,"o, æ, ø","o, æ, ø",o,øʏ,v,o,o,"æ, ø",partial_s4_mono_in_core_inventory,混合,True,False,False,monophthong_only,1.0,æ,hao_mono_outside_core_inventory,True,True,0.23959999999999998,0.1667,0.15694,0.7483571428571428,7
SZ02,嵊州长乐,太湖片-临绍小片,S0+S1+S2+S3,"a, i, o, u, ɔ, ᴇ",6,322,"a, i, o, u, ɔ, ᴇ",6,"u(109), o(95), ɔ(65), a(51), i(1), ᴇ(1)","o, u, ɔ",3,269,"o, u, ɔ",3,"u(109), o(95), ɔ(65)",S4,侯,*əu,"øy(52), iøy(10), o(4), ɒ(2)",68,6,0.08823529411764706,øy,diphthong_or_glide,,,52,0.7647058823529411,mixed_mono_and_diphthong,"o, ɒ","o, ɒ","o, ɒ","iøy, øy",,o,o,ɒ,partial_s4_mono_in_core_inventory,混合,True,False,False,monophthong_only,1.0,ɒ,hao_mono_outside_core_inventory,True,True,0.06358,0.0526,0.10851999999999999,0.12472857142857142,7
SZ03,嵊州崇仁镇,太湖片-临绍小片,S0+S1+S2+S3,"a, e, u, ɤ",4,320,"a, e, u, ɤ",4,"ɤ(154), u(116), a(49), e(1)","u, ɤ",2,270,"u, ɤ",2,"ɤ(154), u(116)",S4,侯,*əu,"ʏ(62), iʏ(1)",63,62,0.9841269841269841,ʏ,monophthong,ʏ,front_rounded,62,0.9841269841269841,mixed_mono_and_diphthong,ʏ,ʏ,,iʏ,,,,ʏ,s4_mono_outside_core_inventory,混合,True,False,True,diphthong_or_glide_only,0.0,ɑɒ,no_hao_monophthong,False,False,0.02222,0.0,0.55236,0.0,7
TC01,太仓沙溪,太湖片-苏沪嘉小片,S0+S1+S2+S3,"a, i, o, u, ɔ, ɛ",6,211,"a, i, o, u, ɔ, ɛ",6,"u(73), o(70), a(61), ɛ(4), ɔ(2), i(1)","o, u, ɔ",3,145,"o, u, ɔ",3,"u(73), o(70), ɔ(2)",S4,侯,*əu,"ei(59), u(3), o(3), m(2), ɔ(2)",69,8,0.11594202898550725,ei,diphthong_or_glide,,,59,0.855072463768116,mixed_with_other,"o, u, ɔ","o, u, ɔ","o, u, ɔ",ei,m,"o, u, ɔ","o, u, ɔ",,all_s4_mono_in_core_back_inventory,混合,True,False,False,monophthong_only,1.0,ɔ,all_hao_mono_in_core_back_inventory,True,True,0.24928,0.1667,0.16319999999999998,0.7509142857142858,7
TC02,太仓城厢,太湖片-苏沪嘉小片,S0+S1+S2+S3,"a, o, u, ᴇ",4,214,"a, o, u, ᴇ",4,"o(79), u(79), a(55), ᴇ(1)","o, u",2,158,"o, u",2,"o(79), u(79)",S4,侯,*əu,"o(67), ɔ(3), u(2)",72,72,1.0,o,monophthong,o,u_o_like,67,0.9305555555555556,monophthong_only,"o, u, ɔ","o, u, ɔ","o, u, ɔ",,,"o, u","o, u",ɔ,partial_s4_mono_in_core_inventory,u/o类单音化,True,True,True,monophthong_only,1.0,ɔ,hao_mono_outside_core_inventory,True,True,0.2132,0.1111,0.19682,0.7669857142857143,7
TL01,桐庐镇,太湖片-临绍小片,S0+S1+S2+S3,"a, u, ɔ, ɛ",4,243,"a, u, ɔ, ɛ",4,"u(194), a(47), ɛ(1), ɔ(1)","u, ɔ",2,195,"u, ɔ",2,"u(194), ɔ(1)",S4,侯,*əu,e(62),62,62,1.0,e,monophthong,e,e_like,62,1.0,monophthong_only,e,e,,,,,,e,s4_mono_outside_core_inventory,e类单音化,True,True,True,monophthong_only,1.0,ɔ,all_hao_mono_in_core_back_inventory,True,True,0.13988,0.1344,0.03238,0.6016,7
TX01,桐乡城区,太湖片-苏沪嘉小片,S0+S1+S2+S3,"a, o, u, ɛ",4,256,"a, o, u, ɛ",4,"u(134), a(69), o(52), ɛ(1)","o, u",2,186,"o, u",2,"u(134), o(52)",S4,侯,*əu,"əɯ(39), u(2), m(2), ɔ(1)",44,3,0.06818181818181818,əɯ,diphthong_or_glide,,,39,0.8863636363636364,mixed_with_other,"u, ɔ","u, ɔ","u, ɔ",əɯ,m,u,u,ɔ,partial_s4_mono_in_core_inventory,混合,True,False,False,monophthong_only,1.0,ɔ,hao_mono_outside_core_inventory,True,True,0.2928,0.3333,0.05396000000000001,0.4626,7
WJ01,吴江市松陵,太湖片-苏沪嘉小片,S0+S1+S2+S3,"a, o, u, ɔ, ɪ, ᴇ",6,154,"a, o, u, ɔ, ɪ, ᴇ",6,"o(55), ɔ(50), u(44), ᴇ(2), ɪ(2), a(1)","o, u, ɔ",3,149,"o, u, ɔ",3,"o(55), ɔ(50), u(44)",S4,侯,*əu,"iəu(60), ʌ(2), o(2), ø(1)",65,5,0.07692307692307693,iəu,diphthong_or_glide,,,60,0.9230769230769231,mixed_mono_and_diphthong,"o, ø, ʌ","o, ø, ʌ","o, ʌ",iəu,,o,o,"ø, ʌ",partial_s4_mono_in_core_inventory,混合,True,False,False,monophthong_only,1.0,ʌ,hao_mono_outside_core_inventory,True,True,0.18170000000000003,0.1111,0.12,0.5554428571428571,7
WJ02,吴江芦墟,太湖片-苏沪嘉小片,S0+S1+S2+S3,"i, o, u, ɔ",4,120,"i, o, u, ɔ",4,"o(44), ɔ(39), u(36), i(1)","o, u, ɔ",3,119,"o, u, ɔ",3,"o(44), ɔ(39), u(36)",S4,侯,*əu,"iəu(47), au(2), u(1)",50,1,0.02,iəu,diphthong_or_glide,,,47,0.94,mixed_mono_and_diphthong,u,u,u,"au, iəu",,u,u,,all_s4_mono_in_core_back_inventory,混合,True,False,False,diphthong_or_glide_only,0.0,au,no_hao_monophthong,False,False,0.06882,0.0435,0.058179999999999996,0.38724285714285717,7
WX01,无锡城区,太湖片-苏沪嘉小片,S0+S1+S2+S3,"a, u, ʌ",3,147,"a, u, ʌ",3,"u(79), a(66), ʌ(2)","u, ʌ",2,81,"u, ʌ",2,"u(79), ʌ(2)",S4,侯,*əu,"ei(59), əɯ(4), ʌ(3), wi(1)",67,3,0.04477611940298507,ei,diphthong_or_glide,,,59,0.8805970149253731,mixed_mono_and_diphthong,ʌ,ʌ,ʌ,"ei, wi, əɯ",,ʌ,ʌ,,all_s4_mono_in_core_back_inventory,混合,True,False,False,monophthong_only,1.0,ʌ,all_hao_mono_in_core_back_inventory,True,True,0.24769999999999998,0.1875,0.12201999999999999,0.5115857142857143,7
WX02,吴县光福镇,太湖片-苏沪嘉小片,S0+S1+S2+S3,"a, o, u, æ, ɛ",5,140,"a, o, u, æ, ɛ",5,"o(58), a(51), u(27), ɛ(3), æ(1)","o, u",2,85,"o, u",2,"o(58), u(27)",S4,侯,*əu,"ei(66), o(2), æ(1), u(1)",70,4,0.05714285714285714,ei,diphthong_or_glide,,,66,0.9428571428571428,mixed_mono_and_diphthong,"o, u, æ","o, u, æ","o, u",ei,,"o, u, æ","o, u",,all_s4_mono_in_core_inventory,混合,True,False,False,monophthong_only,1.0,æ,all_hao_mono_in_core_inventory,True,True,0.24374,0.2222,0.08888,0.7160428571428571,7
XC01,新昌城关,太湖片-临绍小片,S0+S1+S2+S3,"a, o, o̞, u, ɛ",5,282,"a, o, u, ɛ",4,"o(137), u(96), a(46), ɛ(3)","o, o̞, u",3,233,"o, u",2,"o(137), u(96)",S4,侯,*əu,"iɯ(43), ɯ(3), o(3), u(1)",50,7,0.14,iɯ,diphthong_or_glide,,,43,0.86,mixed_mono_and_diphthong,"o, u, ɯ","o, u, ɯ","o, u, ɯ",iɯ,,"o, u","o, u",ɯ,partial_s4_mono_in_core_inventory,混合,True,False,False,monophthong_only,1.0,ɔ,hao_mono_outside_core_inventory,True,True,0.1182,0.1111,0.04268,0.1181,7
