point_id,point_name,subbranch,onset_class,total_tokens,eligible_tokens,clear_split_tokens,i_medial_tokens,i_offglide_tokens,non_core_diphthong_tokens,medial_pending_tokens,checked_or_coda_tokens,monophthong_tokens,point_count,value_types,clear_split_values,clear_split_rate,raw_clear_split_share,medial_pending_share,i_offglide_share,non_core_diphthong_share
ZP01,周浦,太湖片-苏沪嘉小片,T,29,29,0,0,0,0,0,0,29,1,2,,0.0,0.0,0.0,0.0,0.0
ZP01,周浦,太湖片-苏沪嘉小片,TS,40,31,0,9,0,0,0,0,31,1,5,,0.0,0.0,0.0,0.0,0.0
ZP01,周浦,太湖片-苏沪嘉小片,Ø,38,35,0,3,0,0,0,0,35,1,4,,0.0,0.0,0.0,0.0,0.0
ZR01,真如,太湖片-苏沪嘉小片,K,68,59,0,9,0,0,0,0,59,1,3,,0.0,0.0,0.0,0.0,0.0
ZR01,真如,太湖片-苏沪嘉小片,M,20,20,0,0,0,0,0,0,20,1,3,,0.0,0.0,0.0,0.0,0.0
ZR01,真如,太湖片-苏沪嘉小片,N,16,16,0,0,0,0,0,0,16,1,1,,0.0,0.0,0.0,0.0,0.0
ZR01,真如,太湖片-苏沪嘉小片,P,35,35,0,0,0,0,0,0,35,1,3,,0.0,0.0,0.0,0.0,0.0
ZR01,真如,太湖片-苏沪嘉小片,T,29,29,0,0,0,0,0,0,29,1,2,,0.0,0.0,0.0,0.0,0.0
ZR01,真如,太湖片-苏沪嘉小片,TS,39,39,0,0,0,0,0,0,39,1,3,,0.0,0.0,0.0,0.0,0.0
ZR01,真如,太湖片-苏沪嘉小片,Ø,38,35,0,3,0,0,0,0,35,1,5,,0.0,0.0,0.0,0.0,0.0
ZS01,舟山定海,太湖片-甬江小片,K,91,60,0,9,0,22,0,0,60,1,5,,0.0,0.0,0.0,0.0,0.24175824175824176
ZS01,舟山定海,太湖片-甬江小片,M,21,9,0,0,0,12,0,0,9,1,3,,0.0,0.0,0.0,0.0,0.5714285714285714
ZS01,舟山定海,太湖片-甬江小片,N,27,17,0,0,0,10,0,0,17,1,4,,0.0,0.0,0.0,0.0,0.37037037037037035
ZS01,舟山定海,太湖片-甬江小片,P,53,44,0,0,0,9,0,0,44,1,4,,0.0,0.0,0.0,0.0,0.16981132075471697
ZS01,舟山定海,太湖片-甬江小片,T,39,27,0,0,0,12,0,0,27,1,4,,0.0,0.0,0.0,0.0,0.3076923076923077
ZS01,舟山定海,太湖片-甬江小片,TS,52,39,0,0,0,13,0,0,39,1,4,,0.0,0.0,0.0,0.0,0.25
ZS01,舟山定海,太湖片-甬江小片,Ø,53,38,0,2,0,13,0,0,38,1,5,,0.0,0.0,0.0,0.0,0.24528301886792453
