s4_status,s4_core_relation,point_count
diphthong_or_glide_only,no_s4_monophthong,29
mixed_mono_and_diphthong,all_s4_mono_in_core_back_inventory,3
mixed_mono_and_diphthong,all_s4_mono_in_core_inventory,3
mixed_mono_and_diphthong,s4_mono_outside_core_inventory,14
monophthong_only,all_s4_mono_in_core_back_inventory,11
monophthong_only,all_s4_mono_in_core_inventory,3
monophthong_only,partial_s4_mono_in_core_inventory,2
monophthong_only,s4_mono_outside_core_inventory,17
