point_id,point_name,onset_class,chain_slot,phonetic_frequency
CM01,崇明城关, K,S1,"ɑ(12), iɑ(1)"
CM01,崇明城关, K,S2,"u(19), ŋ(7), o(1), uo(1)"
CM01,崇明城关, K,S3,"u(24), ŋ(2)"
CM01,崇明城关, M,S0,ɑ(3)
CM01,崇明城关, M,S1,"o(6), ɑ(1)"
CM01,崇明城关, M,S2,u(4)
CM01,崇明城关, M,S3,"u(7), ɔ(1)"
CM01,崇明城关, N,S0,ɑ(2)
CM01,崇明城关, N,S1,æ(1)
CM01,崇明城关, N,S2,"u(11), ɑ(3)"
CM01,崇明城关, N,S3,u(17)
CM01,崇明城关, P,S0,"ɑ(7), o(1)"
CM01,崇明城关, P,S1,"o(14), ɑ(1)"
CM01,崇明城关, P,S2,u(9)
CM01,崇明城关, P,S3,u(17)
CM01,崇明城关, T,S2,"u(19), ɑ(4)"
CM01,崇明城关, T,S3,u(20)
CM01,崇明城关, Ø,S0,"ɑ(6), ɛ(4), iɛ(2)"
CM01,崇明城关, Ø,S1,"o(7), iɑ(4), uo(2)"
CM01,崇明城关, Ø,S2,u(15)
CM01,崇明城关, Ø,S3,u(21)
CM01,崇明城关,TS,S1,o(2)
CM01,崇明城关,TS,S2,"u(11), i(1)"
CM01,崇明城关,TS,S3,u(13)
CM01,崇明城关,TS*,S0,"ɑ(6), o(1)"
CM01,崇明城关,TS*,S1,"o(16), ɑ(1)"
CS01,川沙浦东, K,S0,"ᴀ(13), iᴀ(4)"
CS01,川沙浦东, K,S1,"ᴀ(16), iᴀ(1)"
CS01,川沙浦东, K,S2,"u(21), ɤ(1), o(1)"
CS01,川沙浦东, K,S3,u(25)
CS01,川沙浦东, M,S0,ᴀ(3)
CS01,川沙浦东, M,S1,"o(4), ᴀ(1)"
CS01,川沙浦东, M,S2,u(4)
CS01,川沙浦东, M,S3,u(7)
CS01,川沙浦东, N,S0,ᴀ(1)
CS01,川沙浦东, N,S1,"ɔ(1), ɛ(1)"
CS01,川沙浦东, N,S2,"u(9), ᴀ(2)"
CS01,川沙浦东, N,S3,u(14)
CS01,川沙浦东, P,S0,ᴀ(7)
CS01,川沙浦东, P,S1,"o(12), ᴀ(1)"
CS01,川沙浦东, P,S2,u(9)
CS01,川沙浦东, P,S3,u(18)
CS01,川沙浦东, T,S2,"u(13), ᴀ(4)"
CS01,川沙浦东, T,S3,u(21)
CS01,川沙浦东, Ø,S0,"ᴀ(6), iɛ(1)"
CS01,川沙浦东, Ø,S1,"ɔ(10), iᴀ(3), o(1)"
CS01,川沙浦东, Ø,S2,u(16)
