point_id,point_name,onset_class,S0,S1,S2,S3
CZ01,常州,P,"a(7), o(1)","o(13), a(1)",ɤɯ(12),u(17)
CZ01,常州,T,,,"ɤɯ(17), a(2)","u(20), ɤɯ(1)"
CZ01,常州,TS,"a(8), o(1), æi(1)","o(19), a(1)",ɤɯ(9),"ɥ(7), ɤɯ(2)"
CZ01,常州,Ø,"a(6), ia(4), æi(1)","ia(8), o(7)","ɤɯ(15), io(1)","u(18), ɔʔ(1)"
DB01,郎溪梅渚镇定埠,K,"ᴇ(11), iɑ(2)","ɑ(11), iɑ(4)","ɷ(17), əʔ(1)",u(25)
DB01,郎溪梅渚镇定埠,M,ᴇ(3),ɑ(7),ɷ(5),ɷ(7)
DB01,郎溪梅渚镇定埠,N,,,"ɷ(9), ɑ(2)",u(13)
DB01,郎溪梅渚镇定埠,P,"ᴇ(5), ɑ(2)",ɑ(15),"ɷ(9), əʔ(1)",u(17)
DB01,郎溪梅渚镇定埠,T,,,"ɷ(11), a(1), ɑ(1)",ɷ(20)
DB01,郎溪梅渚镇定埠,TS,"ᴇ(8), ɑ(1)","ɑ(17), iɑ(1)",ɷ(10),"ʮ(11), ɷ(3)"
DB01,郎溪梅渚镇定埠,Ø,ᴇ(7),"ɑ(9), iɑ(5)","ɷ(12), uɤɪ(1)",u(18)
DQ01,德清乾元,K,"a(10), ia(6)","a(14), ia(5), ɔ(1)","u(21), a(1), oʔ(1), ɔ(1)",u(22)
DQ01,德清乾元,M,a(3),"ɔ(6), u(1)",u(5),u(7)
DQ01,德清乾元,N,,,"u(10), aʔ(1), ɔ(1)",u(13)
DQ01,德清乾元,P,"a(8), ɔ(1)","ɔ(12), a(1)","u(9), ᴇ(2)",u(17)
DQ01,德清乾元,T,,,"u(15), a(3), ɔ(1)",u(20)
DQ01,德清乾元,TS,a(8),"ɔ(17), a(1)",u(11),"u(12), oʔ(1)"
DQ01,德清乾元,Ø,"a(6), ia(1)","ɔ(8), ia(4)","u(18), a(1), i(1)",u(18)
DS01,岱山岱西镇,K,"a(12), ia(3), ᴇ(1)","o(9), ia(6), a(1), ɵ(1)","ɐu(19), a(1), o(1), ɵ(1)",u(25)
DS01,岱山岱西镇,M,a(2),"o(7), a(1), ɔ(1)",ɐu(5),ɐu(7)
DS01,岱山岱西镇,N,,,"ɐu(10), a(3), ɔ(2)","u(14), ɐu(2)"
DS01,岱山岱西镇,P,"a(7), o(1)","o(13), a(1)",ɐu(11),u(20)
DS01,岱山岱西镇,T,,,"ɐu(11), a(2), o(2), u(1)",u(21)
DS01,岱山岱西镇,TS,"a(7), ᴇ(2), o(1)","o(15), a(3)",ɐu(11),"u(10), ɐu(2)"
DS01,岱山岱西镇,Ø,"a(6), iᴇ(1)","o(9), ia(4)","ɐu(12), o(1), u(1)",u(21)
DY01,丹阳,K,"ɑ(9), ie(4), iɑ(3), æ(2)","iɑ(16), ɑ(1)","ə(21), iɑ(1), æʔ(1)",u(24)
DY01,丹阳,M,"æ(3), ɑ(3)",ɑ(6),ə(4),ə(8)
DY01,丹阳,N,,,"ə(15), ɑ(2), ɔ(1)","u(13), ə(1)"
DY01,丹阳,P,"ɑ(6), æ(5)",ɑ(9),ə(10),u(16)
DY01,丹阳,T,,,"ə(14), ɑ(2)","u(21), ə(2)"
DY01,丹阳,TS,"ɑ(5), æ(3)",ɑ(13),ə(12),"u(10), ə(2)"
DY01,丹阳,Ø,"ɑ(5), ie(2), æ(2)","iɑ(11), ɑ(2)","ə(12), yɑ(2)",u(17)
FC01,奉城,K,"ɑ(6), iɑ(4)","ɑ(12), iɑ(4)","u(17), ɑ(1), ɔ(1), ɯ(1)",u(23)
FC01,奉城,M,ɑ(3),"o(5), ɑ(1)",o(5),o(6)
FC01,奉城,N,,,u(6),u(10)
FC01,奉城,P,ɑ(7),"o(8), ɑ(1)",u(5),u(14)
FC01,奉城,T,,,"u(6), ɑ(2), o(1)",u(20)
FC01,奉城,TS,"ɑ(6), o(2)","o(11), ɑ(1)","u(8), i(1)","u(10), o(1)"
FC01,奉城,Ø,ɑ(6),"ɔ(5), iɑ(3), o(1)",u(12),u(11)
FH01,奉化西坞,K,"a(8), ia(3), ie(2), ɛ(1)","o(12), ia(3)","əu(19), ia(1)","u(24), əu(1)"
FH01,奉化西坞,M,"a(2), ɛi(1)",o(7),əu(3),əu(2)
FH01,奉化西坞,N,,,"əu(6), a(2), o(2)","u(13), əu(1)"
FH01,奉化西坞,P,"a(6), o(1)","o(10), a(2)","əu(8), o(2)",u(16)
FH01,奉化西坞,T,,,"əu(12), a(2), o(1)",u(21)
FH01,奉化西坞,TS,a(7),"o(15), a(1)","əu(8), o(3)","u(6), y(4)"
FH01,奉化西坞,Ø,"a(7), ie(1)","o(8), ia(3)","əu(15), u(2)",u(18)
FJ01,枫泾镇,K,"ᴀ(7), iᴀ(4)","ᴀ(12), iᴀ(4)","əu(17), o(1), ɤ(1), ᴀ(1)","əu(16), u(6)"
FJ01,枫泾镇,M,ᴀ(3),"o(5), ᴀ(1)",u(4),"u(4), o(2)"
FJ01,枫泾镇,N,,,u(7),u(10)
FJ01,枫泾镇,P,ᴀ(7),"o(8), ᴀ(4)",u(5),u(14)
FJ01,枫泾镇,T,,,"u(6), ᴀ(2), o(1)",u(20)
FJ01,枫泾镇,TS,"ᴀ(9), o(1), ɛ(1)","o(10), ᴀ(3)",u(8),"u(10), o(1)"
FJ01,枫泾镇,Ø,"ᴀ(6), ɛ(1)","o(6), iᴀ(5), ɔ(2)","u(10), iu(1)",u(11)
FX01,奉贤,K,"iɑ(6), ɑ(5)","ɑ(13), iɑ(3)","u(17), ɑ(1), ɔ(1), ɯ(1)",u(25)
FX01,奉贤,M,ɑ(3),"o(5), ɑ(1)",o(4),o(6)
FX01,奉贤,N,,,u(8),u(12)
FX01,奉贤,P,ɑ(7),"o(11), ɑ(6)",u(8),u(18)
FX01,奉贤,T,,,"u(9), ɑ(2), o(1)",u(20)
FX01,奉贤,TS,"ɑ(9), o(1)","o(12), ɑ(2)","u(8), i(1)","u(11), o(1)"
FX01,奉贤,Ø,"ɑ(6), e(1), iɛ(1)","iɑ(8), ɔ(5), o(4)","u(13), iu(1), y(1)",u(16)
FY01,富阳城关,K,"a(14), iɛ(2), o(1)","o(16), ia(4)","ʊ(17), u(7), ia(1)",u(24)
