point_id,point_name,subbranch,core_slots,monophthong_values,monophthong_value_size,monophthong_token_count,monophthong_nuclei,monophthong_nucleus_size,monophthong_nucleus_counts,back_monophthong_values,back_monophthong_value_size,back_monophthong_token_count,back_monophthong_nuclei,back_monophthong_nucleus_size,back_monophthong_nucleus_counts,hao_slot_in_data,hao_value_counts,hao_total_token_count,hao_monophthong_token_count,hao_monophthong_token_share,hao_dominant_value,hao_dominant_value_class,hao_dominant_token_count,hao_dominant_token_share,hao_status,hao_monophthong_values,hao_monophthong_nuclei,hao_back_monophthong_nuclei,hao_diphthong_or_glide_values,hao_other_values,hao_monophthong_nuclei_in_core,hao_monophthong_nuclei_in_core_back,hao_monophthong_nuclei_not_in_core,hao_core_relation
SY02,上虞百官镇,太湖片-临绍小片,S0+S1+S2+S3,"o, u, y, ɐ, ᴇ",5,308,"o, u, y, ɐ, ᴇ",5,"o(136), u(114), ɐ(46), y(10), ᴇ(2)","o, u",2,250,"o, u",2,"o(136), u(114)",S5,ɔ(94),94,94,1.0,ɔ,monophthong,94,1.0,monophthong_only,ɔ,ɔ,ɔ,,,,,ɔ,hao_mono_outside_core_inventory
SZ01,苏州城区,太湖片-苏沪嘉小片,S0+S1+S2+S3,"i, o, ɑ, ɪ, ᴇ",5,140,"i, o, ɑ, ɪ, ᴇ",5,"o(67), ɑ(65), ɪ(4), ᴇ(3), i(1)","o, ɑ",2,132,"o, ɑ",2,"o(67), ɑ(65)",S5,æ(92),92,92,1.0,æ,monophthong,92,1.0,monophthong_only,æ,æ,,,,,,æ,hao_mono_outside_core_inventory
SZ02,嵊州长乐,太湖片-临绍小片,S0+S1+S2+S3,"a, i, o, u, ɔ, ᴇ",6,322,"a, i, o, u, ɔ, ᴇ",6,"u(109), o(95), ɔ(65), a(51), i(1), ᴇ(1)","o, u, ɔ",3,269,"o, u, ɔ",3,"u(109), o(95), ɔ(65)",S5,ɒ(84),84,84,1.0,ɒ,monophthong,84,1.0,monophthong_only,ɒ,ɒ,ɒ,,,,,ɒ,hao_mono_outside_core_inventory
SZ03,嵊州崇仁镇,太湖片-临绍小片,S0+S1+S2+S3,"a, e, u, ɤ",4,320,"a, e, u, ɤ",4,"ɤ(154), u(116), a(49), e(1)","u, ɤ",2,270,"u, ɤ",2,"ɤ(154), u(116)",S5,ɑɒ(89),89,0,0.0,ɑɒ,diphthong_or_glide,89,1.0,diphthong_or_glide_only,,,,ɑɒ,,,,,no_hao_monophthong
TC01,太仓沙溪,太湖片-苏沪嘉小片,S0+S1+S2+S3,"a, i, o, u, ɔ, ɛ",6,211,"a, i, o, u, ɔ, ɛ",6,"u(73), o(70), a(61), ɛ(4), ɔ(2), i(1)","o, u, ɔ",3,145,"o, u, ɔ",3,"u(73), o(70), ɔ(2)",S5,ɔ(97),97,97,1.0,ɔ,monophthong,97,1.0,monophthong_only,ɔ,ɔ,ɔ,,,ɔ,ɔ,,all_hao_mono_in_core_back_inventory
TC02,太仓城厢,太湖片-苏沪嘉小片,S0+S1+S2+S3,"a, o, u, ᴇ",4,214,"a, o, u, ᴇ",4,"o(79), u(79), a(55), ᴇ(1)","o, u",2,158,"o, u",2,"o(79), u(79)",S5,ɔ(103),103,103,1.0,ɔ,monophthong,103,1.0,monophthong_only,ɔ,ɔ,ɔ,,,,,ɔ,hao_mono_outside_core_inventory
TL01,桐庐镇,太湖片-临绍小片,S0+S1+S2+S3,"a, u, ɔ, ɛ",4,243,"a, u, ɔ, ɛ",4,"u(194), a(47), ɛ(1), ɔ(1)","u, ɔ",2,195,"u, ɔ",2,"u(194), ɔ(1)",S5,ɔ(82),82,82,1.0,ɔ,monophthong,82,1.0,monophthong_only,ɔ,ɔ,ɔ,,,ɔ,ɔ,,all_hao_mono_in_core_back_inventory
TX01,桐乡城区,太湖片-苏沪嘉小片,S0+S1+S2+S3,"a, o, u, ɛ",4,256,"a, o, u, ɛ",4,"u(134), a(69), o(52), ɛ(1)","o, u",2,186,"o, u",2,"u(134), o(52)",S5,ɔ(90),90,90,1.0,ɔ,monophthong,90,1.0,monophthong_only,ɔ,ɔ,ɔ,,,,,ɔ,hao_mono_outside_core_inventory
WJ01,吴江市松陵,太湖片-苏沪嘉小片,S0+S1+S2+S3,"a, o, u, ɔ, ɪ, ᴇ",6,154,"a, o, u, ɔ, ɪ, ᴇ",6,"o(55), ɔ(50), u(44), ᴇ(2), ɪ(2), a(1)","o, u, ɔ",3,149,"o, u, ɔ",3,"o(55), ɔ(50), u(44)",S5,ʌ(85),85,85,1.0,ʌ,monophthong,85,1.0,monophthong_only,ʌ,ʌ,ʌ,,,,,ʌ,hao_mono_outside_core_inventory
WJ02,吴江芦墟,太湖片-苏沪嘉小片,S0+S1+S2+S3,"i, o, u, ɔ",4,120,"i, o, u, ɔ",4,"o(44), ɔ(39), u(36), i(1)","o, u, ɔ",3,119,"o, u, ɔ",3,"o(44), ɔ(39), u(36)",S5,au(82),82,0,0.0,au,diphthong_or_glide,82,1.0,diphthong_or_glide_only,,,,au,,,,,no_hao_monophthong
WX01,无锡城区,太湖片-苏沪嘉小片,S0+S1+S2+S3,"a, u, ʌ",3,147,"a, u, ʌ",3,"u(79), a(66), ʌ(2)","u, ʌ",2,81,"u, ʌ",2,"u(79), ʌ(2)",S5,ʌ(98),98,98,1.0,ʌ,monophthong,98,1.0,monophthong_only,ʌ,ʌ,ʌ,,,ʌ,ʌ,,all_hao_mono_in_core_back_inventory
WX02,吴县光福镇,太湖片-苏沪嘉小片,S0+S1+S2+S3,"a, o, u, æ, ɛ",5,140,"a, o, u, æ, ɛ",5,"o(58), a(51), u(27), ɛ(3), æ(1)","o, u",2,85,"o, u",2,"o(58), u(27)",S5,æ(96),96,96,1.0,æ,monophthong,96,1.0,monophthong_only,æ,æ,,,,æ,,,all_hao_mono_in_core_inventory
XC01,新昌城关,太湖片-临绍小片,S0+S1+S2+S3,"a, o, o̞, u, ɛ",5,282,"a, o, u, ɛ",4,"o(137), u(96), a(46), ɛ(3)","o, o̞, u",3,233,"o, u",2,"o(137), u(96)",S5,"ɔ(83), ɯ(1)",84,84,1.0,ɔ,monophthong,83,0.9880952380952381,monophthong_only,"ɔ, ɯ","ɔ, ɯ","ɔ, ɯ",,,,,"ɔ, ɯ",hao_mono_outside_core_inventory
XD01,新登下港,太湖片-临绍小片,S0+S1+S2+S3,"a, o, u, ɔ, ɛ",5,304,"a, o, u, ɔ, ɛ",5,"u(214), o(43), a(40), ɛ(4), ɔ(3)","o, u, ɔ",3,260,"o, u, ɔ",3,"u(214), o(43), ɔ(3)",S5,"ɔ(94), u(1)",95,95,1.0,ɔ,monophthong,94,0.9894736842105263,monophthong_only,"u, ɔ","u, ɔ","u, ɔ",,,"u, ɔ","u, ɔ",,all_hao_mono_in_core_back_inventory
XH02,萧山城厢,太湖片-临绍小片,S0+S1+S2+S3,"a, e, o, u",4,318,"a, e, o, u",4,"o(153), u(115), a(49), e(1)","o, u",2,268,"o, u",2,"o(153), u(115)",S5,"ɒ(91), io(1)",92,91,0.9891304347826086,ɒ,monophthong,91,0.9891304347826086,mixed_mono_and_diphthong,ɒ,ɒ,ɒ,io,,,,ɒ,hao_mono_outside_core_inventory
XS01,象山丹城,太湖片-甬江小片,S0+S1+S2+S3,"a, o, u, ɛ",4,324,"a, o, u, ɛ",4,"o(146), u(127), a(50), ɛ(1)","o, u",2,273,"o, u",2,"o(146), u(127)",S5,ɔ(91),91,91,1.0,ɔ,monophthong,91,1.0,monophthong_only,ɔ,ɔ,ɔ,,,,,ɔ,hao_mono_outside_core_inventory
XS03,萧山南阳镇,太湖片-临绍小片,S0+S1+S2+S3,"a, o, u",3,267,"a, o, u",3,"o(121), u(112), a(34)","o, u",2,233,"o, u",2,"o(121), u(112)",S5,ɔ(81),81,81,1.0,ɔ,monophthong,81,1.0,monophthong_only,ɔ,ɔ,ɔ,,,,,ɔ,hao_mono_outside_core_inventory
XZ01,莘庄,太湖片-苏沪嘉小片,S0+S1+S2+S3,"e, o, u, ɔ, ɛ, ɤ, ᴀ",7,242,"e, o, u, ɔ, ɛ, ɤ, ᴀ",7,"u(142), ᴀ(49), o(43), ɔ(5), ɤ(1), ɛ(1), e(1)","o, u, ɔ, ɤ",4,191,"o, u, ɔ, ɤ",4,"u(142), o(43), ɔ(5), ɤ(1)",S5,ɔ(69),69,69,1.0,ɔ,monophthong,69,1.0,monophthong_only,ɔ,ɔ,ɔ,,,ɔ,ɔ,,all_hao_mono_in_core_back_inventory
YQ01,於潜,太湖片-临绍小片,S0+S1+S2+S3,"a, o, u",3,250,"a, o, u",3,"u(204), a(44), o(2)","o, u",2,206,"o, u",2,"u(204), o(2)",S5,ɔ(94),94,94,1.0,ɔ,monophthong,94,1.0,monophthong_only,ɔ,ɔ,ɔ,,,,,ɔ,hao_mono_outside_core_inventory
YX01,宜兴,太湖片-毗陵小片,S0+S1+S2+S3,"a, o, u, ɛ, ɷ",5,280,"a, o, u, ɛ, ɷ",5,"u(106), ɷ(82), o(64), a(27), ɛ(1)","o, u, ɷ",3,252,"o, u, ɷ",3,"u(106), ɷ(82), o(64)",S5,au(93),93,0,0.0,au,diphthong_or_glide,93,1.0,diphthong_or_glide_only,,,,au,,,,,no_hao_monophthong
YX02,鄞县中区,太湖片-甬江小片,S0+S1+S2+S3,"a, e, o, u",4,211,"a, e, o, u",4,"u(105), o(65), a(40), e(1)","o, u",2,170,"o, u",2,"u(105), o(65)",S5,ɔ(84),84,84,1.0,ɔ,monophthong,84,1.0,monophthong_only,ɔ,ɔ,ɔ,,,,,ɔ,hao_mono_outside_core_inventory
YY01,余姚城关,太湖片-临绍小片,S0+S1+S2+S3,"a, o, u",3,217,"a, o, u",3,"u(94), o(73), a(50)","o, u",2,167,"o, u",2,"u(94), o(73)",S5,"ɔ(95), a(1)",96,96,1.0,ɔ,monophthong,95,0.9895833333333334,monophthong_only,"a, ɔ","a, ɔ",ɔ,,,a,,ɔ,partial_hao_mono_in_core_inventory
ZJ01,诸暨城关,太湖片-临绍小片,S0+S1+S2+S3,"a, o, u",3,176,"a, o, u",3,"u(82), a(47), o(47)","o, u",2,129,"o, u",2,"u(82), o(47)",S5,ɔ(89),89,89,1.0,ɔ,monophthong,89,1.0,monophthong_only,ɔ,ɔ,ɔ,,,,,ɔ,hao_mono_outside_core_inventory
ZJ02,诸暨璜山镇,太湖片-临绍小片,S0+S1+S2+S3,"a, u, ʊ",3,215,"a, u, ʊ",3,"u(112), ʊ(56), a(47)","u, ʊ",2,168,"u, ʊ",2,"u(112), ʊ(56)",S5,ɔ(91),91,91,1.0,ɔ,monophthong,91,1.0,monophthong_only,ɔ,ɔ,ɔ,,,,,ɔ,hao_mono_outside_core_inventory
ZJ03,诸暨直埠镇,太湖片-临绍小片,S0+S1+S2+S3,"a, o, u",3,165,"a, o, u",3,"u(87), o(44), a(34)","o, u",2,131,"o, u",2,"u(87), o(44)",S5,ɔ(84),84,84,1.0,ɔ,monophthong,84,1.0,monophthong_only,ɔ,ɔ,ɔ,,,,,ɔ,hao_mono_outside_core_inventory
ZP01,周浦,太湖片-苏沪嘉小片,S0+S1+S2+S3,"e, o, u, ɔ, ɤ, ᴀ",6,230,"e, o, u, ɔ, ɤ, ᴀ",6,"u(152), ᴀ(48), o(22), ɔ(6), ɤ(1), e(1)","o, u, ɔ, ɤ",4,181,"o, u, ɔ, ɤ",4,"u(152), o(22), ɔ(6), ɤ(1)",S5,ɔ(70),70,70,1.0,ɔ,monophthong,70,1.0,monophthong_only,ɔ,ɔ,ɔ,,,ɔ,ɔ,,all_hao_mono_in_core_back_inventory
ZR01,真如,太湖片-苏沪嘉小片,S0+S1+S2+S3,"o, u, ɔ, ᴀ",4,235,"o, u, ɔ, ᴀ",4,"u(156), ᴀ(45), o(29), ɔ(5)","o, u, ɔ",3,190,"o, u, ɔ",3,"u(156), o(29), ɔ(5)",S5,ɔ(70),70,70,1.0,ɔ,monophthong,70,1.0,monophthong_only,ɔ,ɔ,ɔ,,,ɔ,ɔ,,all_hao_mono_in_core_back_inventory
ZS01,舟山定海,太湖片-甬江小片,S0+S1+S2+S3,"a, o, u, ɛ",4,238,"a, o, u, ɛ",4,"u(119), o(72), a(46), ɛ(1)","o, u",2,191,"o, u",2,"u(119), o(72)",S5,ɔ(86),86,86,1.0,ɔ,monophthong,86,1.0,monophthong_only,ɔ,ɔ,ɔ,,,,,ɔ,hao_mono_outside_core_inventory
