point_id,point_name,subbranch,core_slots,monophthong_values,monophthong_value_size,monophthong_token_count,monophthong_nuclei,monophthong_nucleus_size,monophthong_nucleus_counts,back_monophthong_values,back_monophthong_value_size,back_monophthong_token_count,back_monophthong_nuclei,back_monophthong_nucleus_size,back_monophthong_nucleus_counts,hao_slot_in_data,hao_value_counts,hao_total_token_count,hao_monophthong_token_count,hao_monophthong_token_share,hao_dominant_value,hao_dominant_value_class,hao_dominant_token_count,hao_dominant_token_share,hao_status,hao_monophthong_values,hao_monophthong_nuclei,hao_back_monophthong_nuclei,hao_diphthong_or_glide_values,hao_other_values,hao_monophthong_nuclei_in_core,hao_monophthong_nuclei_in_core_back,hao_monophthong_nuclei_not_in_core,hao_core_relation
DS01,岱山岱西镇,太湖片-甬江小片,S0+S1+S2+S3,"a, e, o, u, ɔ, ɵ, ᴇ",7,228,"a, e, o, u, ɔ, ɵ, ᴇ",7,"u(113), o(59), a(47), ɔ(3), ᴇ(3), ɵ(2), e(1)","o, u, ɔ",3,175,"o, u, ɔ",3,"u(113), o(59), ɔ(3)",S5,ɔ(86),86,86,1.0,ɔ,monophthong,86,1.0,monophthong_only,ɔ,ɔ,ɔ,,,ɔ,ɔ,,all_hao_mono_in_core_back_inventory
DY01,丹阳,太湖片-毗陵小片,S0+S1+S2+S3,"u, æ, ɑ, ɔ, ə",5,284,"u, æ, ɑ, ɔ, ə",5,"ə(101), u(101), ɑ(65), æ(16), ɔ(1)","u, ɑ, ɔ",3,167,"u, ɑ, ɔ",3,"u(101), ɑ(65), ɔ(1)",S5,ɔ(86),86,86,1.0,ɔ,monophthong,86,1.0,monophthong_only,ɔ,ɔ,ɔ,,,ɔ,ɔ,,all_hao_mono_in_core_back_inventory
FC01,奉城,太湖片-苏沪嘉小片,S0+S1+S2+S3,"i, o, u, ɑ, ɔ, ɯ",6,237,"i, o, u, ɑ, ɔ, ɯ",6,"u(142), ɑ(46), o(41), ɔ(6), i(1), ɯ(1)","o, u, ɑ, ɔ, ɯ",5,236,"o, u, ɑ, ɔ, ɯ",5,"u(142), ɑ(46), o(41), ɔ(6), ɯ(1)",S5,"ɔ(69), ɯ(1)",70,70,1.0,ɔ,monophthong,69,0.9857142857142858,monophthong_only,"ɔ, ɯ","ɔ, ɯ","ɔ, ɯ",,,"ɔ, ɯ","ɔ, ɯ",,all_hao_mono_in_core_back_inventory
FH01,奉化西坞,太湖片-甬江小片,S0+S1+S2+S3,"a, o, u, y, ɛ",5,204,"a, o, u, y, ɛ",5,"u(100), o(61), a(38), y(4), ɛ(1)","o, u",2,161,"o, u",2,"u(100), o(61)",S5,ɜ(85),85,85,1.0,ɜ,monophthong,85,1.0,monophthong_only,ɜ,ɜ,,,,,,ɜ,hao_mono_outside_core_inventory
FJ01,枫泾镇,太湖片-苏沪嘉小片,S0+S1+S2+S3,"o, u, ɔ, ɛ, ɤ, ᴀ",6,212,"o, u, ɔ, ɛ, ɤ, ᴀ",6,"u(115), ᴀ(56), o(36), ɔ(2), ɛ(2), ɤ(1)","o, u, ɔ, ɤ",4,154,"o, u, ɔ, ɤ",4,"u(115), o(36), ɔ(2), ɤ(1)",S5,"ɔ(68), ə(1)",69,69,1.0,ɔ,monophthong,68,0.9855072463768116,monophthong_only,"ɔ, ə","ɔ, ə",ɔ,,,ɔ,ɔ,ə,partial_hao_mono_in_core_inventory
FX01,奉贤,太湖片-苏沪嘉小片,S0+S1+S2+S3,"e, i, o, u, ɑ, ɔ, ɯ",7,276,"e, i, o, u, ɑ, ɔ, ɯ",7,"u(165), ɑ(56), o(46), ɔ(6), i(1), ɯ(1), e(1)","o, u, ɑ, ɔ, ɯ",5,274,"o, u, ɑ, ɔ, ɯ",5,"u(165), ɑ(56), o(46), ɔ(6), ɯ(1)",S5,"ɔ(76), ɯ(1)",77,77,1.0,ɔ,monophthong,76,0.987012987012987,monophthong_only,"ɔ, ɯ","ɔ, ɯ","ɔ, ɯ",,,"ɔ, ɯ","ɔ, ɯ",,all_hao_mono_in_core_back_inventory
FY01,富阳城关,太湖片-临绍小片,S0+S1+S2+S3,"a, i, o, u, ɛ, ʊ",6,325,"a, i, o, u, ɛ, ʊ",6,"ʊ(108), u(97), o(66), a(52), i(1), ɛ(1)","o, u, ʊ",3,271,"o, u, ʊ",3,"ʊ(108), u(97), o(66)",S5,"ɔ(92), a(1)",93,93,1.0,ɔ,monophthong,92,0.989247311827957,monophthong_only,"a, ɔ","a, ɔ",ɔ,,,a,,ɔ,partial_hao_mono_in_core_inventory
FY02,富阳东梓关,太湖片-临绍小片,S0+S1+S2+S3,"a, o, u, ɔ, ɛ",5,227,"a, o, u, ɔ, ɛ",5,"u(182), a(40), ɛ(3), ɔ(1), o(1)","o, u, ɔ",3,184,"o, u, ɔ",3,"u(182), ɔ(1), o(1)",S5,ɔ(88),88,88,1.0,ɔ,monophthong,88,1.0,monophthong_only,ɔ,ɔ,ɔ,,,ɔ,ɔ,,all_hao_mono_in_core_back_inventory
GQ01,高桥,太湖片-苏沪嘉小片,S0+S1+S2+S3,"e, o, u, ɔ, ɛ, ᴀ",6,235,"e, o, u, ɔ, ɛ, ᴀ",6,"u(155), ᴀ(49), o(27), ɛ(2), ɔ(1), e(1)","o, u, ɔ",3,183,"o, u, ɔ",3,"u(155), o(27), ɔ(1)",S5,ɔ(70),70,70,1.0,ɔ,monophthong,70,1.0,monophthong_only,ɔ,ɔ,ɔ,,,ɔ,ɔ,,all_hao_mono_in_core_back_inventory
HM01,海门镇沙地话,太湖片-苏沪嘉小片,S0+S1+S2+S3,"o, u, ɑ, ɛ",4,327,"o, u, ɑ, ɛ",4,"u(206), ɑ(67), o(44), ɛ(10)","o, u, ɑ",3,317,"o, u, ɑ",3,"u(206), ɑ(67), o(44)",S5,ɔ(90),90,90,1.0,ɔ,monophthong,90,1.0,monophthong_only,ɔ,ɔ,ɔ,,,,,ɔ,hao_mono_outside_core_inventory
