point_id,point_name,phonetic,vowel_count
AJ01,安吉安城,"a, aʔ, e, ia, u, ɔ, ɷ",7
BL01,北仑城关,"a, au, e, ia, o, u, uo, øy, ŋ, ɛ",10
BS01,宝山,"ia, iᴀ, iᴇ, o, u, ᴀ, ᴇ",7
BZ01,堡镇,"i, iɑ, o, u, uo, ɑ, ɔ, ɛ",8
CM01,崇明城关,"i, iɑ, iɛ, o, u, uo, æ, ŋ, ɑ, ɔ, ɛ",11
CS01,川沙浦东,"iɔ, iɛ, iᴀ, o, u, ɔ, ɛ, ɤ, ᴀ",9
CS02,常熟虞山镇,"i, ioʔ, iᴀ, u, ɛ, ɯ, ᴀ",7
CX01,慈溪逍林,"a, e, ia, o, ou, u, ø",7
CX02,长兴,"a, ia, o, u, əu",5
CZ01,常州,"a, aɤ, ia, o, u, æi, ɔʔ, ɤɯ, ɥ",9
DB01,郎溪梅渚镇定埠,"a, iɑ, u, ɑ, əʔ, ɷ, ʮ, ᴇ",8
DQ01,德清乾元,"a, aʔ, ia, oʔ, u, ɔ, ᴇ",7
DS01,岱山岱西镇,"a, e, ia, iᴇ, o, u, ɐu, ɔ, ɵ, ᴇ",10
DY01,丹阳,"ie, iɑ, u, yɑ, æ, æʔ, ɑ, ɔ, ə",9
FC01,奉城,"i, iɑ, o, u, ɑ, ɔ, ɯ",7
FH01,奉化西坞,"a, ia, ie, o, u, y, əu, ɛ, ɛi",9
FJ01,枫泾镇,"iᴀ, o, u, ɔ, əu, ɛ, ɤ, ᴀ",8
FX01,奉贤,"e, i, iɑ, iɛ, o, u, ɑ, ɔ, ɯ",9
FY01,富阳城关,"a, i, ia, iɛ, o, u, ua, ɛ, ʊ",9
FY02,富阳东梓关,"a, ia, iɛ, o, u, uo, ɔ, ɛ",8
GQ01,高桥,"e, iᴀ, o, u, ɔ, ɛ, ᴀ",7
HM01,海门镇沙地话,"iɑ, iɛ, o, u, uo, ɑ, ɛ",7
HM02,海门四甲,"iɑ, iɛ, o, yo, ɑ, ɛ, ɤ, ɯ, ɯo",9
HN01,海宁城关,"a, ia, iɛ, o, u, ŋ",6
HY01,海盐县城,"e, iɑ, iɛ, n, o, u, ɑ, əʔ, ɛ, ɤ",10
HZ01,杭州城区,"a, ia, iɛ, o, u, ɛ",6
HZ02,湖州市区,"a, e, ia, u, w, əu, ɷ",7
JD01,嘉定城关,"iᴀ, iᴇ, o, u, ø, ᴀ, ᴇ",7
JJ01,靖江城区,"iæ, iɑ, o, u, æ, ɑ, ʌɤ",7
JS01,嘉善魏塘镇,"a, i, ia, iɪ, o, u, ɔ, ɤ, ᴇ",9
JS02,金山,"i, iɛ, iᴀ, o, u, ɑ, ɔ, ɛ, ɤ, ᴀ",10
JT01,金坛,"a, ao, ia, iɛ, o, u, ŋ, ɔʔ, əu, əʔ, ɛi",11
JW01,江湾,"iɑ, o, u, ɑ, ɔ, ɛ, ᴀ",7
JX01,嘉兴城区,"e, iɑ, o, u, ɑ, ɛ",6
JY01,江阴城区澄江镇,"a, ia, o, u, æ, ɒ, əɯ",7
KQ01,柯桥城关,"a, e, ia, io, o, u, y, ɒ",8
KS01,昆山市区玉山镇,"a, ia, n, o, u, ua, əu, ɛ",8
LA01,临安城区,"a, ia, o, u",4
LP01,临平五杭,"a, ia, o, oŋ, u, uo, y, ɛ",8
LT01,练塘,"a, ia, o, u, ɔ",5
LY01,溧阳,"ie, io, iɑ, o, u, ŋ, ɔ, ʌɯ, ᴀ",9
MH01,闵行,"a, ia, o, u, ŋ, ɑ, ɔ, ɛ, ɤ",9
NB01,宁波市区,"a, ia, ie, o, u, uo, yo, ø, əu",9
NH01,南汇惠南镇,"a, ia, o, u, ɔ, ɛ",6
NT01,南通金沙镇,"iɑ, iɑʔ, o, u, uo, æ, ɑ, ɤɯ",8
PB01,彭埠镇,"a, ia, o, u, ø",5
PH01,平湖城关,"a, ia, o, u",4
QD01,启东吕四,"a, ia, o, u, yo, ɛ, ɤ",7
QP01,青浦商榻,"iøʔ, iɒ, iəu, u, ɐ, ɒ, əu, ɛ, ʊ",9
SH01,上海市区,"i, iᴀ, iᴇ, o, u, ɔ, ᴀ, ᴇ",8
SJ01,松江镇,"e, iɑ, iɛ, o, u, ɑ, ɔ, ɛ",8
SJ02,泗泾,"i, iɑ, o, u, ɑ, əu",6
SL01,三林,"e, iɔ, iᴀ, o, u, ɔ, ɤ, ᴀ",8
SX01,绍兴城区东头埭,"a, ia, ieʔ, iia, io, o, u, ɒ",8
SY02,上虞百官镇,"iɐ, o, u, uo, y, ɐ, ᴇ",7
SZ01,苏州城区,"i, io, iɑ, o, uᴇ, v, ɑ, əu, ɪ, ᴇ",10
SZ02,嵊州长乐,"a, i, ia, iɔ, iᴇ, o, u, ɔ, ᴇ",9
SZ03,嵊州崇仁镇,"a, e, u, ɤ",4
TC01,太仓沙溪,"a, i, ia, iɪ, o, u, ɔ, əu, ɛ",9
TC02,太仓城厢,"a, ia, io, o, u, əu, ᴇ",7
TL01,桐庐镇,"a, ia, iɛ, u, uo, yo, ɔ, ɛ",8
TX01,桐乡城区,"a, ia, iɛ, o, u, ɛ",6
WJ01,吴江市松陵,"a, io, iɔ, o, u, ɔ, əu, ɪ, ᴇ",9
WJ02,吴江芦墟,"i, iɔ, o, u, ɔ, əu",6
WX01,无锡城区,"a, ia, u, yəʔ, ŋ, əɯ, ʌ",7
WX02,吴县光福镇,"a, ia, io, o, u, æ, əu, ɛ",8
XC01,新昌城关,"a, ia, o, o̞, u, ɛ",6
