point_id,point_name,subbranch,chain_slot,onset_class,phonetic,token_count,char_count,example_chars
FY01,富阳城关,太湖片-临绍小片,S2,Ø,ua,1,1,瘸
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,S2,Ø,ua,1,1,瘸
XD01,新登下港,太湖片-临绍小片,S1,Ø,ua,1,1,鸦
BL01,北仑城关,太湖片-甬江小片,S1,Ø,uo,12,10,下 / 丫 / 厦 / 哑 / 夏 / 暇 / 桠 / 虾 / 霞 / 鸦
BZ01,堡镇,太湖片-苏沪嘉小片,S1,Ø,uo,1,1,丫
CM01,崇明城关,太湖片-苏沪嘉小片,S1,Ø,uo,2,2,丫 / 鸦
CM01,崇明城关,太湖片-苏沪嘉小片,S2,K,uo,1,1,讹
FY02,富阳东梓关,太湖片-临绍小片,S0,P,uo,1,1,稗
FY02,富阳东梓关,太湖片-临绍小片,S0,TS,uo,2,2,晒 / 钗
FY02,富阳东梓关,太湖片-临绍小片,S1,K,uo,13,12,价 / 假 / 加 / 嫁 / 家 / 揢 / 架 / 枷 / 牙 / 芽 / 衙 / 袈
FY02,富阳东梓关,太湖片-临绍小片,S1,M,uo,7,7,玛 / 码 / 蚂 / 蟆 / 马 / 骂 / 麻
