point_id,point_name,subbranch,candidate_nucleus,observed_token_count,point_monophthong_token_count,in_core_nucleus,in_core_back_nucleus,core_nucleus_token_count,log_core_nucleus_token_count,candidate_is_back,distance_to_au,phonetic_fit_to_au,log_core_nucleus_token_count_z,phonetic_fit_to_au_z,predicted_probability,predicted_token_count
AJ01,安吉安城,太湖片-苕溪小片,ɔ,98,98,1,1,1,0.6931471805599453,1,0.0,-0.0,-0.04050390492150895,2.1616174789064986,0.9181155983505621,89.97532863835508
AJ01,安吉安城,太湖片-苕溪小片,ɒ,0,98,0,0,0,0.0,1,0.35999999999999993,-0.35999999999999993,-0.46693359802595813,1.5138513057933247,0.04841225685389591,4.744401171681799
AJ01,安吉安城,太湖片-苕溪小片,u,0,98,1,1,126,4.844187086458591,1,1.1700000000000002,-1.1700000000000002,2.51324906815806,0.05637741628868252,0.01651210322233701,1.618186115789027
AJ01,安吉安城,太湖片-苕溪小片,a,0,98,1,0,69,4.248495242049359,0,1.5481924944915604,-1.5481924944915604,2.1467746778401966,-0.624123430536104,0.004505213419238588,0.44151091508538165
AJ01,安吉安城,太湖片-苕溪小片,ɤ,0,98,0,0,0,0.0,1,1.0628264204469138,-1.0628264204469138,-0.46693359802595813,0.24922024819407998,0.004331773217766087,0.42451377534107654
AJ01,安吉安城,太湖片-苕溪小片,ʌ,0,98,0,0,0,0.0,1,1.121650569473399,-1.121650569473399,-0.46693359802595813,0.14337498735650964,0.003539382375238122,0.34685947277333595
AJ01,安吉安城,太湖片-苕溪小片,ɜ,0,98,0,0,0,0.0,0,1.425622670975739,-1.425622670975739,-0.46693359802595813,-0.4035773596527684,0.0012460707736971735,0.12211493582232301
AJ01,安吉安城,太湖片-苕溪小片,ɐ,0,98,0,0,0,0.0,0,1.4397569239284802,-1.4397569239284802,-0.46693359802595813,-0.42900983450002067,0.0011870280693047827,0.1163287507918687
AJ01,安吉安城,太湖片-苕溪小片,ə,0,98,0,0,0,0.0,0,1.4397569239284802,-1.4397569239284802,-0.46693359802595813,-0.42900983450002067,0.0011870280693047827,0.1163287507918687
AJ01,安吉安城,太湖片-苕溪小片,ɯ,0,98,0,0,0,0.0,1,1.5391231269784755,-1.5391231269784755,-0.46693359802595813,-0.6078044597402487,0.0008438259989010182,0.08269494789229978
AJ01,安吉安城,太湖片-苕溪小片,æ,0,98,0,0,0,0.0,0,2.1077238908357994,-2.1077238908357994,-0.46693359802595813,-1.6309165176099327,0.00011971964975443279,0.011732525675934413
BL01,北仑,太湖片-甬江小片,ɔ,88,89,0,0,0,0.0,1,0.0,-0.0,-0.46693359802595813,2.1616174789064986,0.6705829573049267,59.68188320013847
BL01,北仑,太湖片-甬江小片,ɒ,0,89,0,0,0,0.0,1,0.35999999999999993,-0.35999999999999993,-0.46693359802595813,1.5138513057933247,0.19476020049923828,17.333657844432206
BL01,北仑,太湖片-甬江小片,u,0,89,1,1,103,4.6443908991413725,1,1.1700000000000002,-1.1700000000000002,2.3903328546458096,0.05637741628868252,0.06642740378643756,5.912038936992944
BL01,北仑,太湖片-甬江小片,a,1,89,1,0,44,3.8066624897703196,0,1.5481924944915604,-1.5481924944915604,1.8749556324166239,-0.624123430536104,0.018124258727924933,1.613059026785319
BL01,北仑,太湖片-甬江小片,ɤ,0,89,0,0,0,0.0,1,1.0628264204469138,-1.0628264204469138,-0.46693359802595813,0.24922024819407998,0.017426517068919945,1.550960019133875
BL01,北仑,太湖片-甬江小片,ʌ,0,89,0,0,0,0.0,1,1.121650569473399,-1.121650569473399,-0.46693359802595813,0.14337498735650964,0.014238766499260484,1.267250218434183
BL01,北仑,太湖片-甬江小片,ɜ,0,89,0,0,0,0.0,0,1.425622670975739,-1.425622670975739,-0.46693359802595813,-0.4035773596527684,0.005012883296350039,0.4461466133751535
BL01,北仑,太湖片-甬江小片,ɐ,0,89,0,0,0,0.0,0,1.4397569239284802,-1.4397569239284802,-0.46693359802595813,-0.42900983450002067,0.00477535731237902,0.4250068008017328
BL01,北仑,太湖片-甬江小片,ə,0,89,0,0,0,0.0,0,1.4397569239284802,-1.4397569239284802,-0.46693359802595813,-0.42900983450002067,0.00477535731237902,0.4250068008017328
BL01,北仑,太湖片-甬江小片,ɯ,0,89,0,0,0,0.0,1,1.5391231269784755,-1.5391231269784755,-0.46693359802595813,-0.6078044597402487,0.003394671750759477,0.3021257858175934
BL01,北仑,太湖片-甬江小片,æ,0,89,0,0,0,0.0,0,2.1077238908357994,-2.1077238908357994,-0.46693359802595813,-1.6309165176099327,0.0004816264414245241,0.042864753286782645
BS01,宝山,太湖片-苏沪嘉小片,ɔ,77,77,0,0,0,0.0,1,0.0,-0.0,-0.46693359802595813,2.1616174789064986,0.6806799550746305,52.41235654074655
BS01,宝山,太湖片-苏沪嘉小片,ɒ,0,77,0,0,0,0.0,1,0.35999999999999993,-0.35999999999999993,-0.46693359802595813,1.5138513057933247,0.19769271360391252,15.222338947501264
BS01,宝山,太湖片-苏沪嘉小片,u,0,77,1,1,184,5.220355825078324,1,1.1700000000000002,-1.1700000000000002,2.744671086834551,0.05637741628868252,0.06742760419501116,5.191925523015859
BS01,宝山,太湖片-苏沪嘉小片,ɤ,0,77,0,0,0,0.0,1,1.0628264204469138,-1.0628264204469138,-0.46693359802595813,0.24922024819407998,0.017688908920758466,1.3620459868984018
BS01,宝山,太湖片-苏沪嘉小片,ʌ,0,77,0,0,0,0.0,1,1.121650569473399,-1.121650569473399,-0.46693359802595813,0.14337498735650964,0.014453160247297528,1.1128933390419096
BS01,宝山,太湖片-苏沪嘉小片,ɜ,0,77,0,0,0,0.0,0,1.425622670975739,-1.425622670975739,-0.46693359802595813,-0.4035773596527684,0.005088362505762778,0.3918039129437339
BS01,宝山,太湖片-苏沪嘉小片,ɐ,0,77,0,0,0,0.0,0,1.4397569239284802,-1.4397569239284802,-0.46693359802595813,-0.42900983450002067,0.004847260082360551,0.37323902634176237
BS01,宝山,太湖片-苏沪嘉小片,ə,0,77,0,0,0,0.0,0,1.4397569239284802,-1.4397569239284802,-0.46693359802595813,-0.42900983450002067,0.004847260082360551,0.37323902634176237
BS01,宝山,太湖片-苏沪嘉小片,ɯ,0,77,0,0,0,0.0,1,1.5391231269784755,-1.5391231269784755,-0.46693359802595813,-0.6078044597402487,0.003445785476097876,0.26532548165953646
BS01,宝山,太湖片-苏沪嘉小片,a,0,77,0,0,0,0.0,0,1.5481924944915604,-1.5481924944915604,-0.46693359802595813,-0.624123430536104,0.003340111499377915,0.25718858545209944
BS01,宝山,太湖片-苏沪嘉小片,æ,0,77,0,0,0,0.0,0,2.1077238908357994,-2.1077238908357994,-0.46693359802595813,-1.6309165176099327,0.0004888783124300715,0.037643630057115504
BZ01,堡镇,太湖片-苏沪嘉小片,ɔ,70,70,1,1,1,0.6931471805599453,1,0.0,-0.0,-0.04050390492150895,2.1616174789064986,0.9215134631880434,64.50594242316303
BZ01,堡镇,太湖片-苏沪嘉小片,ɒ,0,70,0,0,0,0.0,1,0.35999999999999993,-0.35999999999999993,-0.46693359802595813,1.5138513057933247,0.048591426345801395,3.4013998442060975
BZ01,堡镇,太湖片-苏沪嘉小片,u,0,70,1,1,157,5.062595033026967,1,1.1700000000000002,-1.1700000000000002,2.647615384921388,0.05637741628868252,0.01657321305973966,1.1601249141817762
BZ01,堡镇,太湖片-苏沪嘉小片,ɤ,0,70,0,0,0,0.0,1,1.0628264204469138,-1.0628264204469138,-0.46693359802595813,0.24922024819407998,0.004347804728315558,0.3043463309820891
BZ01,堡镇,太湖片-苏沪嘉小片,ʌ,0,70,0,0,0,0.0,1,1.121650569473399,-1.121650569473399,-0.46693359802595813,0.14337498735650964,0.0035524813171805406,0.24867369220263785
BZ01,堡镇,太湖片-苏沪嘉小片,ɜ,0,70,0,0,0,0.0,0,1.425622670975739,-1.425622670975739,-0.46693359802595813,-0.4035773596527684,0.0012506823717078873,0.08754776601955211
BZ01,堡镇,太湖片-苏沪嘉小片,ɐ,0,70,0,0,0,0.0,0,1.4397569239284802,-1.4397569239284802,-0.46693359802595813,-0.42900983450002067,0.0011914211554750211,0.08339948088325148
BZ01,堡镇,太湖片-苏沪嘉小片,ə,0,70,0,0,0,0.0,0,1.4397569239284802,-1.4397569239284802,-0.46693359802595813,-0.42900983450002067,0.0011914211554750211,0.08339948088325148
BZ01,堡镇,太湖片-苏沪嘉小片,ɯ,0,70,0,0,0,0.0,1,1.5391231269784755,-1.5391231269784755,-0.46693359802595813,-0.6078044597402487,0.0008469489244844299,0.059286424713910095
BZ01,堡镇,太湖片-苏沪嘉小片,a,0,70,0,0,0,0.0,0,1.5481924944915604,-1.5481924944915604,-0.46693359802595813,-0.624123430536104,0.0008209750321600835,0.057468252251205845
BZ01,堡镇,太湖片-苏沪嘉小片,æ,0,70,0,0,0,0.0,0,2.1077238908357994,-2.1077238908357994,-0.46693359802595813,-1.6309165176099327,0.00012016272161704682,0.008411390513193277
CM01,崇明城桥,太湖片-苏沪嘉小片,ɔ,97,98,1,1,1,0.6931471805599453,1,0.0,-0.0,-0.04050390492150895,2.1616174789064986,0.9210145614271905,90.25942701986467
CM01,崇明城桥,太湖片-苏沪嘉小片,ɒ,0,98,0,0,0,0.0,1,0.35999999999999993,-0.35999999999999993,-0.46693359802595813,1.5138513057933247,0.048565119244348524,4.759381685946155
CM01,崇明城桥,太湖片-苏沪嘉小片,u,1,98,1,1,207,5.337538079701318,1,1.1700000000000002,-1.1700000000000002,2.8167625477502587,0.05637741628868252,0.016564240423409544,1.6232955614941353
CM01,崇明城桥,太湖片-苏沪嘉小片,ɤ,0,98,0,0,0,0.0,1,1.0628264204469138,-1.0628264204469138,-0.46693359802595813,0.24922024819407998,0.004345450853389741,0.42585418363219457
CM01,崇明城桥,太湖片-苏沪嘉小片,ʌ,0,98,0,0,0,0.0,1,1.121650569473399,-1.121650569473399,-0.46693359802595813,0.14337498735650964,0.003550558025492097,0.3479546864982255
CM01,崇明城桥,太湖片-苏沪嘉小片,ɜ,0,98,0,0,0,0.0,0,1.425622670975739,-1.425622670975739,-0.46693359802595813,-0.4035773596527684,0.0012500052599103515,0.12250051547121445
CM01,崇明城桥,太湖片-苏沪嘉小片,ɐ,0,98,0,0,0,0.0,0,1.4397569239284802,-1.4397569239284802,-0.46693359802595813,-0.42900983450002067,0.0011907761273380177,0.11669606047912573
CM01,崇明城桥,太湖片-苏沪嘉小片,ə,0,98,0,0,0,0.0,0,1.4397569239284802,-1.4397569239284802,-0.46693359802595813,-0.42900983450002067,0.0011907761273380177,0.11669606047912573
CM01,崇明城桥,太湖片-苏沪嘉小片,ɯ,0,98,0,0,0,0.0,1,1.5391231269784755,-1.5391231269784755,-0.46693359802595813,-0.6078044597402487,0.0008464903915094303,0.08295605836792418
CM01,崇明城桥,太湖片-苏沪嘉小片,a,0,98,0,0,0,0.0,0,1.5481924944915604,-1.5481924944915604,-0.46693359802595813,-0.624123430536104,0.0008205305612917534,0.08041199500659184
CM01,崇明城桥,太湖片-苏沪嘉小片,æ,0,98,1,0,1,0.6931471805599453,0,2.1077238908357994,-2.1077238908357994,-0.04050390492150895,-1.6309165176099327,0.0006614915587821002,0.06482617276064581
CS01,川沙浦东,太湖片-苏沪嘉小片,ɔ,87,87,1,1,11,2.4849066497880004,1,0.0,-0.0,1.0618008609475234,2.1616174789064986,0.9037992930443971,78.63053849486255
