point_id,point_name,unique_vowel_count,token_vowel_count,unique_vowel_set,slot_coverage,S0_slot_unique_vowel_count,S1_slot_unique_vowel_count,S2_slot_unique_vowel_count,S3_slot_unique_vowel_count,S0_slot_token_vowel_count,S1_slot_token_vowel_count,S2_slot_token_vowel_count,S3_slot_token_vowel_count,subbranch,lat,lon
BL01,北仑城关,8,325,"a, au, e, ia, o, u, uo, øy","S0,S1,S2,S3",3,5,5,2,47,68,100,110,太湖片-甬江小片,29.89811926756077,121.8555161345704
DS01,岱山岱西镇,10,328,"a, e, ia, iᴇ, o, u, ɐu, ɔ, ɵ, ᴇ","S0,S1,S2,S3",6,5,6,2,45,70,91,122,太湖片-甬江小片,30.291651438527133,122.12280037007493
FH01,奉化西坞,8,284,"a, i, ia, ie, o, u, y, əu","S0,S1,S2,S3",5,3,5,3,38,57,83,106,太湖片-甬江小片,29.680714793011017,121.49111464156624
NB01,宁波市区,9,295,"a, ia, ie, o, u, uo, yo, ø, əu","S0,S1,S2,S3",4,5,7,2,42,67,88,98,太湖片-甬江小片,29.882641254266098,121.55751200020596
XS01,象山丹城,5,329,"a, ia, o, u, y","S0,S1,S2,S3",3,3,5,2,41,70,93,125,太湖片-甬江小片,29.47877399078279,121.8761040477852
YX02,鄞县中区,6,311,"a, ia, ie, o, u, əu","S0,S1,S2,S3",4,3,3,2,42,63,91,115,太湖片-甬江小片,29.816552546783488,121.54599962737127
ZS01,舟山定海,7,343,"a, au, i, ia, o, u, y","S0,S1,S2,S3",3,3,7,2,43,76,99,125,太湖片-甬江小片,30.021127079101433,122.11093332969364
BS01,宝山,8,288,"ia, iᴀ, iᴇ, o, u, y, ᴀ, ᴇ","S0,S1,S2,S3",5,4,3,1,41,60,77,110,太湖片-苏沪嘉小片,31.40789362562556,121.4823088278808
BZ01,堡镇,7,249,"i, iɑ, o, u, uo, ɑ, ɔ","S0,S1,S2,S3",3,5,3,1,34,53,67,95,太湖片-苏沪嘉小片,31.53717747015217,121.61845579374194
CM01,崇明城关,8,328,"i, iɑ, o, u, uo, æ, ɑ, ɔ","S0,S1,S2,S3",4,5,5,2,45,68,96,119,太湖片-苏沪嘉小片,31.62502137629809,121.39837364780428
