point_id,point_name,subbranch,chain_slot,total_tokens,eligible_tokens,clear_split_tokens,i_medial_tokens,i_offglide_tokens,non_core_diphthong_tokens,medial_pending_tokens,checked_or_coda_tokens,monophthong_tokens,point_count,value_types,clear_split_values,clear_split_rate,raw_clear_split_share,medial_pending_share,i_offglide_share,non_core_diphthong_share
XD01,新登下港,太湖片-临绍小片,S0,45,31,0,12,1,0,1,0,31,1,7,,0.0,0.0,0.022222222222222223,0.022222222222222223,0.0
XD01,新登下港,太湖片-临绍小片,S1,70,44,0,9,0,0,17,0,44,1,5,,0.0,0.0,0.24285714285714285,0.0,0.0
XD01,新登下港,太湖片-临绍小片,S2,107,107,0,0,0,0,0,0,107,1,5,,0.0,0.0,0.0,0.0,0.0
XD01,新登下港,太湖片-临绍小片,S3,118,118,0,0,0,0,0,0,118,1,1,,0.0,0.0,0.0,0.0,0.0
XH02,萧山城厢,太湖片-临绍小片,S0,46,38,0,8,0,0,0,0,38,1,4,,0.0,0.0,0.0,0.0,0.0
XH02,萧山城厢,太湖片-临绍小片,S1,74,66,0,8,0,0,0,0,66,1,4,,0.0,0.0,0.0,0.0,0.0
XH02,萧山城厢,太湖片-临绍小片,S2,91,91,0,0,0,0,0,0,91,1,3,,0.0,0.0,0.0,0.0,0.0
XH02,萧山城厢,太湖片-临绍小片,S3,120,120,0,0,0,0,0,0,120,1,2,,0.0,0.0,0.0,0.0,0.0
XS01,象山丹城,太湖片-甬江小片,S0,41,38,0,3,0,0,0,0,38,1,4,,0.0,0.0,0.0,0.0,0.0
XS01,象山丹城,太湖片-甬江小片,S1,72,65,0,7,0,0,0,0,65,1,3,,0.0,0.0,0.0,0.0,0.0
XS01,象山丹城,太湖片-甬江小片,S2,93,93,0,0,0,0,0,0,93,1,3,,0.0,0.0,0.0,0.0,0.0
XS01,象山丹城,太湖片-甬江小片,S3,125,125,0,0,0,0,0,0,125,1,2,,0.0,0.0,0.0,0.0,0.0
XS03,萧山南阳镇,太湖片-临绍小片,S0,29,28,0,1,0,0,0,0,28,1,2,,0.0,0.0,0.0,0.0,0.0
XS03,萧山南阳镇,太湖片-临绍小片,S1,62,56,0,6,0,0,0,0,56,1,3,,0.0,0.0,0.0,0.0,0.0
XS03,萧山南阳镇,太湖片-临绍小片,S2,76,76,0,0,0,0,0,0,76,1,2,,0.0,0.0,0.0,0.0,0.0
XS03,萧山南阳镇,太湖片-临绍小片,S3,105,105,0,0,0,0,0,0,105,1,2,,0.0,0.0,0.0,0.0,0.0
XZ01,莘庄,太湖片-苏沪嘉小片,S0,38,34,0,4,0,0,0,0,34,1,4,,0.0,0.0,0.0,0.0,0.0
XZ01,莘庄,太湖片-苏沪嘉小片,S1,56,47,0,9,0,0,0,0,47,1,4,,0.0,0.0,0.0,0.0,0.0
XZ01,莘庄,太湖片-苏沪嘉小片,S2,63,63,0,0,0,0,0,0,63,1,4,,0.0,0.0,0.0,0.0,0.0
XZ01,莘庄,太湖片-苏沪嘉小片,S3,95,95,0,0,0,0,0,0,95,1,2,,0.0,0.0,0.0,0.0,0.0
YQ01,於潜,太湖片-临绍小片,S0,35,31,0,2,0,0,2,0,31,1,3,,0.0,0.0,0.05714285714285714,0.0,0.0
YQ01,於潜,太湖片-临绍小片,S1,73,7,0,17,0,0,49,0,7,1,3,,0.0,0.0,0.6712328767123288,0.0,0.0
YQ01,於潜,太湖片-临绍小片,S2,92,92,0,0,0,0,0,0,92,1,3,,0.0,0.0,0.0,0.0,0.0
YQ01,於潜,太湖片-临绍小片,S3,118,118,0,0,0,0,0,0,118,1,1,,0.0,0.0,0.0,0.0,0.0
YX01,宜兴,太湖片-毗陵小片,S0,40,28,0,12,0,0,0,0,28,1,4,,0.0,0.0,0.0,0.0,0.0
YX01,宜兴,太湖片-毗陵小片,S1,70,59,0,11,0,0,0,0,59,1,3,,0.0,0.0,0.0,0.0,0.0
YX01,宜兴,太湖片-毗陵小片,S2,91,79,0,0,0,11,0,1,79,1,4,,0.0,0.0,0.0,0.0,0.12087912087912088
YX01,宜兴,太湖片-毗陵小片,S3,118,112,0,0,0,3,0,1,112,1,5,,0.0,0.0,0.0,0.0,0.025423728813559324
YX02,鄞县中区,太湖片-甬江小片,S0,45,38,0,7,0,0,0,0,38,1,5,,0.0,0.0,0.0,0.0,0.0
YX02,鄞县中区,太湖片-甬江小片,S1,63,61,0,2,0,0,0,0,61,1,3,,0.0,0.0,0.0,0.0,0.0
YX02,鄞县中区,太湖片-甬江小片,S2,91,91,85,0,0,0,0,0,6,1,3,əu,0.9340659340659341,0.9340659340659341,0.0,0.0,0.0
YX02,鄞县中区,太湖片-甬江小片,S3,115,115,10,0,0,0,0,0,105,1,2,əu,0.08695652173913043,0.08695652173913043,0.0,0.0,0.0
YY01,余姚城关,太湖片-临绍小片,S0,44,41,0,3,0,0,0,0,41,1,2,,0.0,0.0,0.0,0.0,0.0
YY01,余姚城关,太湖片-临绍小片,S1,77,72,0,5,0,0,0,0,72,1,4,,0.0,0.0,0.0,0.0,0.0
YY01,余姚城关,太湖片-临绍小片,S2,95,95,88,0,0,0,0,0,7,1,3,ou,0.9263157894736842,0.9263157894736842,0.0,0.0,0.0
YY01,余姚城关,太湖片-临绍小片,S3,120,108,13,0,0,0,0,0,95,1,5,ou,0.12037037037037036,0.10833333333333334,0.0,0.0,0.0
ZJ01,诸暨城关,太湖片-临绍小片,S0,35,32,0,3,0,0,0,0,32,1,3,,0.0,0.0,0.0,0.0,0.0
ZJ01,诸暨城关,太湖片-临绍小片,S1,64,55,0,9,0,0,0,0,55,1,4,,0.0,0.0,0.0,0.0,0.0
ZJ01,诸暨城关,太湖片-临绍小片,S2,81,7,0,0,74,0,0,0,7,1,4,,0.0,0.0,0.0,0.9135802469135802,0.0
ZJ01,诸暨城关,太湖片-临绍小片,S3,89,81,0,0,8,0,0,0,81,1,2,,0.0,0.0,0.0,0.0898876404494382,0.0
ZJ02,诸暨璜山镇,太湖片-临绍小片,S0,42,34,0,8,0,0,0,0,34,1,5,,0.0,0.0,0.0,0.0,0.0
ZJ02,诸暨璜山镇,太湖片-临绍小片,S1,66,61,0,5,0,0,0,0,61,1,4,,0.0,0.0,0.0,0.0,0.0
ZJ02,诸暨璜山镇,太湖片-临绍小片,S2,81,81,77,0,0,0,0,0,4,1,3,ɤɯ,0.9506172839506173,0.9506172839506173,0.0,0.0,0.0
ZJ02,诸暨璜山镇,太湖片-临绍小片,S3,121,121,9,0,0,0,0,0,112,1,2,ɤɯ,0.0743801652892562,0.0743801652892562,0.0,0.0,0.0
ZJ03,诸暨直埠镇,太湖片-临绍小片,S0,28,27,0,1,0,0,0,0,27,1,3,,0.0,0.0,0.0,0.0,0.0
ZJ03,诸暨直埠镇,太湖片-临绍小片,S1,48,46,0,2,0,0,0,0,46,1,3,,0.0,0.0,0.0,0.0,0.0
ZJ03,诸暨直埠镇,太湖片-临绍小片,S2,60,60,58,0,0,0,0,0,2,1,3,ou,0.9666666666666667,0.9666666666666667,0.0,0.0,0.0
ZJ03,诸暨直埠镇,太湖片-临绍小片,S3,91,91,2,0,0,0,0,0,89,1,3,ou,0.02197802197802198,0.02197802197802198,0.0,0.0,0.0
ZP01,周浦,太湖片-苏沪嘉小片,S0,35,31,0,4,0,0,0,0,31,1,4,,0.0,0.0,0.0,0.0,0.0
ZP01,周浦,太湖片-苏沪嘉小片,S1,52,38,0,14,0,0,0,0,38,1,5,,0.0,0.0,0.0,0.0,0.0
ZP01,周浦,太湖片-苏沪嘉小片,S2,64,64,0,0,0,0,0,0,64,1,4,,0.0,0.0,0.0,0.0,0.0
ZP01,周浦,太湖片-苏沪嘉小片,S3,95,95,0,0,0,0,0,0,95,1,2,,0.0,0.0,0.0,0.0,0.0
ZR01,真如,太湖片-苏沪嘉小片,S0,34,29,0,5,0,0,0,0,29,1,3,,0.0,0.0,0.0,0.0,0.0
ZR01,真如,太湖片-苏沪嘉小片,S1,52,45,0,7,0,0,0,0,45,1,4,,0.0,0.0,0.0,0.0,0.0
ZR01,真如,太湖片-苏沪嘉小片,S2,64,64,0,0,0,0,0,0,64,1,2,,0.0,0.0,0.0,0.0,0.0
ZR01,真如,太湖片-苏沪嘉小片,S3,95,95,0,0,0,0,0,0,95,1,2,,0.0,0.0,0.0,0.0,0.0
ZS01,舟山定海,太湖片-甬江小片,S0,41,36,0,5,0,0,0,0,36,1,3,,0.0,0.0,0.0,0.0,0.0
ZS01,舟山定海,太湖片-甬江小片,S1,75,69,0,6,0,0,0,0,69,1,3,,0.0,0.0,0.0,0.0,0.0
ZS01,舟山定海,太湖片-甬江小片,S2,95,13,0,0,0,82,0,0,13,1,4,,0.0,0.0,0.0,0.0,0.8631578947368421
ZS01,舟山定海,太湖片-甬江小片,S3,125,116,0,0,0,9,0,0,116,1,2,,0.0,0.0,0.0,0.0,0.072
