point_id,point_name,subbranch,chain_slot,total_tokens,eligible_tokens,clear_split_tokens,i_medial_tokens,i_offglide_tokens,non_core_diphthong_tokens,medial_pending_tokens,checked_or_coda_tokens,monophthong_tokens,point_count,value_types,clear_split_values,clear_split_rate,raw_clear_split_share,medial_pending_share,i_offglide_share,non_core_diphthong_share
JX01,嘉兴城区,太湖片-苏沪嘉小片,S1,57,53,0,4,0,0,0,0,53,1,3,,0.0,0.0,0.0,0.0,0.0
JX01,嘉兴城区,太湖片-苏沪嘉小片,S2,64,64,0,0,0,0,0,0,64,1,3,,0.0,0.0,0.0,0.0,0.0
JX01,嘉兴城区,太湖片-苏沪嘉小片,S3,107,107,0,0,0,0,0,0,107,1,1,,0.0,0.0,0.0,0.0,0.0
JY01,江阴城区澄江镇,太湖片-毗陵小片,S0,42,36,0,6,0,0,0,0,36,1,3,,0.0,0.0,0.0,0.0,0.0
JY01,江阴城区澄江镇,太湖片-毗陵小片,S1,74,65,0,9,0,0,0,0,65,1,3,,0.0,0.0,0.0,0.0,0.0
JY01,江阴城区澄江镇,太湖片-毗陵小片,S2,105,105,85,0,0,0,0,0,20,1,5,əɯ,0.8095238095238095,0.8095238095238095,0.0,0.0,0.0
JY01,江阴城区澄江镇,太湖片-毗陵小片,S3,124,124,56,0,0,0,0,0,68,1,2,əɯ,0.45161290322580644,0.45161290322580644,0.0,0.0,0.0
KQ01,柯桥城关,太湖片-临绍小片,S0,49,44,0,5,0,0,0,0,44,1,4,,0.0,0.0,0.0,0.0,0.0
KQ01,柯桥城关,太湖片-临绍小片,S1,75,72,0,3,0,0,0,0,72,1,4,,0.0,0.0,0.0,0.0,0.0
KQ01,柯桥城关,太湖片-临绍小片,S2,117,116,0,1,0,0,0,0,116,1,4,,0.0,0.0,0.0,0.0,0.0
KQ01,柯桥城关,太湖片-临绍小片,S3,133,133,0,0,0,0,0,0,133,1,4,,0.0,0.0,0.0,0.0,0.0
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,S0,42,39,0,3,0,0,0,0,39,1,4,,0.0,0.0,0.0,0.0,0.0
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,S1,61,57,0,4,0,0,0,0,57,1,3,,0.0,0.0,0.0,0.0,0.0
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,S2,90,89,73,0,0,0,1,0,16,1,5,əu,0.8202247191011236,0.8111111111111111,0.011111111111111112,0.0,0.0
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,S3,119,118,91,0,0,0,0,0,27,1,4,əu,0.7711864406779662,0.7647058823529411,0.0,0.0,0.0
LA01,临安城区,太湖片-临绍小片,S0,45,39,0,6,0,0,0,0,39,1,3,,0.0,0.0,0.0,0.0,0.0
LA01,临安城区,太湖片-临绍小片,S1,67,61,0,6,0,0,0,0,61,1,3,,0.0,0.0,0.0,0.0,0.0
LA01,临安城区,太湖片-临绍小片,S2,83,83,0,0,0,0,0,0,83,1,3,,0.0,0.0,0.0,0.0,0.0
