point_id,point_name,cluster_k3,representative_chain,representative_chain_collapsed,ordered_diphthong_pattern,subbranch,lat,lon,cluster_label
YY01,余姚城关,2,a → o → ou → u,S0 a → S1 o → S2 ou → S3 u,S2 ou,太湖片-临绍小片,30.03828439897687,121.15542443185122,S2 前增生复元音型
ZJ01,诸暨城关,2,a → o → ɔi → u,S0 a → S1 o → S2 ɔi → S3 u,S2 ɔi,太湖片-临绍小片,29.7117133107683,120.24004681294583,S2 前增生复元音型
ZJ02,诸暨璜山镇,2,a → ʊ → ɤɯ → u,S0 a → S1 ʊ → S2 ɤɯ → S3 u,S2 ɤɯ,太湖片-临绍小片,29.571826761282235,120.33308245398152,S2 前增生复元音型
ZJ03,诸暨直埠镇,2,a → o → ou → u,S0 a → S1 o → S2 ou → S3 u,S2 ou,太湖片-临绍小片,29.830264930206425,120.2501858189284,S2 前增生复元音型
ZS01,舟山定海,2,a → o → au → u,S0 a → S1 o → S2 au → S3 u,S2 au,太湖片-甬江小片,30.021127079101433,122.11093332969364,S2 前增生复元音型
AJ01,安吉安城,3,a → ɷ → u → u,S0 a → S1 ɷ → S2–S3 u,无,太湖片-苕溪小片,30.71501207030173,119.69403152449726,S2–S3 U并位型
BS01,宝山,3,ᴀ → o → u → u,S0 ᴀ → S1 o → S2–S3 u,无,太湖片-苏沪嘉小片,31.40789362562556,121.4823088278808,S2–S3 U并位型
BZ01,堡镇,3,ɑ → o → u → u,S0 ɑ → S1 o → S2–S3 u,无,太湖片-苏沪嘉小片,31.53717747015217,121.61845579374194,S2–S3 U并位型
CM01,崇明城桥,3,ɑ → o → u → u,S0 ɑ → S1 o → S2–S3 u,无,太湖片-苏沪嘉小片,31.62502137629809,121.39837364780428,S2–S3 U并位型
CS01,川沙浦东,3,ᴀ → ɔ → u → u,S0 ᴀ → S1 ɔ → S2–S3 u,无,太湖片-苏沪嘉小片,31.1932,121.6957,S2–S3 U并位型
CS02,常熟虞山镇,3,ᴀ → u → ɯ → u,S0 ᴀ → S1 u → S2 ɯ → S3 u,无,太湖片-苏沪嘉小片,31.657,120.721,S2–S3 U并位型
CX02,长兴,3,a → o → u → u,S0 a → S1 o → S2–S3 u,无,太湖片-苕溪小片,31.015985667983664,119.92556298117788,S2–S3 U并位型
DQ01,德清乾元,3,a → ɔ → u → u,S0 a → S1 ɔ → S2–S3 u,无,太湖片-苕溪小片,30.5502,120.0847,S2–S3 U并位型
FC01,奉城,3,ɑ → o → u → u,S0 ɑ → S1 o → S2–S3 u,无,太湖片-苏沪嘉小片,30.9091313735184,121.6571711938398,S2–S3 U并位型
