point_id,point_name,onset_class,valid_slots,onset_inventory_size,slot_inventory_size,ratio,S0_onset_size,S0_slot_size,S0_ratio,S1_onset_size,S1_slot_size,S1_ratio,S2_onset_size,S2_slot_size,S2_ratio,S3_onset_size,S3_slot_size,S3_ratio
ZJ03,诸暨直埠镇,TS,S0+S1+S2+S3,8,12,0.6666666666666666,2,3,0.6666666666666666,2,3,0.6666666666666666,2,3,0.6666666666666666,2,3,0.6666666666666666
ZJ03,诸暨直埠镇,Ø,S0+S1+S2+S3,6,12,0.5,2,3,0.6666666666666666,2,3,0.6666666666666666,1,3,0.3333333333333333,1,3,0.3333333333333333
ZP01,周浦,K,S0+S1+S2+S3,9,15,0.6,2,4,0.5,2,5,0.4,4,4,1.0,1,2,0.5
ZP01,周浦,M,S0+S1+S2+S3,6,15,0.4,1,4,0.25,2,5,0.4,1,4,0.25,2,2,1.0
ZP01,周浦,N,S2+S3,2,6,0.3333333333333333,,,,,,,1,4,0.25,1,2,0.5
ZP01,周浦,P,S0+S1+S2+S3,5,15,0.3333333333333333,1,4,0.25,2,5,0.4,1,4,0.25,1,2,0.5
ZP01,周浦,T,S2+S3,3,6,0.5,,,,,,,2,4,0.5,1,2,0.5
ZP01,周浦,TS,S0+S1+S2+S3,9,15,0.6,3,4,0.75,3,5,0.6,1,4,0.25,2,2,1.0
ZP01,周浦,Ø,S0+S1+S2+S3,5,15,0.3333333333333333,1,4,0.25,2,5,0.4,1,4,0.25,1,2,0.5
ZR01,真如,K,S0+S1+S2+S3,7,11,0.6363636363636364,2,3,0.6666666666666666,2,4,0.5,2,2,1.0,1,2,0.5
ZR01,真如,M,S0+S1+S2+S3,5,11,0.45454545454545453,1,3,0.3333333333333333,2,4,0.5,1,2,0.5,1,2,0.5
ZR01,真如,N,S2+S3,2,4,0.5,,,,,,,1,2,0.5,1,2,0.5
ZR01,真如,P,S0+S1+S2+S3,5,11,0.45454545454545453,1,3,0.3333333333333333,2,4,0.5,1,2,0.5,1,2,0.5
ZR01,真如,T,S2+S3,3,4,0.75,,,,,,,2,2,1.0,1,2,0.5
ZR01,真如,TS,S0+S1+S2+S3,7,11,0.6363636363636364,2,3,0.6666666666666666,2,4,0.5,1,2,0.5,2,2,1.0
ZR01,真如,Ø,S0+S1+S2+S3,6,11,0.5454545454545454,1,3,0.3333333333333333,3,4,0.75,1,2,0.5,1,2,0.5
ZS01,舟山定海,K,S0+S1+S2+S3,11,13,0.8461538461538461,2,4,0.5,2,3,0.6666666666666666,6,4,1.5,1,2,0.5
ZS01,舟山定海,M,S0+S1+S2+S3,5,13,0.38461538461538464,1,4,0.25,2,3,0.6666666666666666,1,4,0.25,1,2,0.5
ZS01,舟山定海,N,S2+S3,4,6,0.6666666666666666,,,,,,,3,4,0.75,1,2,0.5
ZS01,舟山定海,P,S0+S1+S2+S3,7,13,0.5384615384615384,2,4,0.5,2,3,0.6666666666666666,2,4,0.5,1,2,0.5
ZS01,舟山定海,T,S2+S3,5,6,0.8333333333333334,,,,,,,4,4,1.0,1,2,0.5
ZS01,舟山定海,TS,S0+S1+S2+S3,7,13,0.5384615384615384,1,4,0.25,2,3,0.6666666666666666,2,4,0.5,2,2,1.0
ZS01,舟山定海,Ø,S0+S1+S2+S3,7,13,0.5384615384615384,1,4,0.25,3,3,1.0,2,4,0.5,1,2,0.5
