point_id,point_name,onset_class,S0,S1,S2,S3
WJ01,吴江市松陵, M,ɔ,o,o,o
WJ01,吴江市松陵, N,ɔ,ɔ,əu,əu
WJ01,吴江市松陵, P,ɔ,o,u,u
WJ01,吴江市松陵, T,,,əu,əu
WJ01,吴江市松陵, Ø,ɔ,o,u,u
WJ01,吴江市松陵,TS,,o,əu,əu
WJ01,吴江市松陵,TS*,ɔ,o,,
WJ02,吴江芦墟, K,ɔ,ɔ,əu,əu
WJ02,吴江芦墟, M,ɔ,o,o,o
WJ02,吴江芦墟, N,ɔ,o,əu,əu
WJ02,吴江芦墟, P,ɔ,o,u,u
WJ02,吴江芦墟, T,,,əu,əu
WJ02,吴江芦墟, Ø,ɔ,o,u,u
WJ02,吴江芦墟,TS,,o,əu,əu
WJ02,吴江芦墟,TS*,ɔ,o,,
WX01,无锡城区, K,a,a,əɯ,u
WX01,无锡城区, M,a,u,əɯ,əɯ
WX01,无锡城区, N,a,əɯ,əɯ,əɯ
WX01,无锡城区, P,a,u,əɯ,əɯ
WX01,无锡城区, T,,,əɯ,əɯ
WX01,无锡城区, Ø,a,u,əɯ,u
WX01,无锡城区,TS,,əɯ,əɯ,əɯ
WX01,无锡城区,TS*,a,əɯ,,
WX02,吴县光福镇, K,a,a,əu,əu
WX02,吴县光福镇, M,a,o,o,o
WX02,吴县光福镇, N,a,æ,əu,əu
WX02,吴县光福镇, P,a,o,u,u
WX02,吴县光福镇, T,,,əu,əu
WX02,吴县光福镇, Ø,a,o,əu,əu
WX02,吴县光福镇,TS,,,əu,əu
WX02,吴县光福镇,TS*,a,o,,
XC01,新昌城关, K,a,o̞,o,u
XC01,新昌城关, M,a,o̞,o,o
XC01,新昌城关, N,a,a,o,u
XC01,新昌城关, P,a,o̞,o,u
XC01,新昌城关, T,,,o,u
XC01,新昌城关, Ø,a,o̞,o,u
XC01,新昌城关,TS,,o̞,o,u
XC01,新昌城关,TS*,a,o̞,,
XD01,新登下港, K,a,o,u,u
XD01,新登下港, M,a,o,u,u
XD01,新登下港, N,a,a,u,u
XD01,新登下港, P,a,o,u,u
XD01,新登下港, T,,,u,u
XD01,新登下港, Ø,a,o,u,u
XD01,新登下港,TS,,yo,u,u
XD01,新登下港,TS*,ia,yo,,
XH02,萧山城厢, K,a,o,o,u
XH02,萧山城厢, M,a,o,o,o
XH02,萧山城厢, N,a,a,o,u
XH02,萧山城厢, P,a,o,o,u
XH02,萧山城厢, T,,,o,u
XH02,萧山城厢, Ø,a,o,o,u
XH02,萧山城厢,TS,,o,o,u
XH02,萧山城厢,TS*,a,o,,
XS01,象山丹城, K,a,o,o,u
XS01,象山丹城, M,a,o,o,o
XS01,象山丹城, N,a,a,o,u
XS01,象山丹城, P,a,o,o,u
XS01,象山丹城, T,,,o,u
XS01,象山丹城, Ø,a,o,o,u
XS01,象山丹城,TS,,o,o,u
XS01,象山丹城,TS*,a,o,,
XS03,萧山南阳镇, K,a,o,o,u
XS03,萧山南阳镇, M,a,o,o,o
XS03,萧山南阳镇, N,a,o,o,u
XS03,萧山南阳镇, P,a,o,o,u
XS03,萧山南阳镇, T,,,o,u
XS03,萧山南阳镇, Ø,a,o,o,u
XS03,萧山南阳镇,TS,,o,o,u
XS03,萧山南阳镇,TS*,a,o,,
XZ01,莘庄, K,ᴀ,ᴀ,u,u
XZ01,莘庄, M,ᴀ,o,o,o
XZ01,莘庄, N,ᴀ,o,u,u
XZ01,莘庄, P,ᴀ,o,u,u
XZ01,莘庄, T,,,u,u
XZ01,莘庄, Ø,ᴀ,iᴀ,u,u
XZ01,莘庄,TS,,o,u,u
XZ01,莘庄,TS*,ᴀ,o,,
YQ01,於潜, K,a,ia,u,u
YQ01,於潜, M,a,uo,u,u
YQ01,於潜, N,a,a,u,u
YQ01,於潜, P,a,uo,u,u
YQ01,於潜, T,,,u,u
YQ01,於潜, Ø,a,uo,u,u
YQ01,於潜,TS,,uo,u,u
YQ01,於潜,TS*,a,uo,,
YX01,宜兴, K,ia,o,ɷ,u
YX01,宜兴, M,a,o,au,ɷ
YX01,宜兴, N,a,o,ɷ,u
