point_id,point_name,subbranch,core_slots,monophthong_values,monophthong_value_size,monophthong_token_count,monophthong_nuclei,monophthong_nucleus_size,monophthong_nucleus_counts,back_monophthong_values,back_monophthong_value_size,back_monophthong_token_count,back_monophthong_nuclei,back_monophthong_nucleus_size,back_monophthong_nucleus_counts
FY02,富阳东梓关,太湖片-临绍小片,S0+S1+S2+S3,"a, o, u, ɔ, ɛ",5,227,"a, o, u, ɔ, ɛ",5,"u(182), a(40), ɛ(3), ɔ(1), o(1)","o, u, ɔ",3,184,"o, u, ɔ",3,"u(182), ɔ(1), o(1)"
GQ01,高桥,太湖片-苏沪嘉小片,S0+S1+S2+S3,"e, o, u, ɔ, ɛ, ᴀ",6,235,"e, o, u, ɔ, ɛ, ᴀ",6,"u(155), ᴀ(49), o(27), ɛ(2), ɔ(1), e(1)","o, u, ɔ",3,183,"o, u, ɔ",3,"u(155), o(27), ɔ(1)"
HM01,海门镇沙地话,太湖片-苏沪嘉小片,S0+S1+S2+S3,"o, u, ɑ, ɛ",4,327,"o, u, ɑ, ɛ",4,"u(206), ɑ(67), o(44), ɛ(10)","o, u, ɑ",3,317,"o, u, ɑ",3,"u(206), ɑ(67), o(44)"
HM02,海门四甲,太湖片-毗陵小片,S0+S1+S2+S3,"o, ɑ, ɛ, ɤ, ɯ",5,304,"o, ɑ, ɛ, ɤ, ɯ",5,"ɤ(120), ɯ(110), ɑ(47), o(20), ɛ(7)","o, ɑ, ɤ, ɯ",4,297,"o, ɑ, ɤ, ɯ",4,"ɤ(120), ɯ(110), ɑ(47), o(20)"
HN01,海宁城关,太湖片-苏沪嘉小片,S0+S1+S2+S3,"a, o, u",3,261,"a, o, u",3,"u(161), a(51), o(49)","o, u",2,210,"o, u",2,"u(161), o(49)"
HY01,海盐县城,太湖片-苏沪嘉小片,S0+S1+S2+S3,"e, o, u, ɑ, ɛ, ɤ",6,285,"e, o, u, ɑ, ɛ, ɤ",6,"u(170), o(58), ɑ(54), e(1), ɤ(1), ɛ(1)","o, u, ɑ, ɤ",4,283,"o, u, ɑ, ɤ",4,"u(170), o(58), ɑ(54), ɤ(1)"
HZ01,杭州城区,太湖片-杭州小片,S0+S1+S2+S3,"a, o, u, ɛ",4,245,"a, o, u, ɛ",4,"u(98), o(89), a(42), ɛ(16)","o, u",2,187,"o, u",2,"u(98), o(89)"
HZ02,湖州市区,太湖片-苕溪小片,S0+S1+S2+S3,"a, e, u, ɷ",4,151,"a, e, u, ɷ",4,"a(55), ɷ(49), u(46), e(1)","u, ɷ",2,95,"u, ɷ",2,"ɷ(49), u(46)"
JD01,嘉定城关,太湖片-苏沪嘉小片,S0+S1+S2+S3,"o, u, ø, ᴀ, ᴇ",5,316,"o, u, ø, ᴀ, ᴇ",5,"u(206), ᴀ(57), o(50), ᴇ(2), ø(1)","o, u",2,256,"o, u",2,"u(206), o(50)"
JJ01,靖江城区,太湖片-毗陵小片,S0+S1+S2+S3,"o, u, æ, ɑ",4,115,"o, u, æ, ɑ",4,"u(55), æ(30), o(25), ɑ(5)","o, u, ɑ",3,85,"o, u, ɑ",3,"u(55), o(25), ɑ(5)"
JS01,嘉善魏塘镇,太湖片-苏沪嘉小片,S0+S1+S2+S3,"a, i, o, u, ɔ, ɤ, ᴇ",7,345,"a, i, o, u, ɔ, ɤ, ᴇ",7,"u(208), a(73), o(55), ᴇ(5), ɤ(2), i(1), ɔ(1)","o, u, ɔ, ɤ",4,266,"o, u, ɔ, ɤ",4,"u(208), o(55), ɤ(2), ɔ(1)"
JS02,金山,太湖片-苏沪嘉小片,S0+S1+S2+S3,"i, o, u, ɑ, ɔ, ɛ, ɤ, ᴀ",8,278,"i, o, u, ɑ, ɔ, ɛ, ɤ, ᴀ",8,"u(165), ᴀ(57), o(48), ɔ(3), ɛ(2), i(1), ɤ(1), ɑ(1)","o, u, ɑ, ɔ, ɤ",5,218,"o, u, ɑ, ɔ, ɤ",5,"u(165), o(48), ɔ(3), ɤ(1), ɑ(1)"
JT01,金坛,太湖片-毗陵小片,S0+S1+S2+S3,"a, o, u",3,223,"a, o, u",3,"u(115), o(69), a(39)","o, u",2,184,"o, u",2,"u(115), o(69)"
JW01,江湾,太湖片-苏沪嘉小片,S0+S1+S2+S3,"o, u, ɑ, ɔ, ɛ, ᴀ",6,237,"o, u, ɑ, ɔ, ɛ, ᴀ",6,"u(156), ɑ(41), o(32), ᴀ(4), ɔ(3), ɛ(1)","o, u, ɑ, ɔ",4,232,"o, u, ɑ, ɔ",4,"u(156), ɑ(41), o(32), ɔ(3)"
JX01,嘉兴城区,太湖片-苏沪嘉小片,S0+S1+S2+S3,"e, o, u, ɑ, ɛ",5,264,"e, o, u, ɑ, ɛ",5,"u(169), ɑ(49), o(42), ɛ(3), e(1)","o, u, ɑ",3,260,"o, u, ɑ",3,"u(169), ɑ(49), o(42)"
JY01,江阴城区澄江镇,太湖片-毗陵小片,S0+S1+S2+S3,"a, o, u, æ, ɒ",5,192,"a, o, u, æ, ɒ",5,"u(79), o(48), a(32), æ(32), ɒ(1)","o, u, ɒ",3,128,"o, u, ɒ",3,"u(79), o(48), ɒ(1)"
KQ01,柯桥城关,太湖片-临绍小片,S0+S1+S2+S3,"a, e, o, u, y, ɒ",6,369,"a, e, o, u, y, ɒ",6,"o(165), u(142), a(57), y(2), e(2), ɒ(1)","o, u, ɒ",3,308,"o, u, ɒ",3,"o(165), u(142), ɒ(1)"
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,S0+S1+S2+S3,"a, o, u, ɛ",4,141,"a, o, u, ɛ",4,"o(61), a(50), u(27), ɛ(3)","o, u",2,88,"o, u",2,"o(61), u(27)"
LA01,临安城区,太湖片-临绍小片,S0+S1+S2+S3,"a, o, u",3,304,"a, o, u",3,"o(134), u(115), a(55)","o, u",2,249,"o, u",2,"o(134), u(115)"
LP01,临平五杭,太湖片-苕溪小片,S0+S1+S2+S3,"a, o, oŋ, u, y, ɛ",6,262,"a, o, u, y, ɛ",5,"u(187), a(53), o(20), y(1), ɛ(1)","o, oŋ, u",3,207,"o, u",2,"u(187), o(20)"
LT01,练塘,太湖片-苏沪嘉小片,S0+S1+S2+S3,"a, o, u, ɔ",4,237,"a, o, u, ɔ",4,"u(154), a(48), o(34), ɔ(1)","o, u, ɔ",3,189,"o, u, ɔ",3,"u(154), o(34), ɔ(1)"
LY01,溧阳,太湖片-毗陵小片,S0+S1+S2+S3,"o, u, ɔ, ᴀ",4,107,"o, u, ɔ, ᴀ",4,"u(46), ᴀ(30), o(30), ɔ(1)","o, u, ɔ",3,77,"o, u, ɔ",3,"u(46), o(30), ɔ(1)"
MH01,闵行,太湖片-苏沪嘉小片,S0+S1+S2+S3,"a, o, u, ɑ, ɔ, ɛ, ɤ",7,254,"a, o, u, ɑ, ɔ, ɛ, ɤ",7,"u(164), a(46), o(36), ɔ(4), ɛ(2), ɤ(1), ɑ(1)","o, u, ɑ, ɔ, ɤ",5,206,"o, u, ɑ, ɔ, ɤ",5,"u(164), o(36), ɔ(4), ɤ(1), ɑ(1)"
NB01,宁波市区,太湖片-甬江小片,S0+S1+S2+S3,"a, o, u, ø",4,202,"a, o, u, ø",4,"u(97), o(58), a(46), ø(1)","o, u",2,155,"o, u",2,"u(97), o(58)"
NH01,南汇惠南镇,太湖片-苏沪嘉小片,S0+S1+S2+S3,"a, o, u, ɔ, ɛ",5,283,"a, o, u, ɔ, ɛ",5,"u(178), a(57), o(35), ɔ(7), ɛ(6)","o, u, ɔ",3,220,"o, u, ɔ",3,"u(178), o(35), ɔ(7)"
NT01,南通金沙镇,太湖片-毗陵小片,S0+S1+S2+S3,"o, u, æ, ɑ",4,108,"o, u, æ, ɑ",4,"u(60), æ(26), o(12), ɑ(10)","o, u, ɑ",3,82,"o, u, ɑ",3,"u(60), o(12), ɑ(10)"
PB01,彭埠镇,太湖片-杭州小片,S0+S1+S2+S3,"a, o, u, ø",4,259,"a, o, u, ø",4,"o(119), u(112), a(27), ø(1)","o, u",2,231,"o, u",2,"o(119), u(112)"
PH01,平湖城关,太湖片-苏沪嘉小片,S0+S1+S2+S3,"a, o, u",3,277,"a, o, u",3,"u(170), a(56), o(51)","o, u",2,221,"o, u",2,"u(170), o(51)"
QD01,启东吕四,太湖片-毗陵小片,S0+S1+S2+S3,"a, o, u, ɛ, ɤ",5,275,"a, o, u, ɛ, ɤ",5,"ɤ(119), u(102), a(37), o(12), ɛ(5)","o, u, ɤ",3,233,"o, u, ɤ",3,"ɤ(119), u(102), o(12)"
QP01,青浦商榻,太湖片-苏沪嘉小片,S0+S1+S2+S3,"u, ɐ, ɒ, ɛ, ʊ",5,190,"u, ɐ, ɒ, ɛ, ʊ",5,"u(65), ʊ(63), ɒ(59), ɛ(2), ɐ(1)","u, ɒ, ʊ",3,187,"u, ɒ, ʊ",3,"u(65), ʊ(63), ɒ(59)"
SH01,上海市区,太湖片-苏沪嘉小片,S0+S1+S2+S3,"i, o, u, ɔ, ᴀ, ᴇ",6,376,"i, o, u, ɔ, ᴀ, ᴇ",6,"u(232), o(69), ᴀ(68), ᴇ(5), i(1), ɔ(1)","o, u, ɔ",3,302,"o, u, ɔ",3,"u(232), o(69), ɔ(1)"
SJ01,松江镇,太湖片-苏沪嘉小片,S0+S1+S2+S3,"e, o, u, ɑ, ɔ, ɛ",6,382,"e, o, u, ɑ, ɔ, ɛ",6,"u(221), ɑ(81), o(69), ɔ(9), ɛ(1), e(1)","o, u, ɑ, ɔ",4,380,"o, u, ɑ, ɔ",4,"u(221), ɑ(81), o(69), ɔ(9)"
SJ02,泗泾,太湖片-苏沪嘉小片,S0+S1+S2+S3,"i, o, u, ɑ",4,208,"i, o, u, ɑ",4,"u(118), ɑ(48), o(41), i(1)","o, u, ɑ",3,207,"o, u, ɑ",3,"u(118), ɑ(48), o(41)"
SL01,三林,太湖片-苏沪嘉小片,S0+S1+S2+S3,"e, o, u, ɔ, ɤ, ᴀ",6,230,"e, o, u, ɔ, ɤ, ᴀ",6,"u(154), ᴀ(48), o(22), ɔ(4), ɤ(1), e(1)","o, u, ɔ, ɤ",4,181,"o, u, ɔ, ɤ",4,"u(154), o(22), ɔ(4), ɤ(1)"
SX01,绍兴城区东头埭,太湖片-临绍小片,S0+S1+S2+S3,"a, o, u, ɒ",4,387,"a, o, u, ɒ",4,"o(186), u(148), a(52), ɒ(1)","o, u, ɒ",3,335,"o, u, ɒ",3,"o(186), u(148), ɒ(1)"
SY02,上虞百官镇,太湖片-临绍小片,S0+S1+S2+S3,"o, u, y, ɐ, ᴇ",5,308,"o, u, y, ɐ, ᴇ",5,"o(136), u(114), ɐ(46), y(10), ᴇ(2)","o, u",2,250,"o, u",2,"o(136), u(114)"
