point_id,point_name,subbranch,hao_value_counts,hao_status,hao_has_monophthong,hao_unmonophthongized,hao_dominant_value,core_nuclei,back_nuclei,core_nucleus_size,back_nucleus_size,subbranch_is_piling,subbranch_not_piling,core_has_low_back_ɑ_or_ɒ,core_lacks_low_back_ɑ_or_ɒ,core_has_open_mid_back_ɔ_or_ɒ,core_lacks_open_mid_back_ɔ_or_ɒ,core_has_ɑ,core_has_ɒ,core_has_ɔ,core_has_o_and_u,core_nucleus_size_ge_6,core_nucleus_size_le_5,back_nucleus_size_ge_4,back_nucleus_size_le_3,piling_and_lacks_low_back,piling_and_has_o_u_and_lacks_low_back
HZ01,杭州城区,太湖片-杭州小片,ɔ(84),monophthong_only,True,False,ɔ,"a, o, u, ɛ","o, u",4,2,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,False
HZ02,湖州市区,太湖片-苕溪小片,ɔ(87),monophthong_only,True,False,ɔ,"a, e, u, ɷ","u, ɷ",4,2,False,True,False,True,False,True,False,False,False,False,False,True,False,True,False,False
JD01,嘉定城厢,太湖片-苏沪嘉小片,ɔ(94),monophthong_only,True,False,ɔ,"o, u, ø, ᴀ, ᴇ","o, u",5,2,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,False
JJ01,靖江城区,太湖片-毗陵小片,ɒ(46),monophthong_only,True,False,ɒ,"o, u, æ, ɑ","o, u, ɑ",4,3,True,False,True,False,False,True,True,False,False,True,False,True,False,True,False,False
JS01,嘉善魏塘镇,太湖片-苏沪嘉小片,ɔ(94),monophthong_only,True,False,ɔ,"a, i, o, u, ɔ, ɤ, ᴇ","o, u, ɔ, ɤ",7,4,False,True,False,True,True,False,False,False,True,True,True,False,True,False,False,False
JS02,金山朱泾,太湖片-苏沪嘉小片,"ɔ(76), ɤ(1)",monophthong_only,True,False,ɔ,"i, o, u, ɑ, ɔ, ɛ, ɤ, ᴀ","o, u, ɑ, ɔ, ɤ",8,5,False,True,True,False,True,False,True,False,True,True,True,False,True,False,False,False
JT01,金坛,太湖片-毗陵小片,ao(97),diphthong_or_glide_only,False,True,ao,"a, o, u","o, u",3,2,True,False,False,True,False,True,False,False,False,True,False,True,False,True,True,True
JW01,江湾,太湖片-苏沪嘉小片,ɔ(70),monophthong_only,True,False,ɔ,"o, u, ɑ, ɔ, ɛ, ᴀ","o, u, ɑ, ɔ",6,4,False,True,True,False,True,False,True,False,True,True,True,False,True,False,False,False
JX01,嘉兴城区,太湖片-苏沪嘉小片,ɔ(87),monophthong_only,True,False,ɔ,"e, o, u, ɑ, ɛ","o, u, ɑ",5,3,False,True,True,False,False,True,True,False,False,True,False,True,False,True,False,False
JY01,江阴城区澄江镇,太湖片-毗陵小片,ɒ(94),monophthong_only,True,False,ɒ,"a, o, u, æ, ɒ","o, u, ɒ",5,3,True,False,True,False,True,False,False,True,False,True,False,True,False,True,False,False
KQ01,柯桥,太湖片-临绍小片,"ɒ(99), a(9)",monophthong_only,True,False,ɒ,"a, e, o, u, y, ɒ","o, u, ɒ",6,3,False,True,True,False,True,False,False,True,False,True,True,False,False,True,False,False
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,ɔ(82),monophthong_only,True,False,ɔ,"a, o, u, ɛ","o, u",4,2,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,False
LA01,临安城区,太湖片-临绍小片,ɔ(91),monophthong_only,True,False,ɔ,"a, o, u","o, u",3,2,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,False
LP01,临平五杭,太湖片-苕溪小片,ɔ(88),monophthong_only,True,False,ɔ,"a, o, u, y, ɛ","o, u",5,2,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,False
LT01,练塘,太湖片-苏沪嘉小片,ɔ(70),monophthong_only,True,False,ɔ,"a, o, u, ɔ","o, u, ɔ",4,3,False,True,False,True,True,False,False,False,True,True,False,True,False,True,False,False
LY01,溧阳,太湖片-毗陵小片,ɑɤ(46),diphthong_or_glide_only,False,True,ɑɤ,"o, u, ɔ, ᴀ","o, u, ɔ",4,3,True,False,False,True,True,False,False,False,True,True,False,True,False,True,True,True
