point_id,point_name,representative_chain,default_cluster_count,default_cluster,S0_representative_value,S0_all_onset_values,S0_is_diphthong,S0_midpoint_x,S0_midpoint_y,S0_dispersion,S1_representative_value,S1_all_onset_values,S1_is_diphthong,S1_midpoint_x,S1_midpoint_y,S1_dispersion,S2_representative_value,S2_all_onset_values,S2_is_diphthong,S2_midpoint_x,S2_midpoint_y,S2_dispersion,S3_representative_value,S3_all_onset_values,S3_is_diphthong,S3_midpoint_x,S3_midpoint_y,S3_dispersion,cluster_k2,cluster_k3,cluster_k4,cluster_k5,cluster_k6,cluster_k7,cluster_k8
GQ01,高桥,ᴀ → o → u → u,3,3,ᴀ,ᴀ(4)、iᴀ(1),False,2.03,3.0,0.1268,o,o(3)、ᴀ(2),False,3.0,1.0,0.2945,u,u(5),False,3.0,0.0,0.0,u,u(5),False,3.0,0.0,0.0,1,3,4,5,6,5,6
HM01,海门镇沙地话,ɑ → o → u → u,3,3,ɑ,ɑ(5),False,3.0,3.0,0.0,o,o(3)、ɑ(1)、iɑ(1),False,3.0,1.0,0.2963,u,u(5),False,3.0,0.0,0.0,u,u(5),False,3.0,0.0,0.0,1,3,4,5,6,5,6
HM02,海门四甲,ɑ → yo → ɤ → ɯ,3,1,ɑ,ɑ(5),False,3.0,3.0,0.0,yo,o(2)、iɑ(1)、yo(1)、ɯo(1),True,1.5,0.5,0.2643,ɤ,ɤ(5),False,3.0,1.0,0.0,ɯ,ɯ(4)、ɤ(1),False,3.0,0.0,0.0667,1,1,1,1,1,1,1
HN01,海宁硖石,a → o → u → u,3,3,a,a(5),False,1.05,3.0,0.0,o,o(4)、a(1),False,3.0,1.0,0.1529,u,u(5),False,3.0,0.0,0.0,u,u(5),False,3.0,0.0,0.0,1,3,4,2,2,2,2
HY01,海盐县城,ɑ → o → u → u,3,3,ɑ,ɑ(5),False,3.0,3.0,0.0,o,o(4)、ɑ(1),False,3.0,1.0,0.1453,u,u(4)、o(1),False,3.0,0.0,0.0667,u,u(4)、o(1),False,3.0,0.0,0.0667,1,3,4,5,6,5,6
HZ01,杭州城区,ɛ → a → o → u,3,1,ɛ,ɛ(3)、iɛ(2),False,0.7,2.0,0.1823,a,a(3)、ia(2),False,1.05,3.0,0.2495,o,o(5),False,3.0,1.0,0.0,u,u(3)、o(2),False,3.0,0.0,0.1333,1,1,3,4,5,6,7
HZ02,湖州市区,a → ɷ → u → əu,3,3,a,a(5),False,1.05,3.0,0.0,ɷ,ɷ(4)、a(1),False,3.0,0.5,0.1848,u,əu(2)、u(2)、ɷ(1),False,3.0,0.0,0.1978,əu,əu(3)、u(2),True,2.35,0.75,0.1645,1,3,4,2,2,2,2
JD01,嘉定城厢,ᴀ → o → u → u,3,3,ᴀ,ᴀ(5),False,2.03,3.0,0.0,o,o(4)、ᴀ(1),False,3.0,1.0,0.1472,u,u(5),False,3.0,0.0,0.0,u,u(5),False,3.0,0.0,0.0,1,3,4,5,6,5,6
JJ01,靖江城区,æ → o → ʌɤ → u,3,2,æ,æ(5),False,0.88,2.5,0.0,o,o(4)、iɑ(1),False,3.0,1.0,0.151,ʌɤ,ʌɤ(4)、u(1),True,3.0,1.5,0.136,u,u(4)、ʌɤ(1),False,3.0,0.0,0.136,2,2,2,3,3,3,3
JS01,嘉善魏塘镇,a → o → u → u,3,3,a,a(5),False,1.05,3.0,0.0,o,o(4)、a(1),False,3.0,1.0,0.1529,u,u(5),False,3.0,0.0,0.0,u,u(5),False,3.0,0.0,0.0,1,3,4,2,2,2,2
JS02,金山朱泾,ᴀ → o → u → u,3,3,ᴀ,ᴀ(5),False,2.03,3.0,0.0,o,o(4)、ᴀ(1),False,3.0,1.0,0.1472,u,u(4)、o(1),False,3.0,0.0,0.0667,u,u(4)、o(1),False,3.0,0.0,0.0667,1,3,4,5,6,5,6
JT01,金坛,a → o → əu → u,3,2,a,a(3)、ia(1)、iɛ(1),False,1.05,3.0,0.2831,o,o(4)、ia(1),False,3.0,1.0,0.1548,əu,əu(5),True,2.35,0.75,0.0,u,u(4)、əu(1),False,3.0,0.0,0.0822,2,2,2,3,3,3,3
JW01,江湾,ɑ → o → u → u,3,3,ɑ,ɑ(5),False,3.0,3.0,0.0,o,o(4)、ɑ(1),False,3.0,1.0,0.1453,u,u(5),False,3.0,0.0,0.0,u,u(5),False,3.0,0.0,0.0,1,3,4,5,6,5,6
JX01,嘉兴城区,ɑ → o → u → u,3,3,ɑ,ɑ(5),False,3.0,3.0,0.0,o,o(4)、ɑ(1),False,3.0,1.0,0.1453,u,u(5),False,3.0,0.0,0.0,u,u(5),False,3.0,0.0,0.0,1,3,4,5,6,5,6
JY01,江阴城区澄江镇,æ → o → əɯ → u,3,2,æ,æ(5),False,0.88,2.5,0.0,o,o(4)、a(1),False,3.0,1.0,0.1529,əɯ,əɯ(4)、u(1),True,2.35,0.75,0.0882,u,u(3)、əɯ(2),False,3.0,0.0,0.1765,2,2,2,3,3,3,3
KQ01,柯桥,a → o → o → u,3,1,a,a(5),False,1.05,3.0,0.0,o,o(5),False,3.0,1.0,0.0,o,o(5),False,3.0,1.0,0.0,u,u(5),False,3.0,0.0,0.0,1,1,1,1,1,1,1
KS01,昆山市区玉山镇,a → o → əu → əu,3,2,a,a(5),False,1.05,3.0,0.0,o,o(4)、a(1),False,3.0,1.0,0.1529,əu,əu(3)、o(1)、u(1),True,2.35,0.75,0.1681,əu,əu(3)、o(1)、u(1),True,2.35,0.75,0.1681,2,2,2,3,4,4,4
LA01,临安城区,a → o → o → u,3,1,a,a(5),False,1.05,3.0,0.0,o,o(5),False,3.0,1.0,0.0,o,o(5),False,3.0,1.0,0.0,u,u(4)、o(1),False,3.0,0.0,0.0667,1,1,1,1,1,1,1
LP01,临平五杭,a → o → u → u,3,3,a,a(5),False,1.05,3.0,0.0,o,o(2)、uo(2)、a(1),False,3.0,1.0,0.2675,u,u(5),False,3.0,0.0,0.0,u,u(5),False,3.0,0.0,0.0,1,3,4,2,2,2,2
LT01,练塘,a → o → u → u,3,3,a,a(5),False,1.05,3.0,0.0,o,o(4)、a(1),False,3.0,1.0,0.1529,u,u(5),False,3.0,0.0,0.0,u,u(5),False,3.0,0.0,0.0,1,3,4,2,2,2,2
LY01,溧阳,ᴀ → o → ʌɯ → u,3,2,ᴀ,ᴀ(5),False,2.03,3.0,0.0,o,o(5),False,3.0,1.0,0.0,ʌɯ,ʌɯ(5),True,3.0,1.0,0.0,u,u(4)、ʌɯ(1),False,3.0,0.0,0.1027,2,2,2,3,3,3,3
