onset_class,point_count,merged_point_count,merged_point_share,fully_distinct_point_count,fully_distinct_point_share,leapfrog_point_count,leapfrog_point_share,S0_equals_S1_count,S0_equals_S1_share,S1_equals_S2_count,S1_equals_S2_share,S2_equals_S3_count,S2_equals_S3_share,structure_pattern_count,top_structure_pattern,top_structure_count,top_structure_share,exact_chain_count,top_exact_chain,top_exact_chain_count,top_exact_chain_share,slot_modal_values
K,82,56,0.6829268292682927,26,0.3170731707317073,0,0.0,38,0.4634146341463415,9,0.10975609756097561,44,0.5365853658536586,5,S0=S1，S2=S3,35,0.4268292682926829,41,ᴀ → ᴀ → u → u,8,0.0975609756097561,S0=a (44/82)；S1=o (23/82)；S2=u (32/82)；S3=u (69/82)
M,82,79,0.9634146341463414,3,0.036585365853658534,1,0.012195121951219513,2,0.024390243902439025,30,0.36585365853658536,73,0.8902439024390244,6,S2=S3,46,0.5609756097560976,40,a → o → o → o,12,0.14634146341463414,S0=a (47/82)；S1=o (64/82)；S2=o (28/82)；S3=u (33/82)
P,82,61,0.7439024390243902,21,0.25609756097560976,0,0.0,2,0.024390243902439025,11,0.13414634146341464,50,0.6097560975609756,6,S2=S3,48,0.5853658536585366,31,a → o → u → u,15,0.18292682926829268,S0=a (47/82)；S1=o (64/82)；S2=u (48/82)；S3=u (79/82)
TS,82,62,0.7560975609756098,20,0.24390243902439024,0,0.0,1,0.012195121951219513,12,0.14634146341463414,50,0.6097560975609756,5,S2=S3,49,0.5975609756097561,42,ɑ → o → u → u,10,0.12195121951219512,S0=a (45/82)；S1=o (59/82)；S2=u (34/82)；S3=u (61/82)
Ø,82,56,0.6829268292682927,26,0.3170731707317073,2,0.024390243902439025,0,0.0,9,0.10975609756097561,45,0.5487804878048781,4,S2=S3,45,0.5487804878048781,42,a → o → u → u,11,0.13414634146341464,S0=a (45/82)；S1=o (49/82)；S2=u (43/82)；S3=u (77/82)
