point_id,point_name,mainlayer_onset_rows,S0_major_value,S0_major_support,S0_all_values,S1_major_value,S1_major_support,S1_all_values,S2_major_value,S2_major_support,S2_all_values,S3_major_value,S3_major_support,S3_all_values,major_chain,major_chain_has_tie,dominant_onset_chain,dominant_onset_chain_support,onset_chain_count,unplaced_mainlayer_values,major_pattern_point_count,major_pattern_share
HZ02,湖州市区,5,a,5,a(5),ɷ,4,ɷ(4)、a(1),u / əu,2,əu(2)、u(2)、ɷ(1),əu,3,əu(3)、u(2),a → ɷ → u / əu → əu,True,a → a → əu → əu | a → ɷ → u → u | a → ɷ → u → əu | a → ɷ → əu → əu | a → ɷ → ɷ → u,1,5,,1,0.012195121951219513
JD01,嘉定城厢,5,ᴀ,5,ᴀ(5),o,4,o(4)、ᴀ(1),u,5,u(5),u,5,u(5),ᴀ → o → u → u,False,ᴀ → o → u → u,4,2,,11,0.13414634146341464
JJ01,靖江城区,5,æ,5,æ(5),o,4,o(4)、iɑ(1),ʌɤ,4,ʌɤ(4)、u(1),u,4,u(4)、ʌɤ(1),æ → o → ʌɤ → u,False,æ → o → ʌɤ → u,2,4,,1,0.012195121951219513
JS01,嘉善魏塘镇,5,a,5,a(5),o,4,o(4)、a(1),u,5,u(5),u,5,u(5),a → o → u → u,False,a → o → u → u,4,2,,8,0.0975609756097561
JS02,金山朱泾,5,ᴀ,5,ᴀ(5),o,4,o(4)、ᴀ(1),u,4,u(4)、o(1),u,4,u(4)、o(1),ᴀ → o → u → u,False,ᴀ → o → u → u,3,3,,11,0.13414634146341464
JT01,金坛,5,a,3,a(3)、ia(1)、iɛ(1),o,4,o(4)、ia(1),əu,5,əu(5),u,4,u(4)、əu(1),a → o → əu → u,False,a → o → əu → u,2,4,,4,0.04878048780487805
JW01,江湾,5,ɑ,5,ɑ(5),o,4,o(4)、ɑ(1),u,5,u(5),u,5,u(5),ɑ → o → u → u,False,ɑ → o → u → u,4,2,,10,0.12195121951219512
JX01,嘉兴城区,5,ɑ,5,ɑ(5),o,4,o(4)、ɑ(1),u,5,u(5),u,5,u(5),ɑ → o → u → u,False,ɑ → o → u → u,4,2,,10,0.12195121951219512
JY01,江阴城区澄江镇,5,æ,5,æ(5),o,4,o(4)、a(1),əɯ,4,əɯ(4)、u(1),u,3,u(3)、əɯ(2),æ → o → əɯ → u,False,æ → o → əɯ → əɯ,2,4,,1,0.012195121951219513
KQ01,柯桥,5,a,5,a(5),o,5,o(5),o,5,o(5),u,5,u(5),a → o → o → u,False,a → o → o → u,5,1,,7,0.08536585365853659
KS01,昆山市区玉山镇,5,a,5,a(5),o,4,o(4)、a(1),əu,3,əu(3)、o(1)、u(1),əu,3,əu(3)、o(1)、u(1),a → o → əu → əu,False,a → o → əu → əu,2,4,,2,0.024390243902439025
LA01,临安城区,5,a,5,a(5),o,5,o(5),o,5,o(5),u,4,u(4)、o(1),a → o → o → u,False,a → o → o → u,4,2,,7,0.08536585365853659
