point_id,point_name,onset_class,S1,S2,S3,type,type_formula,一级分类_S1_S3,二级分类_S1_S3
WX02,吴县光福镇,K,a,əu,əu,T3,歌=模≠麻,合流型,单一合并
WX02,吴县光福镇,M,o,o,o,T2,歌=麻=模,合流型,全合并
WX02,吴县光福镇,P,o,u,u,T3,歌=模≠麻,合流型,单一合并
WX02,吴县光福镇,TS,o,əu,əu,T3,歌=模≠麻,合流型,单一合并
WX02,吴县光福镇,Ø,o,əu,əu,T3,歌=模≠麻,合流型,单一合并
XC01,新昌城关,K,o̞,o,u,T1,歌≠麻≠模,分立型,分立
XC01,新昌城关,M,o̞,o,o,T3,歌=模≠麻,合流型,单一合并
XC01,新昌城关,P,o̞,o,u,T1,歌≠麻≠模,分立型,分立
XC01,新昌城关,TS,o̞,o,u,T1,歌≠麻≠模,分立型,分立
XC01,新昌城关,Ø,o̞,o,u,T1,歌≠麻≠模,分立型,分立
XD01,新登下港,K,o,u,u,T3,歌=模≠麻,合流型,单一合并
XD01,新登下港,M,o,u,u,T3,歌=模≠麻,合流型,单一合并
XD01,新登下港,P,o,u,u,T3,歌=模≠麻,合流型,单一合并
XD01,新登下港,TS,yo,u,u,T3,歌=模≠麻,合流型,单一合并
XD01,新登下港,Ø,o,u,u,T3,歌=模≠麻,合流型,单一合并
XH02,萧山城厢,K,o,o,u,T4,歌=麻≠模,合流型,单一合并
XH02,萧山城厢,M,o,o,o,T2,歌=麻=模,合流型,全合并
XH02,萧山城厢,P,o,o,u,T4,歌=麻≠模,合流型,单一合并
XH02,萧山城厢,TS,o,o,u,T4,歌=麻≠模,合流型,单一合并
XH02,萧山城厢,Ø,o,o,u,T4,歌=麻≠模,合流型,单一合并
XS01,象山丹城,K,o,o,u,T4,歌=麻≠模,合流型,单一合并
XS01,象山丹城,M,o,o,o,T2,歌=麻=模,合流型,全合并
XS01,象山丹城,P,o,o,u,T4,歌=麻≠模,合流型,单一合并
XS01,象山丹城,TS,o,o,u,T4,歌=麻≠模,合流型,单一合并
XS01,象山丹城,Ø,o,o,u,T4,歌=麻≠模,合流型,单一合并
XS03,萧山南阳镇,K,o,o,u,T4,歌=麻≠模,合流型,单一合并
XS03,萧山南阳镇,M,o,o,o,T2,歌=麻=模,合流型,全合并
XS03,萧山南阳镇,P,o,o,u,T4,歌=麻≠模,合流型,单一合并
XS03,萧山南阳镇,TS,o,o,u,T4,歌=麻≠模,合流型,单一合并
XS03,萧山南阳镇,Ø,o,o,u,T4,歌=麻≠模,合流型,单一合并
XZ01,莘庄,K,ᴀ,u,u,T3,歌=模≠麻,合流型,单一合并
XZ01,莘庄,M,o,o,o,T2,歌=麻=模,合流型,全合并
XZ01,莘庄,P,o,u,u,T3,歌=模≠麻,合流型,单一合并
XZ01,莘庄,TS,o,u,u,T3,歌=模≠麻,合流型,单一合并
XZ01,莘庄,Ø,iᴀ,u,u,T3,歌=模≠麻,合流型,单一合并
YQ01,於潜,K,ia,u,u,T3,歌=模≠麻,合流型,单一合并
YQ01,於潜,M,uo,u,u,T3,歌=模≠麻,合流型,单一合并
YQ01,於潜,P,uo,u,u,T3,歌=模≠麻,合流型,单一合并
YQ01,於潜,TS,uo,u,u,T3,歌=模≠麻,合流型,单一合并
YQ01,於潜,Ø,uo,u,u,T3,歌=模≠麻,合流型,单一合并
YX01,宜兴,K,o,ɷ,u,T1,歌≠麻≠模,分立型,分立
YX01,宜兴,M,o,au,ɷ,T1,歌≠麻≠模,分立型,分立
YX01,宜兴,P,o,au,u,T1,歌≠麻≠模,分立型,分立
YX01,宜兴,TS,o,ɷ,u,T1,歌≠麻≠模,分立型,分立
YX01,宜兴,Ø,o,ɷ,u,T1,歌≠麻≠模,分立型,分立
YX02,鄞县中区,K,o,əu,u,T1,歌≠麻≠模,分立型,分立
YX02,鄞县中区,M,o,əu,əu,T3,歌=模≠麻,合流型,单一合并
YX02,鄞县中区,P,o,əu,u,T1,歌≠麻≠模,分立型,分立
YX02,鄞县中区,TS,o,əu,u,T1,歌≠麻≠模,分立型,分立
YX02,鄞县中区,Ø,o,əu,u,T1,歌≠麻≠模,分立型,分立
YY01,余姚城关,K,o,ou,u,T1,歌≠麻≠模,分立型,分立
YY01,余姚城关,M,o,ou,ou,T3,歌=模≠麻,合流型,单一合并
YY01,余姚城关,P,o,ou,u,T1,歌≠麻≠模,分立型,分立
YY01,余姚城关,TS,o,ou,ɥ,T1,歌≠麻≠模,分立型,分立
YY01,余姚城关,Ø,o,ou,u,T1,歌≠麻≠模,分立型,分立
ZJ01,诸暨城关,K,o,ɔi,u,T1,歌≠麻≠模,分立型,分立
ZJ01,诸暨城关,M,o,ɔi,ɔi,T3,歌=模≠麻,合流型,单一合并
ZJ01,诸暨城关,P,o,ɔi,u,T1,歌≠麻≠模,分立型,分立
ZJ01,诸暨城关,TS,o,ɔi,u,T1,歌≠麻≠模,分立型,分立
ZJ01,诸暨城关,Ø,o,ɔi,u,T1,歌≠麻≠模,分立型,分立
ZJ02,诸暨璜山镇,K,ʊ,ɤɯ,u,T1,歌≠麻≠模,分立型,分立
ZJ02,诸暨璜山镇,M,ʊ,ɤɯ,ɤɯ,T3,歌=模≠麻,合流型,单一合并
ZJ02,诸暨璜山镇,P,ʊ,ɤɯ,u,T1,歌≠麻≠模,分立型,分立
ZJ02,诸暨璜山镇,TS,ʊ,ɤɯ,u,T1,歌≠麻≠模,分立型,分立
ZJ02,诸暨璜山镇,Ø,ʊ,ɤɯ,u,T1,歌≠麻≠模,分立型,分立
ZJ03,诸暨直埠镇,K,o,ou,u,T1,歌≠麻≠模,分立型,分立
ZJ03,诸暨直埠镇,M,o,ou,u,T1,歌≠麻≠模,分立型,分立
ZJ03,诸暨直埠镇,P,o,ou,u,T1,歌≠麻≠模,分立型,分立
ZJ03,诸暨直埠镇,TS,o,ou,u,T1,歌≠麻≠模,分立型,分立
ZJ03,诸暨直埠镇,Ø,o,ou,u,T1,歌≠麻≠模,分立型,分立
ZP01,周浦,K,ᴀ,u,u,T3,歌=模≠麻,合流型,单一合并
ZP01,周浦,M,o,u,u,T3,歌=模≠麻,合流型,单一合并
ZP01,周浦,P,o,u,u,T3,歌=模≠麻,合流型,单一合并
ZP01,周浦,TS,iɔ,u,u,T3,歌=模≠麻,合流型,单一合并
ZP01,周浦,Ø,ɔ,u,u,T3,歌=模≠麻,合流型,单一合并
ZR01,真如,K,ᴀ,u,u,T3,歌=模≠麻,合流型,单一合并
ZR01,真如,M,o,u,u,T3,歌=模≠麻,合流型,单一合并
ZR01,真如,P,o,u,u,T3,歌=模≠麻,合流型,单一合并
ZR01,真如,TS,o,u,u,T3,歌=模≠麻,合流型,单一合并
ZR01,真如,Ø,ɔ,u,u,T3,歌=模≠麻,合流型,单一合并
ZS01,舟山定海,K,o,au,u,T1,歌≠麻≠模,分立型,分立
ZS01,舟山定海,M,o,au,au,T3,歌=模≠麻,合流型,单一合并
ZS01,舟山定海,P,o,au,u,T1,歌≠麻≠模,分立型,分立
ZS01,舟山定海,TS,o,au,u,T1,歌≠麻≠模,分立型,分立
ZS01,舟山定海,Ø,o,au,u,T1,歌≠麻≠模,分立型,分立
