point_id,point_name,onset_class,S1,S2,S3,type,type_formula,一级分类_S1_S3,二级分类_S1_S3
FC01,奉城,Ø,ɔ,u,u,T3,歌=模≠麻,合流型,单一合并
FH01,奉化西坞,K,o,əu,u,T1,歌≠麻≠模,分立型,分立
FH01,奉化西坞,M,o,əu,əu,T3,歌=模≠麻,合流型,单一合并
FH01,奉化西坞,P,o,əu,u,T1,歌≠麻≠模,分立型,分立
FH01,奉化西坞,TS,o,əu,u,T1,歌≠麻≠模,分立型,分立
FH01,奉化西坞,Ø,o,əu,u,T1,歌≠麻≠模,分立型,分立
FJ01,枫泾镇,K,ᴀ,əu,əu,T3,歌=模≠麻,合流型,单一合并
FJ01,枫泾镇,M,o,u,u,T3,歌=模≠麻,合流型,单一合并
FJ01,枫泾镇,P,o,u,u,T3,歌=模≠麻,合流型,单一合并
FJ01,枫泾镇,TS,o,u,u,T3,歌=模≠麻,合流型,单一合并
FJ01,枫泾镇,Ø,o,u,u,T3,歌=模≠麻,合流型,单一合并
FX01,奉贤,K,ɑ,u,u,T3,歌=模≠麻,合流型,单一合并
FX01,奉贤,M,o,o,o,T2,歌=麻=模,合流型,全合并
FX01,奉贤,P,o,u,u,T3,歌=模≠麻,合流型,单一合并
FX01,奉贤,TS,o,u,u,T3,歌=模≠麻,合流型,单一合并
FX01,奉贤,Ø,iɑ,u,u,T3,歌=模≠麻,合流型,单一合并
FY01,富阳城关,K,o,ʊ,u,T1,歌≠麻≠模,分立型,分立
FY01,富阳城关,M,o,ʊ,ʊ,T3,歌=模≠麻,合流型,单一合并
FY01,富阳城关,P,o,u,u,T3,歌=模≠麻,合流型,单一合并
FY01,富阳城关,TS,o,ʊ,ʊ,T3,歌=模≠麻,合流型,单一合并
FY01,富阳城关,Ø,o,u,u,T3,歌=模≠麻,合流型,单一合并
FY02,富阳东梓关,K,uo,u,u,T3,歌=模≠麻,合流型,单一合并
FY02,富阳东梓关,M,uo,u,u,T3,歌=模≠麻,合流型,单一合并
FY02,富阳东梓关,P,uo,u,u,T3,歌=模≠麻,合流型,单一合并
FY02,富阳东梓关,TS,uo,u,u,T3,歌=模≠麻,合流型,单一合并
FY02,富阳东梓关,Ø,uo,u,u,T3,歌=模≠麻,合流型,单一合并
GQ01,高桥,K,ᴀ,u,u,T3,歌=模≠麻,合流型,单一合并
GQ01,高桥,M,o,u,u,T3,歌=模≠麻,合流型,单一合并
GQ01,高桥,P,ᴀ,u,u,T3,歌=模≠麻,合流型,单一合并
GQ01,高桥,TS,o,u,u,T3,歌=模≠麻,合流型,单一合并
GQ01,高桥,Ø,o,u,u,T3,歌=模≠麻,合流型,单一合并
HM01,海门镇沙地话,K,ɑ,u,u,T3,歌=模≠麻,合流型,单一合并
HM01,海门镇沙地话,M,o,u,u,T3,歌=模≠麻,合流型,单一合并
HM01,海门镇沙地话,P,o,u,u,T3,歌=模≠麻,合流型,单一合并
HM01,海门镇沙地话,TS,o,u,u,T3,歌=模≠麻,合流型,单一合并
HM01,海门镇沙地话,Ø,iɑ,u,u,T3,歌=模≠麻,合流型,单一合并
HM02,海门四甲,K,iɑ,ɤ,ɯ,T1,歌≠麻≠模,分立型,分立
HM02,海门四甲,M,o,ɤ,ɤ,T3,歌=模≠麻,合流型,单一合并
HM02,海门四甲,P,o,ɤ,ɯ,T1,歌≠麻≠模,分立型,分立
HM02,海门四甲,TS,yo,ɤ,ɯ,T1,歌≠麻≠模,分立型,分立
HM02,海门四甲,Ø,ɯo,ɤ,ɯ,T1,歌≠麻≠模,分立型,分立
HN01,海宁硖石,K,a,u,u,T3,歌=模≠麻,合流型,单一合并
HN01,海宁硖石,M,o,u,u,T3,歌=模≠麻,合流型,单一合并
HN01,海宁硖石,P,o,u,u,T3,歌=模≠麻,合流型,单一合并
HN01,海宁硖石,TS,o,u,u,T3,歌=模≠麻,合流型,单一合并
HN01,海宁硖石,Ø,o,u,u,T3,歌=模≠麻,合流型,单一合并
HY01,海盐县城,K,ɑ,u,u,T3,歌=模≠麻,合流型,单一合并
HY01,海盐县城,M,o,o,o,T2,歌=麻=模,合流型,全合并
HY01,海盐县城,P,o,u,u,T3,歌=模≠麻,合流型,单一合并
HY01,海盐县城,TS,o,u,u,T3,歌=模≠麻,合流型,单一合并
HY01,海盐县城,Ø,o,u,u,T3,歌=模≠麻,合流型,单一合并
HZ01,杭州城区,K,ia,o,u,T1,歌≠麻≠模,分立型,分立
HZ01,杭州城区,M,a,o,o,T3,歌=模≠麻,合流型,单一合并
HZ01,杭州城区,P,a,o,u,T1,歌≠麻≠模,分立型,分立
HZ01,杭州城区,TS,a,o,o,T3,歌=模≠麻,合流型,单一合并
HZ01,杭州城区,Ø,ia,o,u,T1,歌≠麻≠模,分立型,分立
HZ02,湖州市区,K,a,əu,əu,T3,歌=模≠麻,合流型,单一合并
HZ02,湖州市区,M,ɷ,ɷ,u,T4,歌=麻≠模,合流型,单一合并
HZ02,湖州市区,P,ɷ,u,u,T3,歌=模≠麻,合流型,单一合并
HZ02,湖州市区,TS,ɷ,əu,əu,T3,歌=模≠麻,合流型,单一合并
HZ02,湖州市区,Ø,ɷ,u,əu,T1,歌≠麻≠模,分立型,分立
JD01,嘉定城厢,K,ᴀ,u,u,T3,歌=模≠麻,合流型,单一合并
JD01,嘉定城厢,M,o,u,u,T3,歌=模≠麻,合流型,单一合并
JD01,嘉定城厢,P,o,u,u,T3,歌=模≠麻,合流型,单一合并
JD01,嘉定城厢,TS,o,u,u,T3,歌=模≠麻,合流型,单一合并
JD01,嘉定城厢,Ø,o,u,u,T3,歌=模≠麻,合流型,单一合并
JJ01,靖江城区,K,iɑ,ʌɤ,u,T1,歌≠麻≠模,分立型,分立
JJ01,靖江城区,M,o,ʌɤ,ʌɤ,T3,歌=模≠麻,合流型,单一合并
JJ01,靖江城区,P,o,u,u,T3,歌=模≠麻,合流型,单一合并
JJ01,靖江城区,TS,o,ʌɤ,u,T1,歌≠麻≠模,分立型,分立
JJ01,靖江城区,Ø,o,ʌɤ,u,T1,歌≠麻≠模,分立型,分立
JS01,嘉善魏塘镇,K,a,u,u,T3,歌=模≠麻,合流型,单一合并
