point_id,point_name,subbranch,core_slots,monophthong_values,monophthong_value_size,monophthong_token_count,monophthong_nuclei,monophthong_nucleus_size,monophthong_nucleus_counts,back_monophthong_values,back_monophthong_value_size,back_monophthong_token_count,back_monophthong_nuclei,back_monophthong_nucleus_size,back_monophthong_nucleus_counts,s4_slot_in_data,s4_rhyme_in_data,s4_initial,s4_value_counts,s4_total_token_count,s4_monophthong_token_count,s4_monophthong_token_share,s4_dominant_value,s4_dominant_value_class,s4_dominant_nucleus,s4_dominant_nucleus_category,s4_dominant_token_count,s4_dominant_token_share,s4_status,s4_monophthong_values,s4_monophthong_nuclei,s4_back_monophthong_nuclei,s4_diphthong_or_glide_values,s4_other_values,s4_monophthong_nuclei_in_core,s4_monophthong_nuclei_in_core_back,s4_monophthong_nuclei_not_in_core,s4_core_relation,s4_map_category
DB01,郎溪梅渚镇定埠,太湖片-毗陵小片,S0+S1+S2+S3,"a, u, ɑ, ɷ, ᴇ",5,278,"a, u, ɑ, ɷ, ᴇ",5,"ɷ(103), u(73), ɑ(66), ᴇ(35), a(1)","u, ɑ, ɷ",3,242,"u, ɑ, ɷ",3,"ɷ(103), u(73), ɑ(66)",S4,侯,*əu,"ɯ(31), y(15), ɤɪ(1), ɔ(1)",48,47,0.9791666666666666,ɯ,monophthong,ɯ,back_unrounded,31,0.6458333333333334,mixed_mono_and_diphthong,"y, ɔ, ɯ","y, ɔ, ɯ","ɔ, ɯ",ɤɪ,,,,"y, ɔ, ɯ",s4_mono_outside_core_inventory,混合
DQ01,德清乾元,太湖片-苕溪小片,S0+S1+S2+S3,"a, u, ɔ, ᴇ",4,307,"a, u, ɔ, ᴇ",4,"u(199), a(56), ɔ(49), ᴇ(3)","u, ɔ",2,248,"u, ɔ",2,"u(199), ɔ(49)",S4,侯,*əu,"ø(53), y(3)",56,56,1.0,ø,monophthong,ø,front_rounded,53,0.9464285714285714,monophthong_only,"y, ø","y, ø",,,,,,"y, ø",s4_mono_outside_core_inventory,ø/ɵ/y类单音化
DS01,岱山岱西镇,太湖片-甬江小片,S0+S1+S2+S3,"a, e, o, u, ɔ, ɵ, ᴇ",7,228,"a, e, o, u, ɔ, ɵ, ᴇ",7,"u(113), o(59), a(47), ɔ(3), ᴇ(3), ɵ(2), e(1)","o, u, ɔ",3,175,"o, u, ɔ",3,"u(113), o(59), ɔ(3)",S4,侯,*əu,ɐy(50),50,0,0.0,ɐy,diphthong_or_glide,,,50,1.0,diphthong_or_glide_only,,,,ɐy,,,,,no_s4_monophthong,未单音化
DY01,丹阳,太湖片-毗陵小片,S0+S1+S2+S3,"u, æ, ɑ, ɔ, ə",5,284,"u, æ, ɑ, ɔ, ə",5,"ə(101), u(101), ɑ(65), æ(16), ɔ(1)","u, ɑ, ɔ",3,167,"u, ɑ, ɔ",3,"u(101), ɑ(65), ɔ(1)",S4,侯,*əu,e(52),52,52,1.0,e,monophthong,e,e_like,52,1.0,monophthong_only,e,e,,,,,,e,s4_mono_outside_core_inventory,e类单音化
FC01,奉城,太湖片-苏沪嘉小片,S0+S1+S2+S3,"i, o, u, ɑ, ɔ, ɯ",6,237,"i, o, u, ɑ, ɔ, ɯ",6,"u(142), ɑ(46), o(41), ɔ(6), i(1), ɯ(1)","o, u, ɑ, ɔ, ɯ",5,236,"o, u, ɑ, ɔ, ɯ",5,"u(142), ɑ(46), o(41), ɔ(6), ɯ(1)",S4,侯,*əu,ɯ(42),42,42,1.0,ɯ,monophthong,ɯ,back_unrounded,42,1.0,monophthong_only,ɯ,ɯ,ɯ,,,ɯ,ɯ,,all_s4_mono_in_core_back_inventory,ɤ/ɯ类单音化
FH01,奉化西坞,太湖片-甬江小片,S0+S1+S2+S3,"a, o, u, y, ɛ",5,204,"a, o, u, y, ɛ",5,"u(100), o(61), a(38), y(4), ɛ(1)","o, u",2,161,"o, u",2,"u(100), o(61)",S4,侯,*əu,"ɛi(23), əu(13), ou(1)",37,0,0.0,ɛi,diphthong_or_glide,,,23,0.6216216216216216,diphthong_or_glide_only,,,,"ou, əu, ɛi",,,,,no_s4_monophthong,未单音化
FJ01,枫泾镇,太湖片-苏沪嘉小片,S0+S1+S2+S3,"o, u, ɔ, ɛ, ɤ, ᴀ",6,212,"o, u, ɔ, ɛ, ɤ, ᴀ",6,"u(115), ᴀ(56), o(36), ɔ(2), ɛ(2), ɤ(1)","o, u, ɔ, ɤ",4,154,"o, u, ɔ, ɤ",4,"u(115), o(36), ɔ(2), ɤ(1)",S4,侯,*əu,ɤ(41),41,41,1.0,ɤ,monophthong,ɤ,back_unrounded,41,1.0,monophthong_only,ɤ,ɤ,ɤ,,,ɤ,ɤ,,all_s4_mono_in_core_back_inventory,ɤ/ɯ类单音化
FX01,奉贤,太湖片-苏沪嘉小片,S0+S1+S2+S3,"e, i, o, u, ɑ, ɔ, ɯ",7,276,"e, i, o, u, ɑ, ɔ, ɯ",7,"u(165), ɑ(56), o(46), ɔ(6), i(1), ɯ(1), e(1)","o, u, ɑ, ɔ, ɯ",5,274,"o, u, ɑ, ɔ, ɯ",5,"u(165), ɑ(56), o(46), ɔ(6), ɯ(1)",S4,侯,*əu,ɯ(44),44,44,1.0,ɯ,monophthong,ɯ,back_unrounded,44,1.0,monophthong_only,ɯ,ɯ,ɯ,,,ɯ,ɯ,,all_s4_mono_in_core_back_inventory,ɤ/ɯ类单音化
FY01,富阳城关,太湖片-临绍小片,S0+S1+S2+S3,"a, i, o, u, ɛ, ʊ",6,325,"a, i, o, u, ɛ, ʊ",6,"ʊ(108), u(97), o(66), a(52), i(1), ɛ(1)","o, u, ʊ",3,271,"o, u, ʊ",3,"ʊ(108), u(97), o(66)",S4,侯,*əu,"ei(28), iʊ(17), ʊ(1)",46,1,0.021739130434782608,ei,diphthong_or_glide,,,28,0.6086956521739131,mixed_mono_and_diphthong,ʊ,ʊ,ʊ,"ei, iʊ",,ʊ,ʊ,,all_s4_mono_in_core_back_inventory,混合
FY02,富阳东梓关,太湖片-临绍小片,S0+S1+S2+S3,"a, o, u, ɔ, ɛ",5,227,"a, o, u, ɔ, ɛ",5,"u(182), a(40), ɛ(3), ɔ(1), o(1)","o, u, ɔ",3,184,"o, u, ɔ",3,"u(182), ɔ(1), o(1)",S4,侯,*əu,"ɵ(34), iɵ(13)",47,34,0.723404255319149,ɵ,monophthong,ɵ,front_rounded,34,0.723404255319149,mixed_mono_and_diphthong,ɵ,ɵ,,iɵ,,,,ɵ,s4_mono_outside_core_inventory,混合
GQ01,高桥,太湖片-苏沪嘉小片,S0+S1+S2+S3,"e, o, u, ɔ, ɛ, ᴀ",6,235,"e, o, u, ɔ, ɛ, ᴀ",6,"u(155), ᴀ(49), o(27), ɛ(2), ɔ(1), e(1)","o, u, ɔ",3,183,"o, u, ɔ",3,"u(155), o(27), ɔ(1)",S4,侯,*əu,ɤ(42),42,42,1.0,ɤ,monophthong,ɤ,back_unrounded,42,1.0,monophthong_only,ɤ,ɤ,ɤ,,,,,ɤ,s4_mono_outside_core_inventory,ɤ/ɯ类单音化
HM01,海门镇沙地话,太湖片-苏沪嘉小片,S0+S1+S2+S3,"o, u, ɑ, ɛ",4,327,"o, u, ɑ, ɛ",4,"u(206), ɑ(67), o(44), ɛ(10)","o, u, ɑ",3,317,"o, u, ɑ",3,"u(206), ɑ(67), o(44)",S4,侯,*əu,əu(56),56,0,0.0,əu,diphthong_or_glide,,,56,1.0,diphthong_or_glide_only,,,,əu,,,,,no_s4_monophthong,未单音化
HM02,海门四甲,太湖片-毗陵小片,S0+S1+S2+S3,"o, ɑ, ɛ, ɤ, ɯ",5,304,"o, ɑ, ɛ, ɤ, ɯ",5,"ɤ(120), ɯ(110), ɑ(47), o(20), ɛ(7)","o, ɑ, ɤ, ɯ",4,297,"o, ɑ, ɤ, ɯ",4,"ɤ(120), ɯ(110), ɑ(47), o(20)",S4,侯,*əu,e(60),60,60,1.0,e,monophthong,e,e_like,60,1.0,monophthong_only,e,e,,,,,,e,s4_mono_outside_core_inventory,e类单音化
HN01,海宁城关,太湖片-苏沪嘉小片,S0+S1+S2+S3,"a, o, u",3,261,"a, o, u",3,"u(161), a(51), o(49)","o, u",2,210,"o, u",2,"u(161), o(49)",S4,侯,*əu,ɤɯ(50),50,0,0.0,ɤɯ,diphthong_or_glide,,,50,1.0,diphthong_or_glide_only,,,,ɤɯ,,,,,no_s4_monophthong,未单音化
HY01,海盐县城,太湖片-苏沪嘉小片,S0+S1+S2+S3,"e, o, u, ɑ, ɛ, ɤ",6,285,"e, o, u, ɑ, ɛ, ɤ",6,"u(170), o(58), ɑ(54), e(1), ɤ(1), ɛ(1)","o, u, ɑ, ɤ",4,283,"o, u, ɑ, ɤ",4,"u(170), o(58), ɑ(54), ɤ(1)",S4,侯,*əu,e(42),42,42,1.0,e,monophthong,e,e_like,42,1.0,monophthong_only,e,e,,,,e,,,all_s4_mono_in_core_inventory,e类单音化
HZ01,杭州城区,太湖片-杭州小片,S0+S1+S2+S3,"a, o, u, ɛ",4,245,"a, o, u, ɛ",4,"u(98), o(89), a(42), ɛ(16)","o, u",2,187,"o, u",2,"u(98), o(89)",S4,侯,*əu,ei(47),47,0,0.0,ei,diphthong_or_glide,,,47,1.0,diphthong_or_glide_only,,,,ei,,,,,no_s4_monophthong,未单音化
HZ02,湖州市区,太湖片-苕溪小片,S0+S1+S2+S3,"a, e, u, ɷ",4,151,"a, e, u, ɷ",4,"a(55), ɷ(49), u(46), e(1)","u, ɷ",2,95,"u, ɷ",2,"ɷ(49), u(46)",S4,侯,*əu,"øʉ(47), iʉ(5)",52,0,0.0,øʉ,diphthong_or_glide,,,47,0.9038461538461539,diphthong_or_glide_only,,,,"iʉ, øʉ",,,,,no_s4_monophthong,未单音化
JD01,嘉定城关,太湖片-苏沪嘉小片,S0+S1+S2+S3,"o, u, ø, ᴀ, ᴇ",5,316,"o, u, ø, ᴀ, ᴇ",5,"u(206), ᴀ(57), o(50), ᴇ(2), ø(1)","o, u",2,256,"o, u",2,"u(206), o(50)",S4,侯,*əu,"ø(53), y(1)",54,54,1.0,ø,monophthong,ø,front_rounded,53,0.9814814814814815,monophthong_only,"y, ø","y, ø",,,,ø,,y,partial_s4_mono_in_core_inventory,ø/ɵ/y类单音化
JJ01,靖江城区,太湖片-毗陵小片,S0+S1+S2+S3,"o, u, æ, ɑ",4,115,"o, u, æ, ɑ",4,"u(55), æ(30), o(25), ɑ(5)","o, u, ɑ",3,85,"o, u, ɑ",3,"u(55), o(25), ɑ(5)",S4,侯,*əu,"øɤ(20), ʌɤ(9)",29,0,0.0,øɤ,diphthong_or_glide,,,20,0.6896551724137931,diphthong_or_glide_only,,,,"øɤ, ʌɤ",,,,,no_s4_monophthong,未单音化
JS01,嘉善魏塘镇,太湖片-苏沪嘉小片,S0+S1+S2+S3,"a, i, o, u, ɔ, ɤ, ᴇ",7,345,"a, i, o, u, ɔ, ɤ, ᴇ",7,"u(208), a(73), o(55), ᴇ(5), ɤ(2), i(1), ɔ(1)","o, u, ɔ, ɤ",4,266,"o, u, ɔ, ɤ",4,"u(208), o(55), ɤ(2), ɔ(1)",S4,侯,*əu,ɤ(57),57,57,1.0,ɤ,monophthong,ɤ,back_unrounded,57,1.0,monophthong_only,ɤ,ɤ,ɤ,,,ɤ,ɤ,,all_s4_mono_in_core_back_inventory,ɤ/ɯ类单音化
JS02,金山,太湖片-苏沪嘉小片,S0+S1+S2+S3,"i, o, u, ɑ, ɔ, ɛ, ɤ, ᴀ",8,278,"i, o, u, ɑ, ɔ, ɛ, ɤ, ᴀ",8,"u(165), ᴀ(57), o(48), ɔ(3), ɛ(2), i(1), ɤ(1), ɑ(1)","o, u, ɑ, ɔ, ɤ",5,218,"o, u, ɑ, ɔ, ɤ",5,"u(165), o(48), ɔ(3), ɤ(1), ɑ(1)",S4,侯,*əu,ɤ(44),44,44,1.0,ɤ,monophthong,ɤ,back_unrounded,44,1.0,monophthong_only,ɤ,ɤ,ɤ,,,ɤ,ɤ,,all_s4_mono_in_core_back_inventory,ɤ/ɯ类单音化
JT01,金坛,太湖片-毗陵小片,S0+S1+S2+S3,"a, o, u",3,223,"a, o, u",3,"u(115), o(69), a(39)","o, u",2,184,"o, u",2,"u(115), o(69)",S4,侯,*əu,ei(58),58,0,0.0,ei,diphthong_or_glide,,,58,1.0,diphthong_or_glide_only,,,,ei,,,,,no_s4_monophthong,未单音化
JW01,江湾,太湖片-苏沪嘉小片,S0+S1+S2+S3,"o, u, ɑ, ɔ, ɛ, ᴀ",6,237,"o, u, ɑ, ɔ, ɛ, ᴀ",6,"u(156), ɑ(41), o(32), ᴀ(4), ɔ(3), ɛ(1)","o, u, ɑ, ɔ",4,232,"o, u, ɑ, ɔ",4,"u(156), ɑ(41), o(32), ɔ(3)",S4,侯,*əu,ɤɯ(42),42,0,0.0,ɤɯ,diphthong_or_glide,,,42,1.0,diphthong_or_glide_only,,,,ɤɯ,,,,,no_s4_monophthong,未单音化
JX01,嘉兴城区,太湖片-苏沪嘉小片,S0+S1+S2+S3,"e, o, u, ɑ, ɛ",5,264,"e, o, u, ɑ, ɛ",5,"u(169), ɑ(49), o(42), ɛ(3), e(1)","o, u, ɑ",3,260,"o, u, ɑ",3,"u(169), ɑ(49), o(42)",S4,侯,*əu,e(46),46,46,1.0,e,monophthong,e,e_like,46,1.0,monophthong_only,e,e,,,,e,,,all_s4_mono_in_core_inventory,e类单音化
JY01,江阴城区澄江镇,太湖片-毗陵小片,S0+S1+S2+S3,"a, o, u, æ, ɒ",5,192,"a, o, u, æ, ɒ",5,"u(79), o(48), a(32), æ(32), ɒ(1)","o, u, ɒ",3,128,"o, u, ɒ",3,"u(79), o(48), ɒ(1)",S4,侯,*əu,"ei(57), əɯ(6)",63,0,0.0,ei,diphthong_or_glide,,,57,0.9047619047619048,diphthong_or_glide_only,,,,"ei, əɯ",,,,,no_s4_monophthong,未单音化
KQ01,柯桥城关,太湖片-临绍小片,S0+S1+S2+S3,"a, e, o, u, y, ɒ",6,369,"a, e, o, u, y, ɒ",6,"o(165), u(142), a(57), y(2), e(2), ɒ(1)","o, u, ɒ",3,308,"o, u, ɒ",3,"o(165), u(142), ɒ(1)",S4,侯,*əu,"ɤ(43), iɤ(17)",60,43,0.7166666666666667,ɤ,monophthong,ɤ,back_unrounded,43,0.7166666666666667,mixed_mono_and_diphthong,ɤ,ɤ,ɤ,iɤ,,,,ɤ,s4_mono_outside_core_inventory,混合
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,S0+S1+S2+S3,"a, o, u, ɛ",4,141,"a, o, u, ɛ",4,"o(61), a(50), u(27), ɛ(3)","o, u",2,88,"o, u",2,"o(61), u(27)",S4,侯,*əu,ei(56),56,0,0.0,ei,diphthong_or_glide,,,56,1.0,diphthong_or_glide_only,,,,ei,,,,,no_s4_monophthong,未单音化
LA01,临安城区,太湖片-临绍小片,S0+S1+S2+S3,"a, o, u",3,304,"a, o, u",3,"o(134), u(115), a(55)","o, u",2,249,"o, u",2,"o(134), u(115)",S4,侯,*əu,ø(57),57,57,1.0,ø,monophthong,ø,front_rounded,57,1.0,monophthong_only,ø,ø,,,,,,ø,s4_mono_outside_core_inventory,ø/ɵ/y类单音化
LP01,临平五杭,太湖片-苕溪小片,S0+S1+S2+S3,"a, o, oŋ, u, y, ɛ",6,262,"a, o, u, y, ɛ",5,"u(187), a(53), o(20), y(1), ɛ(1)","o, oŋ, u",3,207,"o, u",2,"u(187), o(20)",S4,侯,*əu,ø(46),46,46,1.0,ø,monophthong,ø,front_rounded,46,1.0,monophthong_only,ø,ø,,,,,,ø,s4_mono_outside_core_inventory,ø/ɵ/y类单音化
LT01,练塘,太湖片-苏沪嘉小片,S0+S1+S2+S3,"a, o, u, ɔ",4,237,"a, o, u, ɔ",4,"u(154), a(48), o(34), ɔ(1)","o, u, ɔ",3,189,"o, u, ɔ",3,"u(154), o(34), ɔ(1)",S4,侯,*əu,ɯ(42),42,42,1.0,ɯ,monophthong,ɯ,back_unrounded,42,1.0,monophthong_only,ɯ,ɯ,ɯ,,,,,ɯ,s4_mono_outside_core_inventory,ɤ/ɯ类单音化
LY01,溧阳,太湖片-毗陵小片,S0+S1+S2+S3,"o, u, ɔ, ᴀ",4,107,"o, u, ɔ, ᴀ",4,"u(46), ᴀ(30), o(30), ɔ(1)","o, u, ɔ",3,77,"o, u, ɔ",3,"u(46), o(30), ɔ(1)",S4,侯,*əu,"ei(22), i(6), ʌɯ(1)",29,6,0.20689655172413793,ei,diphthong_or_glide,,,22,0.7586206896551724,mixed_mono_and_diphthong,i,i,,"ei, ʌɯ",,,,i,s4_mono_outside_core_inventory,混合
MH01,闵行,太湖片-苏沪嘉小片,S0+S1+S2+S3,"a, o, u, ɑ, ɔ, ɛ, ɤ",7,254,"a, o, u, ɑ, ɔ, ɛ, ɤ",7,"u(164), a(46), o(36), ɔ(4), ɛ(2), ɤ(1), ɑ(1)","o, u, ɑ, ɔ, ɤ",5,206,"o, u, ɑ, ɔ, ɤ",5,"u(164), o(36), ɔ(4), ɤ(1), ɑ(1)",S4,侯,*əu,ɤ(44),44,44,1.0,ɤ,monophthong,ɤ,back_unrounded,44,1.0,monophthong_only,ɤ,ɤ,ɤ,,,ɤ,ɤ,,all_s4_mono_in_core_back_inventory,ɤ/ɯ类单音化
