point_id,point_name,subbranch,core_slots,monophthong_values,monophthong_value_size,monophthong_token_count,monophthong_nuclei,monophthong_nucleus_size,monophthong_nucleus_counts,back_monophthong_values,back_monophthong_value_size,back_monophthong_token_count,back_monophthong_nuclei,back_monophthong_nucleus_size,back_monophthong_nucleus_counts,s4_slot_in_data,s4_rhyme_in_data,s4_initial,s4_value_counts,s4_total_token_count,s4_monophthong_token_count,s4_monophthong_token_share,s4_dominant_value,s4_dominant_value_class,s4_dominant_nucleus,s4_dominant_nucleus_category,s4_dominant_token_count,s4_dominant_token_share,s4_status,s4_monophthong_values,s4_monophthong_nuclei,s4_back_monophthong_nuclei,s4_diphthong_or_glide_values,s4_other_values,s4_monophthong_nuclei_in_core,s4_monophthong_nuclei_in_core_back,s4_monophthong_nuclei_not_in_core,s4_core_relation,s4_map_category
NB01,宁波市区,太湖片-甬江小片,S0+S1+S2+S3,"a, o, u, ø",4,202,"a, o, u, ø",4,"u(97), o(58), a(46), ø(1)","o, u",2,155,"o, u",2,"u(97), o(58)",S4,侯,*əu,"œʏ(41), əu(1)",42,0,0.0,œʏ,diphthong_or_glide,,,41,0.9761904761904762,diphthong_or_glide_only,,,,"œʏ, əu",,,,,no_s4_monophthong,未单音化
NH01,南汇惠南镇,太湖片-苏沪嘉小片,S0+S1+S2+S3,"a, o, u, ɔ, ɛ",5,283,"a, o, u, ɔ, ɛ",5,"u(178), a(57), o(35), ɔ(7), ɛ(6)","o, u, ɔ",3,220,"o, u, ɔ",3,"u(178), o(35), ɔ(7)",S4,侯,*əu,ɤ(54),54,54,1.0,ɤ,monophthong,ɤ,back_unrounded,54,1.0,monophthong_only,ɤ,ɤ,ɤ,,,,,ɤ,s4_mono_outside_core_inventory,ɤ/ɯ类单音化
NT01,南通金沙镇,太湖片-毗陵小片,S0+S1+S2+S3,"o, u, æ, ɑ",4,108,"o, u, æ, ɑ",4,"u(60), æ(26), o(12), ɑ(10)","o, u, ɑ",3,82,"o, u, ɑ",3,"u(60), o(12), ɑ(10)",S4,侯,*əu,ᴇ(22),22,22,1.0,ᴇ,monophthong,ᴇ,e_like,22,1.0,monophthong_only,ᴇ,ᴇ,,,,,,ᴇ,s4_mono_outside_core_inventory,e类单音化
PB01,彭埠镇,太湖片-杭州小片,S0+S1+S2+S3,"a, o, u, ø",4,259,"a, o, u, ø",4,"o(119), u(112), a(27), ø(1)","o, u",2,231,"o, u",2,"o(119), u(112)",S4,侯,*əu,"ø(28), io(11), o(1)",40,29,0.725,ø,monophthong,ø,front_rounded,28,0.7,mixed_mono_and_diphthong,"o, ø","o, ø",o,io,,"o, ø",o,,all_s4_mono_in_core_inventory,混合
PH01,平湖城关,太湖片-苏沪嘉小片,S0+S1+S2+S3,"a, o, u",3,277,"a, o, u",3,"u(170), a(56), o(51)","o, u",2,221,"o, u",2,"u(170), o(51)",S4,侯,*əu,əw(54),54,0,0.0,əw,diphthong_or_glide,,,54,1.0,diphthong_or_glide_only,,,,əw,,,,,no_s4_monophthong,未单音化
QD01,启东吕四,太湖片-毗陵小片,S0+S1+S2+S3,"a, o, u, ɛ, ɤ",5,275,"a, o, u, ɛ, ɤ",5,"ɤ(119), u(102), a(37), o(12), ɛ(5)","o, u, ɤ",3,233,"o, u, ɤ",3,"ɤ(119), u(102), o(12)",S4,侯,*əu,"ei(52), ie(1)",53,0,0.0,ei,diphthong_or_glide,,,52,0.9811320754716981,diphthong_or_glide_only,,,,"ei, ie",,,,,no_s4_monophthong,未单音化
QP01,青浦商榻,太湖片-苏沪嘉小片,S0+S1+S2+S3,"u, ɐ, ɒ, ɛ, ʊ",5,190,"u, ɐ, ɒ, ɛ, ʊ",5,"u(65), ʊ(63), ɒ(59), ɛ(2), ɐ(1)","u, ɒ, ʊ",3,187,"u, ɒ, ʊ",3,"u(65), ʊ(63), ɒ(59)",S4,侯,*əu,"iəu(50), u(1)",51,1,0.0196078431372549,iəu,diphthong_or_glide,,,50,0.9803921568627451,mixed_mono_and_diphthong,u,u,u,iəu,,u,u,,all_s4_mono_in_core_back_inventory,混合
SH01,上海市区,太湖片-苏沪嘉小片,S0+S1+S2+S3,"i, o, u, ɔ, ᴀ, ᴇ",6,376,"i, o, u, ɔ, ᴀ, ᴇ",6,"u(232), o(69), ᴀ(68), ᴇ(5), i(1), ɔ(1)","o, u, ɔ",3,302,"o, u, ɔ",3,"u(232), o(69), ɔ(1)",S4,侯,*əu,ɤ(66),66,66,1.0,ɤ,monophthong,ɤ,back_unrounded,66,1.0,monophthong_only,ɤ,ɤ,ɤ,,,,,ɤ,s4_mono_outside_core_inventory,ɤ/ɯ类单音化
SJ01,松江镇,太湖片-苏沪嘉小片,S0+S1+S2+S3,"e, o, u, ɑ, ɔ, ɛ",6,382,"e, o, u, ɑ, ɔ, ɛ",6,"u(221), ɑ(81), o(69), ɔ(9), ɛ(1), e(1)","o, u, ɑ, ɔ",4,380,"o, u, ɑ, ɔ",4,"u(221), ɑ(81), o(69), ɔ(9)",S4,侯,*əu,"ɯ(65), u(1)",66,66,1.0,ɯ,monophthong,ɯ,back_unrounded,65,0.9848484848484849,monophthong_only,"u, ɯ","u, ɯ","u, ɯ",,,u,u,ɯ,partial_s4_mono_in_core_inventory,ɤ/ɯ类单音化
SJ02,泗泾,太湖片-苏沪嘉小片,S0+S1+S2+S3,"i, o, u, ɑ",4,208,"i, o, u, ɑ",4,"u(118), ɑ(48), o(41), i(1)","o, u, ɑ",3,207,"o, u, ɑ",3,"u(118), ɑ(48), o(41)",S4,侯,*əu,ɯ(42),42,42,1.0,ɯ,monophthong,ɯ,back_unrounded,42,1.0,monophthong_only,ɯ,ɯ,ɯ,,,,,ɯ,s4_mono_outside_core_inventory,ɤ/ɯ类单音化
SL01,三林,太湖片-苏沪嘉小片,S0+S1+S2+S3,"e, o, u, ɔ, ɤ, ᴀ",6,230,"e, o, u, ɔ, ɤ, ᴀ",6,"u(154), ᴀ(48), o(22), ɔ(4), ɤ(1), e(1)","o, u, ɔ, ɤ",4,181,"o, u, ɔ, ɤ",4,"u(154), o(22), ɔ(4), ɤ(1)",S4,侯,*əu,ɤ(42),42,42,1.0,ɤ,monophthong,ɤ,back_unrounded,42,1.0,monophthong_only,ɤ,ɤ,ɤ,,,ɤ,ɤ,,all_s4_mono_in_core_back_inventory,ɤ/ɯ类单音化
SX01,绍兴城区东头埭,太湖片-临绍小片,S0+S1+S2+S3,"a, o, u, ɒ",4,387,"a, o, u, ɒ",4,"o(186), u(148), a(52), ɒ(1)","o, u, ɒ",3,335,"o, u, ɒ",3,"o(186), u(148), ɒ(1)",S4,侯,*əu,ɤ(62),62,62,1.0,ɤ,monophthong,ɤ,back_unrounded,62,1.0,monophthong_only,ɤ,ɤ,ɤ,,,,,ɤ,s4_mono_outside_core_inventory,ɤ/ɯ类单音化
SY02,上虞百官镇,太湖片-临绍小片,S0+S1+S2+S3,"o, u, y, ɐ, ᴇ",5,308,"o, u, y, ɐ, ᴇ",5,"o(136), u(114), ɐ(46), y(10), ᴇ(2)","o, u",2,250,"o, u",2,"o(136), u(114)",S4,侯,*əu,"ə(59), iə(1)",60,59,0.9833333333333333,ə,monophthong,ə,central,59,0.9833333333333333,mixed_mono_and_diphthong,ə,ə,,iə,,,,ə,s4_mono_outside_core_inventory,混合
SZ01,苏州城区,太湖片-苏沪嘉小片,S0+S1+S2+S3,"i, o, ɑ, ɪ, ᴇ",5,140,"i, o, ɑ, ɪ, ᴇ",5,"o(67), ɑ(65), ɪ(4), ᴇ(3), i(1)","o, ɑ",2,132,"o, ɑ",2,"o(67), ɑ(65)",S4,侯,*əu,øʏ(65),65,0,0.0,øʏ,diphthong_or_glide,,,65,1.0,diphthong_or_glide_only,,,,øʏ,,,,,no_s4_monophthong,未单音化
SZ02,嵊州长乐,太湖片-临绍小片,S0+S1+S2+S3,"a, i, o, u, ɔ, ᴇ",6,322,"a, i, o, u, ɔ, ᴇ",6,"u(109), o(95), ɔ(65), a(51), i(1), ᴇ(1)","o, u, ɔ",3,269,"o, u, ɔ",3,"u(109), o(95), ɔ(65)",S4,侯,*əu,"øy(48), iøy(10)",58,0,0.0,øy,diphthong_or_glide,,,48,0.8275862068965517,diphthong_or_glide_only,,,,"iøy, øy",,,,,no_s4_monophthong,未单音化
SZ03,嵊州崇仁镇,太湖片-临绍小片,S0+S1+S2+S3,"a, e, u, ɤ",4,320,"a, e, u, ɤ",4,"ɤ(154), u(116), a(49), e(1)","u, ɤ",2,270,"u, ɤ",2,"ɤ(154), u(116)",S4,侯,*əu,"ʏ(57), iʏ(1)",58,57,0.9827586206896551,ʏ,monophthong,ʏ,front_rounded,57,0.9827586206896551,mixed_mono_and_diphthong,ʏ,ʏ,,iʏ,,,,ʏ,s4_mono_outside_core_inventory,混合
TC01,太仓沙溪,太湖片-苏沪嘉小片,S0+S1+S2+S3,"a, i, o, u, ɔ, ɛ",6,211,"a, i, o, u, ɔ, ɛ",6,"u(73), o(70), a(61), ɛ(4), ɔ(2), i(1)","o, u, ɔ",3,145,"o, u, ɔ",3,"u(73), o(70), ɔ(2)",S4,侯,*əu,"ei(57), u(1)",58,1,0.017241379310344827,ei,diphthong_or_glide,,,57,0.9827586206896551,mixed_mono_and_diphthong,u,u,u,ei,,u,u,,all_s4_mono_in_core_back_inventory,混合
TC02,太仓城厢,太湖片-苏沪嘉小片,S0+S1+S2+S3,"a, o, u, ᴇ",4,214,"a, o, u, ᴇ",4,"o(79), u(79), a(55), ᴇ(1)","o, u",2,158,"o, u",2,"o(79), u(79)",S4,侯,*əu,"o(64), u(1)",65,65,1.0,o,monophthong,o,u_o_like,64,0.9846153846153847,monophthong_only,"o, u","o, u","o, u",,,"o, u","o, u",,all_s4_mono_in_core_back_inventory,u/o类单音化
TL01,桐庐镇,太湖片-临绍小片,S0+S1+S2+S3,"a, u, ɔ, ɛ",4,243,"a, u, ɔ, ɛ",4,"u(194), a(47), ɛ(1), ɔ(1)","u, ɔ",2,195,"u, ɔ",2,"u(194), ɔ(1)",S4,侯,*əu,e(56),56,56,1.0,e,monophthong,e,e_like,56,1.0,monophthong_only,e,e,,,,,,e,s4_mono_outside_core_inventory,e类单音化
TX01,桐乡城区,太湖片-苏沪嘉小片,S0+S1+S2+S3,"a, o, u, ɛ",4,256,"a, o, u, ɛ",4,"u(134), a(69), o(52), ɛ(1)","o, u",2,186,"o, u",2,"u(134), o(52)",S4,侯,*əu,əɯ(37),37,0,0.0,əɯ,diphthong_or_glide,,,37,1.0,diphthong_or_glide_only,,,,əɯ,,,,,no_s4_monophthong,未单音化
WJ01,吴江市松陵,太湖片-苏沪嘉小片,S0+S1+S2+S3,"a, o, u, ɔ, ɪ, ᴇ",6,154,"a, o, u, ɔ, ɪ, ᴇ",6,"o(55), ɔ(50), u(44), ᴇ(2), ɪ(2), a(1)","o, u, ɔ",3,149,"o, u, ɔ",3,"o(55), ɔ(50), u(44)",S4,侯,*əu,iəu(57),57,0,0.0,iəu,diphthong_or_glide,,,57,1.0,diphthong_or_glide_only,,,,iəu,,,,,no_s4_monophthong,未单音化
WJ02,吴江芦墟,太湖片-苏沪嘉小片,S0+S1+S2+S3,"i, o, u, ɔ",4,120,"i, o, u, ɔ",4,"o(44), ɔ(39), u(36), i(1)","o, u, ɔ",3,119,"o, u, ɔ",3,"o(44), ɔ(39), u(36)",S4,侯,*əu,iəu(45),45,0,0.0,iəu,diphthong_or_glide,,,45,1.0,diphthong_or_glide_only,,,,iəu,,,,,no_s4_monophthong,未单音化
WX01,无锡城区,太湖片-苏沪嘉小片,S0+S1+S2+S3,"a, u, ʌ",3,147,"a, u, ʌ",3,"u(79), a(66), ʌ(2)","u, ʌ",2,81,"u, ʌ",2,"u(79), ʌ(2)",S4,侯,*əu,"ei(57), əɯ(1)",58,0,0.0,ei,diphthong_or_glide,,,57,0.9827586206896551,diphthong_or_glide_only,,,,"ei, əɯ",,,,,no_s4_monophthong,未单音化
WX02,吴县光福镇,太湖片-苏沪嘉小片,S0+S1+S2+S3,"a, o, u, æ, ɛ",5,140,"a, o, u, æ, ɛ",5,"o(58), a(51), u(27), ɛ(3), æ(1)","o, u",2,85,"o, u",2,"o(58), u(27)",S4,侯,*əu,ei(60),60,0,0.0,ei,diphthong_or_glide,,,60,1.0,diphthong_or_glide_only,,,,ei,,,,,no_s4_monophthong,未单音化
XC01,新昌城关,太湖片-临绍小片,S0+S1+S2+S3,"a, o, o̞, u, ɛ",5,282,"a, o, u, ɛ",4,"o(137), u(96), a(46), ɛ(3)","o, o̞, u",3,233,"o, u",2,"o(137), u(96)",S4,侯,*əu,"iɯ(40), ɯ(2)",42,2,0.047619047619047616,iɯ,diphthong_or_glide,,,40,0.9523809523809523,mixed_mono_and_diphthong,ɯ,ɯ,ɯ,iɯ,,,,ɯ,s4_mono_outside_core_inventory,混合
XD01,新登下港,太湖片-临绍小片,S0+S1+S2+S3,"a, o, u, ɔ, ɛ",5,304,"a, o, u, ɔ, ɛ",5,"u(214), o(43), a(40), ɛ(4), ɔ(3)","o, u, ɔ",3,260,"o, u, ɔ",3,"u(214), o(43), ɔ(3)",S4,侯,*əu,"əʊ(33), iʊ(25), ɛ(1), u(1)",60,2,0.03333333333333333,əʊ,diphthong_or_glide,,,33,0.55,mixed_mono_and_diphthong,"u, ɛ","u, ɛ",u,"iʊ, əʊ",,"u, ɛ",u,,all_s4_mono_in_core_inventory,混合
XH02,萧山城厢,太湖片-临绍小片,S0+S1+S2+S3,"a, e, o, u",4,318,"a, e, o, u",4,"o(153), u(115), a(49), e(1)","o, u",2,268,"o, u",2,"o(153), u(115)",S4,侯,*əu,"io(51), ɒ(1)",52,1,0.019230769230769232,io,diphthong_or_glide,,,51,0.9807692307692307,mixed_mono_and_diphthong,ɒ,ɒ,ɒ,io,,,,ɒ,s4_mono_outside_core_inventory,混合
XS01,象山丹城,太湖片-甬江小片,S0+S1+S2+S3,"a, o, u, ɛ",4,324,"a, o, u, ɛ",4,"o(146), u(127), a(50), ɛ(1)","o, u",2,273,"o, u",2,"o(146), u(127)",S4,侯,*əu,ou(54),54,0,0.0,ou,diphthong_or_glide,,,54,1.0,diphthong_or_glide_only,,,,ou,,,,,no_s4_monophthong,未单音化
XS03,萧山南阳镇,太湖片-临绍小片,S0+S1+S2+S3,"a, o, u",3,267,"a, o, u",3,"o(121), u(112), a(34)","o, u",2,233,"o, u",2,"o(121), u(112)",S4,侯,*əu,"ø(31), iø(11)",42,31,0.7380952380952381,ø,monophthong,ø,front_rounded,31,0.7380952380952381,mixed_mono_and_diphthong,ø,ø,,iø,,,,ø,s4_mono_outside_core_inventory,混合
XZ01,莘庄,太湖片-苏沪嘉小片,S0+S1+S2+S3,"e, o, u, ɔ, ɛ, ɤ, ᴀ",7,242,"e, o, u, ɔ, ɛ, ɤ, ᴀ",7,"u(142), ᴀ(49), o(43), ɔ(5), ɤ(1), ɛ(1), e(1)","o, u, ɔ, ɤ",4,191,"o, u, ɔ, ɤ",4,"u(142), o(43), ɔ(5), ɤ(1)",S4,侯,*əu,ɤ(41),41,41,1.0,ɤ,monophthong,ɤ,back_unrounded,41,1.0,monophthong_only,ɤ,ɤ,ɤ,,,ɤ,ɤ,,all_s4_mono_in_core_back_inventory,ɤ/ɯ类单音化
YQ01,於潜,太湖片-临绍小片,S0+S1+S2+S3,"a, o, u",3,250,"a, o, u",3,"u(204), a(44), o(2)","o, u",2,206,"o, u",2,"u(204), o(2)",S4,侯,*əu,iu(55),55,0,0.0,iu,diphthong_or_glide,,,55,1.0,diphthong_or_glide_only,,,,iu,,,,,no_s4_monophthong,未单音化
YX01,宜兴,太湖片-毗陵小片,S0+S1+S2+S3,"a, o, u, ɛ, ɷ",5,280,"a, o, u, ɛ, ɷ",5,"u(106), ɷ(82), o(64), a(27), ɛ(1)","o, u, ɷ",3,252,"o, u, ɷ",3,"u(106), ɷ(82), o(64)",S4,侯,*əu,əu(56),56,0,0.0,əu,diphthong_or_glide,,,56,1.0,diphthong_or_glide_only,,,,əu,,,,,no_s4_monophthong,未单音化
YX02,鄞县中区,太湖片-甬江小片,S0+S1+S2+S3,"a, e, o, u",4,211,"a, e, o, u",4,"u(105), o(65), a(40), e(1)","o, u",2,170,"o, u",2,"u(105), o(65)",S4,侯,*əu,œʏ(54),54,0,0.0,œʏ,diphthong_or_glide,,,54,1.0,diphthong_or_glide_only,,,,œʏ,,,,,no_s4_monophthong,未单音化
YY01,余姚城关,太湖片-临绍小片,S0+S1+S2+S3,"a, o, u",3,217,"a, o, u",3,"u(94), o(73), a(50)","o, u",2,167,"o, u",2,"u(94), o(73)",S4,侯,*əu,"ø(55), iø(3)",58,55,0.9482758620689655,ø,monophthong,ø,front_rounded,55,0.9482758620689655,mixed_mono_and_diphthong,ø,ø,,iø,,,,ø,s4_mono_outside_core_inventory,混合
ZJ01,诸暨城关,太湖片-临绍小片,S0+S1+S2+S3,"a, o, u",3,176,"a, o, u",3,"u(82), a(47), o(47)","o, u",2,129,"o, u",2,"u(82), o(47)",S4,侯,*əu,"ei(23), y(20)",43,20,0.46511627906976744,ei,diphthong_or_glide,,,23,0.5348837209302325,mixed_mono_and_diphthong,y,y,,ei,,,,y,s4_mono_outside_core_inventory,混合
ZJ02,诸暨璜山镇,太湖片-临绍小片,S0+S1+S2+S3,"a, u, ʊ",3,215,"a, u, ʊ",3,"u(112), ʊ(56), a(47)","u, ʊ",2,168,"u, ʊ",2,"u(112), ʊ(56)",S4,侯,*əu,"ɤɯ(25), ʏ(24)",49,24,0.4897959183673469,ɤɯ,diphthong_or_glide,,,25,0.5102040816326531,mixed_mono_and_diphthong,ʏ,ʏ,,ɤɯ,,,,ʏ,s4_mono_outside_core_inventory,混合
ZJ03,诸暨直埠镇,太湖片-临绍小片,S0+S1+S2+S3,"a, o, u",3,165,"a, o, u",3,"u(87), o(44), a(34)","o, u",2,131,"o, u",2,"u(87), o(44)",S4,侯,*əu,"ei(22), y(14)",36,14,0.3888888888888889,ei,diphthong_or_glide,,,22,0.6111111111111112,mixed_mono_and_diphthong,y,y,,ei,,,,y,s4_mono_outside_core_inventory,混合
ZP01,周浦,太湖片-苏沪嘉小片,S0+S1+S2+S3,"e, o, u, ɔ, ɤ, ᴀ",6,230,"e, o, u, ɔ, ɤ, ᴀ",6,"u(152), ᴀ(48), o(22), ɔ(6), ɤ(1), e(1)","o, u, ɔ, ɤ",4,181,"o, u, ɔ, ɤ",4,"u(152), o(22), ɔ(6), ɤ(1)",S4,侯,*əu,ɤ(42),42,42,1.0,ɤ,monophthong,ɤ,back_unrounded,42,1.0,monophthong_only,ɤ,ɤ,ɤ,,,ɤ,ɤ,,all_s4_mono_in_core_back_inventory,ɤ/ɯ类单音化
ZR01,真如,太湖片-苏沪嘉小片,S0+S1+S2+S3,"o, u, ɔ, ᴀ",4,235,"o, u, ɔ, ᴀ",4,"u(156), ᴀ(45), o(29), ɔ(5)","o, u, ɔ",3,190,"o, u, ɔ",3,"u(156), o(29), ɔ(5)",S4,侯,*əu,ɤ(42),42,42,1.0,ɤ,monophthong,ɤ,back_unrounded,42,1.0,monophthong_only,ɤ,ɤ,ɤ,,,,,ɤ,s4_mono_outside_core_inventory,ɤ/ɯ类单音化
ZS01,舟山定海,太湖片-甬江小片,S0+S1+S2+S3,"a, o, u, ɛ",4,238,"a, o, u, ɛ",4,"u(119), o(72), a(46), ɛ(1)","o, u",2,191,"o, u",2,"u(119), o(72)",S4,侯,*əu,ai(53),53,0,0.0,ai,diphthong_or_glide,,,53,1.0,diphthong_or_glide_only,,,,ai,,,,,no_s4_monophthong,未单音化
