point_id,point_name,token_count,unique_vowel_count,repeat_load,repeat_ratio,unique_vowel_set,S0_unique_vowel_count,S0_vowel_set,S1_unique_vowel_count,S1_vowel_set,S2_unique_vowel_count,S2_vowel_set,S3_unique_vowel_count,S3_vowel_set,subbranch,lat,lon
FH01,奉化西坞,20,4,16,0.8,"a, o, u, əu",1,a,1,o,1,əu,2,"u, əu",太湖片-甬江小片,29.680714793011017,121.49111464156624
NB01,宁波市区,20,4,16,0.8,"a, o, u, əu",1,a,1,o,1,əu,2,"u, əu",太湖片-甬江小片,29.882641254266098,121.55751200020596
XS01,象山丹城,20,3,17,0.85,"a, o, u",1,a,1,o,1,o,2,"o, u",太湖片-甬江小片,29.47877399078279,121.8761040477852
YX02,鄞县中区,20,4,16,0.8,"a, o, u, əu",1,a,1,o,1,əu,2,"u, əu",太湖片-甬江小片,29.816552546783488,121.54599962737127
ZS01,舟山定海,20,4,16,0.8,"a, au, o, u",1,a,1,o,1,au,2,"au, u",太湖片-甬江小片,30.021127079101433,122.11093332969364
BS01,宝山,20,4,16,0.8,"ia, o, u, ᴀ",1,ᴀ,3,"ia, o, ᴀ",1,u,1,u,太湖片-苏沪嘉小片,31.40789362562556,121.4823088278808
BZ01,堡镇,20,4,16,0.8,"iɑ, o, u, ɑ",2,"iɑ, ɑ",2,"o, ɑ",1,u,1,u,太湖片-苏沪嘉小片,31.53717747015217,121.61845579374194
CM01,崇明城关,20,3,17,0.85,"o, u, ɑ",1,ɑ,2,"o, ɑ",1,u,1,u,太湖片-苏沪嘉小片,31.62502137629809,121.39837364780428
CS01,川沙浦东,20,5,15,0.75,"iɔ, o, u, ɔ, ᴀ",1,ᴀ,4,"iɔ, o, ɔ, ᴀ",1,u,1,u,太湖片-苏沪嘉小片,31.47225912217096,121.36572899634233
CS02,常熟虞山镇,20,3,17,0.85,"u, ɯ, ᴀ",1,ᴀ,2,"u, ᴀ",2,"u, ɯ",2,"u, ɯ",太湖片-苏沪嘉小片,31.591588596011817,120.71950098393457
FC01,奉城,20,4,16,0.8,"o, u, ɑ, ɔ",1,ɑ,3,"o, ɑ, ɔ",2,"o, u",2,"o, u",太湖片-苏沪嘉小片,30.9091313735184,121.6571711938398
FJ01,枫泾镇,20,4,16,0.8,"o, u, əu, ᴀ",1,ᴀ,2,"o, ᴀ",2,"u, əu",2,"u, əu",太湖片-苏沪嘉小片,30.94686047887636,121.06526585497572
FX01,奉贤,20,4,16,0.8,"iɑ, o, u, ɑ",2,"iɑ, ɑ",3,"iɑ, o, ɑ",2,"o, u",2,"o, u",太湖片-苏沪嘉小片,30.91897527897765,121.472539149005
GQ01,高桥,20,4,16,0.8,"iᴀ, o, u, ᴀ",2,"iᴀ, ᴀ",2,"o, ᴀ",1,u,1,u,太湖片-苏沪嘉小片,31.339124303388612,121.58040748222272
HM01,海门镇沙地话,20,4,16,0.8,"iɑ, o, u, ɑ",1,ɑ,3,"iɑ, o, ɑ",1,u,1,u,太湖片-苏沪嘉小片,31.8856763941394,121.15836100693876
HN01,海宁城关,20,3,17,0.85,"a, o, u",1,a,2,"a, o",1,u,1,u,太湖片-苏沪嘉小片,30.51747651962801,120.67311840279037
HY01,海盐县城,20,3,17,0.85,"o, u, ɑ",1,ɑ,2,"o, ɑ",2,"o, u",2,"o, u",太湖片-苏沪嘉小片,30.52484608182146,120.943411857842
JD01,嘉定城关,20,3,17,0.85,"o, u, ᴀ",1,ᴀ,2,"o, ᴀ",1,u,1,u,太湖片-苏沪嘉小片,31.375152300679105,121.2715824755144
JS01,嘉善魏塘镇,20,3,17,0.85,"a, o, u",1,a,2,"a, o",1,u,1,u,太湖片-苏沪嘉小片,30.85581735072176,120.89532033139976
JS02,金山,20,3,17,0.85,"o, u, ᴀ",1,ᴀ,2,"o, ᴀ",2,"o, u",2,"o, u",太湖片-苏沪嘉小片,30.819522049912862,121.0509678474497
JW01,江湾,20,3,17,0.85,"o, u, ɑ",1,ɑ,2,"o, ɑ",1,u,1,u,太湖片-苏沪嘉小片,31.305220787427928,121.47329399018194
JX01,嘉兴城区,20,3,17,0.85,"o, u, ɑ",1,ɑ,2,"o, ɑ",1,u,1,u,太湖片-苏沪嘉小片,30.759566738914614,120.77338166132184
KS01,昆山市区玉山镇,20,4,16,0.8,"a, o, u, əu",1,a,2,"a, o",3,"o, u, əu",3,"o, u, əu",太湖片-苏沪嘉小片,31.41100143999111,120.95099221326376
LT01,练塘,20,3,17,0.85,"a, o, u",1,a,2,"a, o",1,u,1,u,太湖片-苏沪嘉小片,30.999904855821395,121.05239704753826
MH01,闵行,20,4,16,0.8,"a, o, u, ɔ",1,a,3,"a, o, ɔ",2,"o, u",2,"o, u",太湖片-苏沪嘉小片,31.028221,121.447195
NH01,南汇惠南镇,20,4,16,0.8,"a, ia, o, u",2,"a, ia",2,"a, o",1,u,1,u,太湖片-苏沪嘉小片,31.05000952690444,121.74745427694488
PH01,平湖城关,20,3,17,0.85,"a, o, u",1,a,2,"a, o",2,"o, u",2,"o, u",太湖片-苏沪嘉小片,30.692613873607865,121.01118052674214
QP01,青浦商榻,20,4,16,0.8,"u, ɒ, əu, ʊ",1,ɒ,2,"ɒ, ʊ",3,"u, əu, ʊ",3,"u, əu, ʊ",太湖片-苏沪嘉小片,31.11800487430921,120.91982736628508
SH01,上海市区,20,3,17,0.85,"o, u, ᴀ",1,ᴀ,2,"o, ᴀ",1,u,1,u,太湖片-苏沪嘉小片,31.245251317000687,121.47209312541509
SJ01,松江镇,20,4,16,0.8,"iɑ, o, u, ɑ",1,ɑ,3,"iɑ, o, ɑ",2,"o, u",2,"o, u",太湖片-苏沪嘉小片,31.036008868377273,121.22465745683684
SJ02,泗泾,20,4,16,0.8,"o, u, ɑ, əu",1,ɑ,2,"o, ɑ",2,"u, əu",3,"o, u, əu",太湖片-苏沪嘉小片,31.118775274975683,121.27114807482758
SL01,三林,20,5,15,0.75,"iɔ, o, u, ɔ, ᴀ",1,ᴀ,4,"iɔ, o, ɔ, ᴀ",1,u,1,u,太湖片-苏沪嘉小片,31.14556367853321,121.50266996292858
SZ01,苏州城区,20,4,16,0.8,"o, v, ɑ, əu",1,ɑ,2,"o, ɑ",3,"o, v, əu",3,"o, v, əu",太湖片-苏沪嘉小片,31.29881005567972,120.5842465949506
TC01,太仓沙溪,20,4,16,0.8,"a, o, u, əu",1,a,2,"a, o",3,"o, u, əu",3,"o, u, əu",太湖片-苏沪嘉小片,31.55669694801828,121.07694150440597
TC02,太仓城厢,20,4,16,0.8,"a, o, u, əu",1,a,2,"a, o",3,"o, u, əu",3,"o, u, əu",太湖片-苏沪嘉小片,31.457113404346295,121.11208518322822
TX01,桐乡城区,20,3,17,0.85,"a, o, u",1,a,2,"a, o",2,"o, u",2,"o, u",太湖片-苏沪嘉小片,30.62837635390344,120.55967958073325
WJ01,吴江市松陵,20,4,16,0.8,"o, u, ɔ, əu",1,ɔ,2,"o, ɔ",3,"o, u, əu",3,"o, u, əu",太湖片-苏沪嘉小片,31.151716675903405,120.64901016522084
WJ02,吴江芦墟,20,4,16,0.8,"o, u, ɔ, əu",1,ɔ,2,"o, ɔ",3,"o, u, əu",3,"o, u, əu",太湖片-苏沪嘉小片,31.009803453390855,120.83681736613912
WX01,无锡城区,20,3,17,0.85,"a, u, əɯ",1,a,3,"a, u, əɯ",1,əɯ,2,"u, əɯ",太湖片-苏沪嘉小片,31.5672385460996,120.3044028357254
WX02,吴县光福镇,20,4,16,0.8,"a, o, u, əu",1,a,2,"a, o",3,"o, u, əu",3,"o, u, əu",太湖片-苏沪嘉小片,31.283712541086764,120.39250256018134
XZ01,莘庄,20,4,16,0.8,"iᴀ, o, u, ᴀ",1,ᴀ,3,"iᴀ, o, ᴀ",2,"o, u",2,"o, u",太湖片-苏沪嘉小片,31.124822322270933,121.36994323180724
ZP01,周浦,20,5,15,0.75,"iɔ, o, u, ɔ, ᴀ",1,ᴀ,4,"iɔ, o, ɔ, ᴀ",1,u,1,u,太湖片-苏沪嘉小片,31.115354843880898,121.57500604757446
ZR01,真如,20,5,15,0.75,"iᴀ, o, u, ɔ, ᴀ",2,"iᴀ, ᴀ",3,"o, ɔ, ᴀ",1,u,1,u,太湖片-苏沪嘉小片,31.25725388552751,121.40120261716866
AJ01,安吉安城,20,3,17,0.85,"a, u, ɷ",1,a,3,"a, u, ɷ",2,"u, ɷ",1,u,太湖片-苕溪小片,30.71501207030173,119.69403152449726
CX02,长兴,20,4,16,0.8,"a, o, u, əu",1,a,2,"a, o",3,"o, u, əu",3,"o, u, əu",太湖片-苕溪小片,31.015985667983664,119.92556298117788
DQ01,德清乾元,20,3,17,0.85,"a, u, ɔ",1,a,2,"a, ɔ",1,u,1,u,太湖片-苕溪小片,30.41128187027115,120.3066753297041
HZ02,湖州市区,20,4,16,0.8,"a, u, əu, ɷ",1,a,2,"a, ɷ",3,"u, əu, ɷ",2,"u, əu",太湖片-苕溪小片,30.902792630239233,120.085631081529
LP01,临平五杭,20,4,16,0.8,"a, o, u, uo",1,a,3,"a, o, uo",1,u,1,u,太湖片-苕溪小片,30.494257613,120.253757428
