point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note
GS01,顾山,太湖片-毗陵小片,,,歌,T,多,əɯ,
GS01,顾山,太湖片-毗陵小片,,,歌,T,拖,əɯ,{TUOBA}
GS01,顾山,太湖片-毗陵小片,,,歌,T,他,a,文
GS01,顾山,太湖片-毗陵小片,,,歌,T,驼,,
GS01,顾山,太湖片-毗陵小片,,,歌,T,驮,əɯ,
GS01,顾山,太湖片-毗陵小片,,,歌,T,陀,,
GS01,顾山,太湖片-毗陵小片,,,歌,T,鸵,əɯ,
GS01,顾山,太湖片-毗陵小片,,,歌,T,沱,,
GS01,顾山,太湖片-毗陵小片,,,歌,T,舵,,
GS01,顾山,太湖片-毗陵小片,,,歌,T,大,əɯ,大小
GS01,顾山,太湖片-毗陵小片,,,歌,T,驮,,
GS01,顾山,太湖片-毗陵小片,,,歌,N,挪,əɯ？,~一~
GS01,顾山,太湖片-毗陵小片,,,歌,N,哪,əɯ,哪吒
GS01,顾山,太湖片-毗陵小片,,,歌,N,那,a,
GS01,顾山,太湖片-毗陵小片,,,歌,L,罗,əɯ,
GS01,顾山,太湖片-毗陵小片,,,歌,L,锣,əɯ,
GS01,顾山,太湖片-毗陵小片,,,歌,L,箩,əɯ,
GS01,顾山,太湖片-毗陵小片,,,歌,L,萝,ɒ,萝卜
GS01,顾山,太湖片-毗陵小片,,,歌,L,逻,əɯ,
GS01,顾山,太湖片-毗陵小片,,,歌,TS,左,əɯ/i,/~手
GS01,顾山,太湖片-毗陵小片,,,歌,TS,佐,,
GS01,顾山,太湖片-毗陵小片,,,歌,TS,搓,əɯ,~麻将
GS01,顾山,太湖片-毗陵小片,,,歌,TS,娑,,
GS01,顾山,太湖片-毗陵小片,,,歌,K,歌,əɯ,
GS01,顾山,太湖片-毗陵小片,,,歌,K,哥,əɯ,
GS01,顾山,太湖片-毗陵小片,,,歌,K,柯,əɯ,人名
GS01,顾山,太湖片-毗陵小片,,,歌,K,个,əɯ,一~，~人
GS01,顾山,太湖片-毗陵小片,,,歌,K,轲,,
GS01,顾山,太湖片-毗陵小片,,,歌,K,可,əɯ,可以
GS01,顾山,太湖片-毗陵小片,,,歌,K,蛾,əɯ,~子
GS01,顾山,太湖片-毗陵小片,,,歌,K,鹅,əɯ,
GS01,顾山,太湖片-毗陵小片,,,歌,K,俄,əɯ,俄罗斯
GS01,顾山,太湖片-毗陵小片,,,歌,K,娥,,
GS01,顾山,太湖片-毗陵小片,,,歌,K,我,əɯ,~里
