point_id,point_name,onset_class,merge_S0_S1,merge_S1_S2,merge_S2_S3,merge_S1_S3,comparison_scope,merge_S1_S3_two_link_mean,merge_NT_S2_S3_only
NH01,南汇惠南镇,K,0.2857,0.0,0.7037,0.0,S1-S3_two_link_mean,0.35185,
NH01,南汇惠南镇,M,0.1111,0.0,0.6,0.0,S1-S3_two_link_mean,0.3,
NH01,南汇惠南镇,N,,,0.3056,,S2-S3_only,,0.3056
NH01,南汇惠南镇,P,0.1053,0.0,0.6364,0.0,S1-S3_two_link_mean,0.3182,
NH01,南汇惠南镇,T,,,0.575,,S2-S3_only,,0.575
NH01,南汇惠南镇,TS,0.2866,0.0,0.625,0.0357,S1-S3_two_link_mean,0.3125,
NH01,南汇惠南镇,Ø,0.0,0.0,0.4286,0.0,S1-S3_two_link_mean,0.2143,
NT01,南通金沙镇,K,0.0,0.0,0.0,0.0,S1-S3_two_link_mean,0.0,
NT01,南通金沙镇,M,0.0,0.0,0.0,0.0,S1-S3_two_link_mean,0.0,
NT01,南通金沙镇,N,,,0.1765,,S2-S3_only,,0.1765
NT01,南通金沙镇,P,0.0,0.0,0.0,0.0,S1-S3_two_link_mean,0.0,
NT01,南通金沙镇,T,,,0.0,,S2-S3_only,,0.0
NT01,南通金沙镇,TS,0.0,0.0,0.1429,0.0,S1-S3_two_link_mean,0.07145,
NT01,南通金沙镇,Ø,0.0,0.0,0.0,0.0,S1-S3_two_link_mean,0.0,
PB01,彭埠镇,K,0.1364,0.3182,0.1481,0.0,S1-S3_two_link_mean,0.23315,
PB01,彭埠镇,M,0.1111,0.6,0.25,0.25,S1-S3_two_link_mean,0.425,
PB01,彭埠镇,N,,,0.0,,S2-S3_only,,0.0
PB01,彭埠镇,P,0.0526,0.6316,0.0,0.0,S1-S3_two_link_mean,0.3158,
PB01,彭埠镇,T,,,0.05,,S2-S3_only,,0.05
PB01,彭埠镇,TS,0.2253,0.4348,0.2143,0.2143,S1-S3_two_link_mean,0.32455,
PB01,彭埠镇,Ø,0.0,0.25,0.1905,0.0,S1-S3_two_link_mean,0.22025,
PH01,平湖城关,K,0.619,0.0,0.6667,0.0,S1-S3_two_link_mean,0.33335,
PH01,平湖城关,M,0.1111,0.6,0.6,0.625,S1-S3_two_link_mean,0.6,
PH01,平湖城关,N,,,0.5,,S2-S3_only,,0.5
PH01,平湖城关,P,0.0789,0.0,0.6667,0.0,S1-S3_two_link_mean,0.33335,
PH01,平湖城关,T,,,0.425,,S2-S3_only,,0.425
PH01,平湖城关,TS,0.0,0.0,0.75,0.0,S1-S3_two_link_mean,0.375,
PH01,平湖城关,Ø,0.0,0.0,0.5714,0.0,S1-S3_two_link_mean,0.2857,
QD01,启东吕四,K,0.197,0.0,0.0,0.0,S1-S3_two_link_mean,0.0,
QD01,启东吕四,M,0.1111,0.6667,0.75,0.6667,S1-S3_two_link_mean,0.70835,
QD01,启东吕四,N,,,0.1765,,S2-S3_only,,0.1765
QD01,启东吕四,P,0.0526,0.6316,0.0,0.0,S1-S3_two_link_mean,0.3158,
QD01,启东吕四,T,,,0.0,,S2-S3_only,,0.0
QD01,启东吕四,TS,0.1818,0.0,0.2143,0.0,S1-S3_two_link_mean,0.10715,
QD01,启东吕四,Ø,0.0,0.0,0.0,0.0,S1-S3_two_link_mean,0.0,
QP01,青浦商榻,K,0.658,0.0123,0.5303,0.0,S1-S3_two_link_mean,0.2713,
QP01,青浦商榻,M,0.1667,0.6,0.25,0.25,S1-S3_two_link_mean,0.425,
QP01,青浦商榻,N,,,0.5,,S2-S3_only,,0.5
QP01,青浦商榻,P,0.1316,0.0,0.7273,0.0,S1-S3_two_link_mean,0.36365,
QP01,青浦商榻,T,,,0.425,,S2-S3_only,,0.425
QP01,青浦商榻,TS,0.2253,0.0,0.6875,0.0714,S1-S3_two_link_mean,0.34375,
QP01,青浦商榻,Ø,0.0,0.0476,0.5714,0.0,S1-S3_two_link_mean,0.3095,
SH01,上海市区,K,0.8052,0.0,0.9394,0.0,S1-S3_two_link_mean,0.4697,
SH01,上海市区,M,0.1111,0.4,0.75,0.375,S1-S3_two_link_mean,0.575,
SH01,上海市区,N,,,0.6111,,S2-S3_only,,0.6111
SH01,上海市区,P,0.0526,0.0,0.8095,0.0,S1-S3_two_link_mean,0.40475,
SH01,上海市区,T,,,0.875,,S2-S3_only,,0.875
SH01,上海市区,TS,0.2233,0.0938,0.75,0.0,S1-S3_two_link_mean,0.4219,
SH01,上海市区,Ø,0.0,0.0,0.7619,0.0,S1-S3_two_link_mean,0.38095,
SJ01,松江镇,K,0.6407,0.0227,0.8788,0.0227,S1-S3_two_link_mean,0.45075,
SJ01,松江镇,M,0.2778,0.6111,0.75,0.6111,S1-S3_two_link_mean,0.68055,
SJ01,松江镇,N,,,0.713,,S2-S3_only,,0.713
SJ01,松江镇,P,0.2368,0.0,0.9091,0.0,S1-S3_two_link_mean,0.45455,
SJ01,松江镇,T,,,0.725,,S2-S3_only,,0.725
SJ01,松江镇,TS,0.1779,0.0312,0.75,0.0357,S1-S3_two_link_mean,0.3906,
SJ01,松江镇,Ø,0.0625,0.0,0.6667,0.0,S1-S3_two_link_mean,0.33335,
SJ02,泗泾,K,0.4762,0.0,0.4613,0.0,S1-S3_two_link_mean,0.23065,
SJ02,泗泾,M,0.1111,0.0,0.0,0.5556,S1-S3_two_link_mean,0.0,
SJ02,泗泾,N,,,0.3333,,S2-S3_only,,0.3333
SJ02,泗泾,P,0.1082,0.0,0.4545,0.0,S1-S3_two_link_mean,0.22725,
SJ02,泗泾,T,,,0.325,,S2-S3_only,,0.325
SJ02,泗泾,TS,0.2253,0.0,0.4688,0.0714,S1-S3_two_link_mean,0.2344,
SJ02,泗泾,Ø,0.0,0.0,0.4762,0.0,S1-S3_two_link_mean,0.2381,
SL01,三林,K,0.3766,0.0,0.5926,0.0,S1-S3_two_link_mean,0.2963,
SL01,三林,M,0.1111,0.0,0.625,0.0,S1-S3_two_link_mean,0.3125,
SL01,三林,N,,,0.3333,,S2-S3_only,,0.3333
SL01,三林,P,0.0526,0.0,0.4545,0.0,S1-S3_two_link_mean,0.22725,
SL01,三林,T,,,0.325,,S2-S3_only,,0.325
SL01,三林,TS,0.1304,0.0,0.5,0.0714,S1-S3_two_link_mean,0.25,
SL01,三林,Ø,0.0,0.0,0.4762,0.0,S1-S3_two_link_mean,0.2381,
SX01,绍兴城区东头埭,K,0.0455,0.6818,0.1852,0.0,S1-S3_two_link_mean,0.4335,
SX01,绍兴城区东头埭,M,0.1111,0.7778,0.3125,0.3125,S1-S3_two_link_mean,0.54515,
SX01,绍兴城区东头埭,N,,,0.1471,,S2-S3_only,,0.1471
SX01,绍兴城区东头埭,P,0.2193,0.7823,0.0,0.0,S1-S3_two_link_mean,0.39115,
SX01,绍兴城区东头埭,T,,,0.0,,S2-S3_only,,0.0
SX01,绍兴城区东头埭,TS,0.1344,0.6957,0.1786,0.1786,S1-S3_two_link_mean,0.43715,
SX01,绍兴城区东头埭,Ø,0.0,0.5238,0.2381,0.0,S1-S3_two_link_mean,0.38095,
SY02,上虞百官镇,K,0.0455,0.5556,0.2222,0.0,S1-S3_two_link_mean,0.3889,
SY02,上虞百官镇,M,0.0,0.6667,0.0,0.0,S1-S3_two_link_mean,0.33335,
SY02,上虞百官镇,N,,,0.0,,S2-S3_only,,0.0
SY02,上虞百官镇,P,0.1316,0.4928,0.0,0.0,S1-S3_two_link_mean,0.2464,
SY02,上虞百官镇,T,,,0.0,,S2-S3_only,,0.0
SY02,上虞百官镇,TS,0.1779,0.6712,0.0714,0.0714,S1-S3_two_link_mean,0.3713,
SY02,上虞百官镇,Ø,0.0625,0.3571,0.0476,0.0,S1-S3_two_link_mean,0.20235,
SZ01,苏州城区,K,0.7078,0.0,0.7576,0.0,S1-S3_two_link_mean,0.3788,
SZ01,苏州城区,M,0.1667,0.7222,0.75,0.7222,S1-S3_two_link_mean,0.7361,
SZ01,苏州城区,N,,,0.5556,,S2-S3_only,,0.5556
SZ01,苏州城区,P,0.1871,0.0,0.9048,0.0,S1-S3_two_link_mean,0.4524,
SZ01,苏州城区,T,,,0.775,,S2-S3_only,,0.775
SZ01,苏州城区,TS,0.1364,0.0625,0.7812,0.0714,S1-S3_two_link_mean,0.42185,
SZ01,苏州城区,Ø,0.0,0.0,0.7143,0.0,S1-S3_two_link_mean,0.35715,
SZ02,嵊州长乐,K,0.0455,0.0,0.0,0.0,S1-S3_two_link_mean,0.0,
SZ02,嵊州长乐,M,0.1111,0.0,0.6,0.0,S1-S3_two_link_mean,0.3,
SZ02,嵊州长乐,N,,,0.0588,,S2-S3_only,,0.0588
SZ02,嵊州长乐,P,0.0526,0.1364,0.0,0.0,S1-S3_two_link_mean,0.0682,
SZ02,嵊州长乐,T,,,0.0,,S2-S3_only,,0.0
SZ02,嵊州长乐,TS,0.1087,0.4062,0.2143,0.0,S1-S3_two_link_mean,0.31025,
SZ02,嵊州长乐,Ø,0.0,0.0,0.0,0.0,S1-S3_two_link_mean,0.0,
SZ03,嵊州崇仁镇,K,0.0,0.6818,0.0,0.0,S1-S3_two_link_mean,0.3409,
SZ03,嵊州崇仁镇,M,0.1111,0.3333,0.0,0.0,S1-S3_two_link_mean,0.16665,
SZ03,嵊州崇仁镇,N,,,0.0,,S2-S3_only,,0.0
SZ03,嵊州崇仁镇,P,0.0,0.6842,0.0,0.0,S1-S3_two_link_mean,0.3421,
SZ03,嵊州崇仁镇,T,,,0.0,,S2-S3_only,,0.0
SZ03,嵊州崇仁镇,TS,0.0,0.5,0.0,0.0,S1-S3_two_link_mean,0.25,
SZ03,嵊州崇仁镇,Ø,0.0,0.5625,0.0,0.0,S1-S3_two_link_mean,0.28125,
TC01,太仓沙溪,K,0.7056,0.0,0.7273,0.0,S1-S3_two_link_mean,0.36365,
TC01,太仓沙溪,M,0.1667,0.7222,0.8,0.7222,S1-S3_two_link_mean,0.7611,
TC01,太仓沙溪,N,,,0.6944,,S2-S3_only,,0.6944
TC01,太仓沙溪,P,0.1053,0.0,0.9091,0.0,S1-S3_two_link_mean,0.45455,
TC01,太仓沙溪,T,,,0.7,,S2-S3_only,,0.7
TC01,太仓沙溪,TS,0.2688,0.0938,0.7589,0.0714,S1-S3_two_link_mean,0.42635,
TC01,太仓沙溪,Ø,0.0,0.0,0.6667,0.0,S1-S3_two_link_mean,0.33335,
TC02,太仓城厢,K,0.658,0.0,0.6364,0.0,S1-S3_two_link_mean,0.3182,
TC02,太仓城厢,M,0.1111,0.8889,0.875,0.875,S1-S3_two_link_mean,0.88195,
TC02,太仓城厢,N,,,0.8235,,S2-S3_only,,0.8235
TC02,太仓城厢,P,0.0526,0.0,0.9048,0.0,S1-S3_two_link_mean,0.4524,
TC02,太仓城厢,T,,,0.775,,S2-S3_only,,0.775
TC02,太仓城厢,TS,0.1818,0.0,0.6875,0.0357,S1-S3_two_link_mean,0.34375,
TC02,太仓城厢,Ø,0.0625,0.0952,0.6667,0.0,S1-S3_two_link_mean,0.38095,
TL01,桐庐镇,K,0.0455,0.0926,0.6852,0.0,S1-S3_two_link_mean,0.3889,
TL01,桐庐镇,M,0.2222,0.0,0.5,0.0,S1-S3_two_link_mean,0.25,
TL01,桐庐镇,N,,,0.5833,,S2-S3_only,,0.5833
TL01,桐庐镇,P,0.2661,0.0455,0.5909,0.0,S1-S3_two_link_mean,0.3182,
TL01,桐庐镇,T,,,0.6167,,S2-S3_only,,0.6167
TL01,桐庐镇,TS,0.1344,0.0,0.6875,0.0,S1-S3_two_link_mean,0.34375,
TL01,桐庐镇,Ø,0.0312,0.0238,0.5476,0.0,S1-S3_two_link_mean,0.2857,
TX01,桐乡城区,K,0.5455,0.0,0.4074,0.0,S1-S3_two_link_mean,0.2037,
TX01,桐乡城区,M,0.3333,0.2222,0.375,0.2222,S1-S3_two_link_mean,0.2986,
TX01,桐乡城区,N,,,0.4706,,S2-S3_only,,0.4706
TX01,桐乡城区,P,0.3421,0.0,0.6667,0.0,S1-S3_two_link_mean,0.33335,
TX01,桐乡城区,T,,,0.375,,S2-S3_only,,0.375
TX01,桐乡城区,TS,0.2431,0.0,0.5625,0.0714,S1-S3_two_link_mean,0.28125,
TX01,桐乡城区,Ø,0.0,0.0476,0.381,0.0,S1-S3_two_link_mean,0.2143,
WJ01,吴江市松陵,K,0.6104,0.0,0.6061,0.0,S1-S3_two_link_mean,0.30305,
WJ01,吴江市松陵,M,0.1111,0.6,0.6,0.6667,S1-S3_two_link_mean,0.6,
WJ01,吴江市松陵,N,,,0.4444,,S2-S3_only,,0.4444
WJ01,吴江市松陵,P,0.0526,0.0,0.6364,0.0,S1-S3_two_link_mean,0.3182,
WJ01,吴江市松陵,T,,,0.5,,S2-S3_only,,0.5
WJ01,吴江市松陵,TS,0.1344,0.0,0.625,0.0714,S1-S3_two_link_mean,0.3125,
WJ01,吴江市松陵,Ø,0.0,0.0,0.4762,0.0,S1-S3_two_link_mean,0.2381,
WJ02,吴江芦墟,K,0.2381,0.0,0.5152,0.0,S1-S3_two_link_mean,0.2576,
WJ02,吴江芦墟,M,0.0,0.2,0.325,0.25,S1-S3_two_link_mean,0.2625,
WJ02,吴江芦墟,N,,,0.3889,,S2-S3_only,,0.3889
WJ02,吴江芦墟,P,0.0,0.0909,0.4545,0.0,S1-S3_two_link_mean,0.2727,
WJ02,吴江芦墟,T,,,0.475,,S2-S3_only,,0.475
WJ02,吴江芦墟,TS,0.0435,0.0,0.2188,0.0,S1-S3_two_link_mean,0.1094,
WJ02,吴江芦墟,Ø,0.0625,0.0,0.3333,0.0,S1-S3_two_link_mean,0.16665,
WX01,无锡城区,K,0.7273,0.0,0.0,0.0909,S1-S3_two_link_mean,0.0,
WX01,无锡城区,M,0.0556,0.0,0.75,0.0,S1-S3_two_link_mean,0.375,
WX01,无锡城区,N,,,0.6944,,S2-S3_only,,0.6944
WX01,无锡城区,P,0.1053,0.0,0.8571,0.0,S1-S3_two_link_mean,0.42855,
WX01,无锡城区,T,,,0.775,,S2-S3_only,,0.775
WX01,无锡城区,TS,0.1957,0.5625,0.5625,0.6087,S1-S3_two_link_mean,0.5625,
WX01,无锡城区,Ø,0.1875,0.0476,0.0476,0.375,S1-S3_two_link_mean,0.0476,
WX02,吴县光福镇,K,0.6104,0.0,0.9091,0.0,S1-S3_two_link_mean,0.45455,
WX02,吴县光福镇,M,0.2222,0.4444,0.75,0.4444,S1-S3_two_link_mean,0.5972,
WX02,吴县光福镇,N,,,0.7222,,S2-S3_only,,0.7222
WX02,吴县光福镇,P,0.1608,0.0,0.7143,0.0,S1-S3_two_link_mean,0.35715,
WX02,吴县光福镇,T,,,0.75,,S2-S3_only,,0.75
WX02,吴县光福镇,TS,0.2253,0.0,0.5,0.0714,S1-S3_two_link_mean,0.25,
WX02,吴县光福镇,Ø,0.0,0.0,0.6667,0.0,S1-S3_two_link_mean,0.33335,
XC01,新昌城关,K,0.1818,0.0185,0.0,0.0,S1-S3_two_link_mean,0.00925,
XC01,新昌城关,M,0.1111,0.1111,0.6,0.1111,S1-S3_two_link_mean,0.35555,
XC01,新昌城关,N,,,0.0588,,S2-S3_only,,0.0588
XC01,新昌城关,P,0.0526,0.0526,0.0,0.0,S1-S3_two_link_mean,0.0263,
XC01,新昌城关,T,,,0.025,,S2-S3_only,,0.025
XC01,新昌城关,TS,0.1344,0.0312,0.1429,0.0,S1-S3_two_link_mean,0.08705,
XC01,新昌城关,Ø,0.1111,0.0,0.0,0.0,S1-S3_two_link_mean,0.0,
XD01,新登下港,K,0.119,0.0,0.7576,0.0,S1-S3_two_link_mean,0.3788,
XD01,新登下港,M,0.1111,0.0,0.625,0.0,S1-S3_two_link_mean,0.3125,
XD01,新登下港,N,,,0.5833,,S2-S3_only,,0.5833
XD01,新登下港,P,0.1637,0.0455,0.6364,0.0,S1-S3_two_link_mean,0.34095,
XD01,新登下港,T,,,0.775,,S2-S3_only,,0.775
XD01,新登下港,TS,0.1344,0.0,0.875,0.0,S1-S3_two_link_mean,0.4375,
XD01,新登下港,Ø,0.1111,0.0476,0.7143,0.0,S1-S3_two_link_mean,0.38095,
XH02,萧山城厢,K,0.0909,0.5556,0.0,0.0,S1-S3_two_link_mean,0.2778,
XH02,萧山城厢,M,0.0,0.6,0.6,0.75,S1-S3_two_link_mean,0.6,
XH02,萧山城厢,N,,,0.0572,,S2-S3_only,,0.0572
XH02,萧山城厢,P,0.1901,0.6507,0.0,0.0,S1-S3_two_link_mean,0.32535,
XH02,萧山城厢,T,,,0.0,,S2-S3_only,,0.0
XH02,萧山城厢,TS,0.2194,0.5652,0.0714,0.0714,S1-S3_two_link_mean,0.3183,
XH02,萧山城厢,Ø,0.0,0.4762,0.234,0.0435,S1-S3_two_link_mean,0.3551,
XS01,象山丹城,K,0.0952,0.5185,0.2963,0.0,S1-S3_two_link_mean,0.4074,
XS01,象山丹城,M,0.1667,0.6,0.6,0.6111,S1-S3_two_link_mean,0.6,
XS01,象山丹城,N,,,0.1144,,S2-S3_only,,0.1144
XS01,象山丹城,P,0.0526,0.6316,0.0,0.0,S1-S3_two_link_mean,0.3158,
XS01,象山丹城,T,,,0.0,,S2-S3_only,,0.0
XS01,象山丹城,TS,0.1324,0.625,0.1429,0.1429,S1-S3_two_link_mean,0.38395,
XS01,象山丹城,Ø,0.1424,0.4062,0.0952,0.0,S1-S3_two_link_mean,0.2507,
XS03,萧山南阳镇,K,0.0476,0.5455,0.1481,0.0,S1-S3_two_link_mean,0.3468,
XS03,萧山南阳镇,M,0.1111,0.6,0.125,0.125,S1-S3_two_link_mean,0.3625,
XS03,萧山南阳镇,N,,,0.0,,S2-S3_only,,0.0
XS03,萧山南阳镇,P,0.0526,0.4737,0.0,0.0,S1-S3_two_link_mean,0.23685,
XS03,萧山南阳镇,T,,,0.05,,S2-S3_only,,0.05
XS03,萧山南阳镇,TS,0.1087,0.5,0.1429,0.1429,S1-S3_two_link_mean,0.32145,
XS03,萧山南阳镇,Ø,0.0,0.2857,0.1905,0.0,S1-S3_two_link_mean,0.2381,
XZ01,莘庄,K,0.5152,0.0,0.5926,0.0,S1-S3_two_link_mean,0.2963,
XZ01,莘庄,M,0.1111,0.5556,0.6,0.5556,S1-S3_two_link_mean,0.5778,
XZ01,莘庄,N,,,0.3889,,S2-S3_only,,0.3889
XZ01,莘庄,P,0.0526,0.0,0.4545,0.0,S1-S3_two_link_mean,0.22725,
XZ01,莘庄,T,,,0.325,,S2-S3_only,,0.325
XZ01,莘庄,TS,0.1344,0.0625,0.5,0.0714,S1-S3_two_link_mean,0.28125,
XZ01,莘庄,Ø,0.0,0.0,0.4762,0.0,S1-S3_two_link_mean,0.2381,
YQ01,於潜,K,0.0952,0.0,0.7576,0.0,S1-S3_two_link_mean,0.3788,
YQ01,於潜,M,0.0,0.0,0.6,0.0,S1-S3_two_link_mean,0.3,
YQ01,於潜,N,,,0.5556,,S2-S3_only,,0.5556
YQ01,於潜,P,0.1111,0.0,0.6818,0.0,S1-S3_two_link_mean,0.3409,
YQ01,於潜,T,,,0.775,,S2-S3_only,,0.775
YQ01,於潜,TS,0.3518,0.0,0.6562,0.0,S1-S3_two_link_mean,0.3281,
YQ01,於潜,Ø,0.0625,0.0,0.5238,0.0,S1-S3_two_link_mean,0.2619,
YX01,宜兴,K,0.0476,0.0,0.0,0.0,S1-S3_two_link_mean,0.0,
YX01,宜兴,M,0.0,0.0,0.25,0.0,S1-S3_two_link_mean,0.125,
YX01,宜兴,N,,,0.0,,S2-S3_only,,0.0
YX01,宜兴,P,0.0526,0.0,0.0,0.0,S1-S3_two_link_mean,0.0,
YX01,宜兴,T,,,0.0,,S2-S3_only,,0.0
YX01,宜兴,TS,0.2253,0.0625,0.1429,0.0,S1-S3_two_link_mean,0.1027,
YX01,宜兴,Ø,0.0,0.0,0.0,0.0,S1-S3_two_link_mean,0.0,
YX02, 鄞县中区,K,0.0455,0.037,0.0,0.0,S1-S3_two_link_mean,0.0185,
YX02, 鄞县中区,M,0.1111,0.0,0.6,0.0,S1-S3_two_link_mean,0.3,
YX02, 鄞县中区,N,,,0.0588,,S2-S3_only,,0.0588
YX02, 鄞县中区,P,0.2193,0.0,0.0,0.0,S1-S3_two_link_mean,0.0,
YX02, 鄞县中区,T,,,0.0,,S2-S3_only,,0.0
YX02, 鄞县中区,TS,0.0435,0.0,0.1429,0.0,S1-S3_two_link_mean,0.07145,
YX02, 鄞县中区,Ø,0.0,0.0,0.0,0.0,S1-S3_two_link_mean,0.0,
YY01,余姚城关,K,0.1136,0.037,0.0909,0.0152,S1-S3_two_link_mean,0.06395,
YY01,余姚城关,M,0.1111,0.2,0.75,0.0,S1-S3_two_link_mean,0.475,
YY01,余姚城关,N,,,0.0,,S2-S3_only,,0.0
YY01,余姚城关,P,0.0526,0.0455,0.0,0.0,S1-S3_two_link_mean,0.02275,
YY01,余姚城关,T,,,0.0,,S2-S3_only,,0.0
YY01,余姚城关,TS,0.0,0.0625,0.2143,0.0,S1-S3_two_link_mean,0.1384,
YY01,余姚城关,Ø,0.0,0.0,0.0,0.0,S1-S3_two_link_mean,0.0,
ZJ01,诸暨城关,K,0.0952,0.0,0.0,0.0,S1-S3_two_link_mean,0.0,
ZJ01,诸暨城关,M,0.1111,0.0,0.5,0.0,S1-S3_two_link_mean,0.25,
ZJ01,诸暨城关,N,,,0.0,,S2-S3_only,,0.0
ZJ01,诸暨城关,P,0.2895,0.0455,0.0,0.0,S1-S3_two_link_mean,0.02275,
ZJ01,诸暨城关,T,,,0.05,,S2-S3_only,,0.05
ZJ01,诸暨城关,TS,0.1976,0.1562,0.1429,0.0,S1-S3_two_link_mean,0.14955,
ZJ01,诸暨城关,Ø,0.1111,0.0,0.0435,0.0,S1-S3_two_link_mean,0.02175,
ZJ02,诸暨璜山镇,K,0.0455,0.0,0.0,0.0,S1-S3_two_link_mean,0.0,
ZJ02,诸暨璜山镇,M,0.1667,0.0,0.6,0.0,S1-S3_two_link_mean,0.3,
ZJ02,诸暨璜山镇,N,,,0.0,,S2-S3_only,,0.0
ZJ02,诸暨璜山镇,P,0.1579,0.0,0.0,0.0,S1-S3_two_link_mean,0.0,
ZJ02,诸暨璜山镇,T,,,0.0,,S2-S3_only,,0.0
ZJ02,诸暨璜山镇,TS,0.2905,0.0312,0.1429,0.0,S1-S3_two_link_mean,0.08705,
ZJ02,诸暨璜山镇,Ø,0.0625,0.0,0.0,0.0,S1-S3_two_link_mean,0.0,
ZJ03,诸暨直埠镇,K,0.0,0.0,0.0,0.0,S1-S3_two_link_mean,0.0,
ZJ03,诸暨直埠镇,M,0.1111,0.0,0.0,0.0,S1-S3_two_link_mean,0.0,
ZJ03,诸暨直埠镇,N,,,0.0,,S2-S3_only,,0.0
ZJ03,诸暨直埠镇,P,0.1579,0.0455,0.0,0.0,S1-S3_two_link_mean,0.02275,
ZJ03,诸暨直埠镇,T,,,0.0,,S2-S3_only,,0.0
ZJ03,诸暨直埠镇,TS,0.1107,0.0312,0.1429,0.0,S1-S3_two_link_mean,0.08705,
ZJ03,诸暨直埠镇,Ø,0.0625,0.0,0.0,0.0,S1-S3_two_link_mean,0.0,
ZP01,周浦,K,0.3766,0.0,0.5926,0.0,S1-S3_two_link_mean,0.2963,
ZP01,周浦,M,0.1111,0.0,0.5,0.125,S1-S3_two_link_mean,0.25,
ZP01,周浦,N,,,0.3333,,S2-S3_only,,0.3333
ZP01,周浦,P,0.0526,0.0,0.4545,0.0,S1-S3_two_link_mean,0.22725,
ZP01,周浦,T,,,0.325,,S2-S3_only,,0.325
ZP01,周浦,TS,0.1304,0.0,0.5,0.0714,S1-S3_two_link_mean,0.25,
ZP01,周浦,Ø,0.0,0.0,0.4762,0.0,S1-S3_two_link_mean,0.2381,
ZR01,真如,K,0.4199,0.0,0.6667,0.0,S1-S3_two_link_mean,0.33335,
ZR01,真如,M,0.1111,0.0,0.625,0.0,S1-S3_two_link_mean,0.3125,
ZR01,真如,N,,,0.3333,,S2-S3_only,,0.3333
ZR01,真如,P,0.0526,0.0,0.4545,0.0,S1-S3_two_link_mean,0.22725,
ZR01,真如,T,,,0.325,,S2-S3_only,,0.325
ZR01,真如,TS,0.2253,0.0,0.5,0.0714,S1-S3_two_link_mean,0.25,
ZR01,真如,Ø,0.0,0.0,0.4762,0.0,S1-S3_two_link_mean,0.2381,
ZS01,舟山定海,K,0.1818,0.0185,0.0185,0.0,S1-S3_two_link_mean,0.0185,
ZS01,舟山定海,M,0.1111,0.0,0.75,0.0,S1-S3_two_link_mean,0.375,
ZS01,舟山定海,N,,,0.0,,S2-S3_only,,0.0
ZS01,舟山定海,P,0.1345,0.0,0.0455,0.0,S1-S3_two_link_mean,0.02275,
ZS01,舟山定海,T,,,0.025,,S2-S3_only,,0.025
ZS01,舟山定海,TS,0.0435,0.0625,0.1429,0.0,S1-S3_two_link_mean,0.1027,
ZS01,舟山定海,Ø,0.0312,0.0,0.0,0.0,S1-S3_two_link_mean,0.0,
