point_id,point_name,onset_class,S0,S1,S2,S3,一级分类,二级分类,三级分类(详细模式),是否越级
WX01,无锡城区,Ø,a,u,əɯ,u,合流型,单一合并,S1=S3 [越级],True
WX02,吴县光福镇,K,a,a,əu,əu,合流型,多元合并,S0=S1，S2=S3,False
WX02,吴县光福镇,M,a,o,o,o,合流型,多元合并,S1=S2=S3,False
WX02,吴县光福镇,P,a,o,u,u,合流型,单一合并,S2=S3,False
WX02,吴县光福镇,TS,a,o,əu,əu,合流型,单一合并,S2=S3,False
WX02,吴县光福镇,Ø,a,o,əu,əu,合流型,单一合并,S2=S3,False
XC01,新昌城关,K,a,o̞,o,u,分立型,全不等,全对立,False
XC01,新昌城关,M,a,o̞,o,o,合流型,单一合并,S2=S3,False
XC01,新昌城关,P,a,o̞,o,u,分立型,全不等,全对立,False
XC01,新昌城关,TS,a,o̞,o,u,分立型,全不等,全对立,False
XC01,新昌城关,Ø,a,o̞,o,u,分立型,全不等,全对立,False
XD01,新登下港,K,a,o,u,u,合流型,单一合并,S2=S3,False
XD01,新登下港,M,a,o,u,u,合流型,单一合并,S2=S3,False
XD01,新登下港,P,a,o,u,u,合流型,单一合并,S2=S3,False
XD01,新登下港,TS,ia,yo,u,u,合流型,单一合并,S2=S3,False
XD01,新登下港,Ø,a,o,u,u,合流型,单一合并,S2=S3,False
XH02,萧山城厢,K,a,o,o,u,合流型,单一合并,S1=S2,False
XH02,萧山城厢,M,a,o,o,o,合流型,多元合并,S1=S2=S3,False
XH02,萧山城厢,P,a,o,o,u,合流型,单一合并,S1=S2,False
XH02,萧山城厢,TS,a,o,o,u,合流型,单一合并,S1=S2,False
XH02,萧山城厢,Ø,a,o,o,u,合流型,单一合并,S1=S2,False
XS01,象山丹城,K,a,o,o,u,合流型,单一合并,S1=S2,False
XS01,象山丹城,M,a,o,o,o,合流型,多元合并,S1=S2=S3,False
XS01,象山丹城,P,a,o,o,u,合流型,单一合并,S1=S2,False
XS01,象山丹城,TS,a,o,o,u,合流型,单一合并,S1=S2,False
XS01,象山丹城,Ø,a,o,o,u,合流型,单一合并,S1=S2,False
XS03,萧山南阳镇,K,a,o,o,u,合流型,单一合并,S1=S2,False
XS03,萧山南阳镇,M,a,o,o,o,合流型,多元合并,S1=S2=S3,False
XS03,萧山南阳镇,P,a,o,o,u,合流型,单一合并,S1=S2,False
XS03,萧山南阳镇,TS,a,o,o,u,合流型,单一合并,S1=S2,False
XS03,萧山南阳镇,Ø,a,o,o,u,合流型,单一合并,S1=S2,False
XZ01,莘庄,K,ᴀ,ᴀ,u,u,合流型,多元合并,S0=S1，S2=S3,False
XZ01,莘庄,M,ᴀ,o,o,o,合流型,多元合并,S1=S2=S3,False
XZ01,莘庄,P,ᴀ,o,u,u,合流型,单一合并,S2=S3,False
XZ01,莘庄,TS,ᴀ,o,u,u,合流型,单一合并,S2=S3,False
XZ01,莘庄,Ø,ᴀ,iᴀ,u,u,合流型,单一合并,S2=S3,False
YQ01,於潜,K,a,ia,u,u,合流型,单一合并,S2=S3,False
YQ01,於潜,M,a,uo,u,u,合流型,单一合并,S2=S3,False
YQ01,於潜,P,a,uo,u,u,合流型,单一合并,S2=S3,False
YQ01,於潜,TS,a,uo,u,u,合流型,单一合并,S2=S3,False
YQ01,於潜,Ø,a,uo,u,u,合流型,单一合并,S2=S3,False
YX01,宜兴,K,ia,o,ɷ,u,分立型,全不等,全对立,False
YX01,宜兴,M,a,o,au,ɷ,分立型,全不等,全对立,False
YX01,宜兴,P,a,o,au,u,分立型,全不等,全对立,False
YX01,宜兴,TS,a,o,ɷ,u,分立型,全不等,全对立,False
YX01,宜兴,Ø,ia,o,ɷ,u,分立型,全不等,全对立,False
YX02,鄞县中区,K,a,o,əu,u,分立型,全不等,全对立,False
YX02,鄞县中区,M,a,o,əu,əu,合流型,单一合并,S2=S3,False
YX02,鄞县中区,P,a,o,əu,u,分立型,全不等,全对立,False
YX02,鄞县中区,TS,a,o,əu,u,分立型,全不等,全对立,False
YX02,鄞县中区,Ø,a,o,əu,u,分立型,全不等,全对立,False
YY01,余姚城关,K,a,o,ou,u,分立型,全不等,全对立,False
YY01,余姚城关,M,a,o,ou,ou,合流型,单一合并,S2=S3,False
YY01,余姚城关,P,a,o,ou,u,分立型,全不等,全对立,False
YY01,余姚城关,TS,a,o,ou,ɥ,分立型,全不等,全对立,False
YY01,余姚城关,Ø,a,o,ou,u,分立型,全不等,全对立,False
ZJ01,诸暨城关,K,a,o,ɔi,u,分立型,全不等,全对立,False
ZJ01,诸暨城关,M,a,o,ɔi,ɔi,合流型,单一合并,S2=S3,False
ZJ01,诸暨城关,P,a,o,ɔi,u,分立型,全不等,全对立,False
ZJ01,诸暨城关,TS,a,o,ɔi,u,分立型,全不等,全对立,False
ZJ01,诸暨城关,Ø,a,o,ɔi,u,分立型,全不等,全对立,False
ZJ02,诸暨璜山镇,K,a,ʊ,ɤɯ,u,分立型,全不等,全对立,False
ZJ02,诸暨璜山镇,M,a,ʊ,ɤɯ,ɤɯ,合流型,单一合并,S2=S3,False
ZJ02,诸暨璜山镇,P,a,ʊ,ɤɯ,u,分立型,全不等,全对立,False
ZJ02,诸暨璜山镇,TS,a,ʊ,ɤɯ,u,分立型,全不等,全对立,False
ZJ02,诸暨璜山镇,Ø,a,ʊ,ɤɯ,u,分立型,全不等,全对立,False
ZJ03,诸暨直埠镇,K,a,o,ou,u,分立型,全不等,全对立,False
ZJ03,诸暨直埠镇,M,a,o,ou,u,分立型,全不等,全对立,False
ZJ03,诸暨直埠镇,P,a,o,ou,u,分立型,全不等,全对立,False
ZJ03,诸暨直埠镇,TS,a,o,ou,u,分立型,全不等,全对立,False
ZJ03,诸暨直埠镇,Ø,a,o,ou,u,分立型,全不等,全对立,False
ZP01,周浦,K,ᴀ,ᴀ,u,u,合流型,多元合并,S0=S1，S2=S3,False
ZP01,周浦,M,ᴀ,o,u,u,合流型,单一合并,S2=S3,False
ZP01,周浦,P,ᴀ,o,u,u,合流型,单一合并,S2=S3,False
ZP01,周浦,TS,ᴀ,iɔ,u,u,合流型,单一合并,S2=S3,False
ZP01,周浦,Ø,ᴀ,ɔ,u,u,合流型,单一合并,S2=S3,False
ZR01,真如,K,iᴀ,ᴀ,u,u,合流型,单一合并,S2=S3,False
ZR01,真如,M,ᴀ,o,u,u,合流型,单一合并,S2=S3,False
ZR01,真如,P,ᴀ,o,u,u,合流型,单一合并,S2=S3,False
ZR01,真如,TS,ᴀ,o,u,u,合流型,单一合并,S2=S3,False
ZR01,真如,Ø,ᴀ,ɔ,u,u,合流型,单一合并,S2=S3,False
ZS01,舟山定海,K,a,o,au,u,分立型,全不等,全对立,False
ZS01,舟山定海,M,a,o,au,au,合流型,单一合并,S2=S3,False
ZS01,舟山定海,P,a,o,au,u,分立型,全不等,全对立,False
ZS01,舟山定海,TS,a,o,au,u,分立型,全不等,全对立,False
ZS01,舟山定海,Ø,a,o,au,u,分立型,全不等,全对立,False
