point_id,point_name,onset_class,S0,S1,S2,S3,一级分类,二级分类,三级分类(详细模式),是否越级
FC01,奉城,TS,ɑ,o,u,u,合流型,单一合并,S2=S3,False
FC01,奉城,Ø,ɑ,ɔ,u,u,合流型,单一合并,S2=S3,False
FH01,奉化西坞,K,a,o,əu,u,分立型,全不等,全对立,False
FH01,奉化西坞,M,a,o,əu,əu,合流型,单一合并,S2=S3,False
FH01,奉化西坞,P,a,o,əu,u,分立型,全不等,全对立,False
FH01,奉化西坞,TS,a,o,əu,u,分立型,全不等,全对立,False
FH01,奉化西坞,Ø,a,o,əu,u,分立型,全不等,全对立,False
FJ01,枫泾镇,K,ᴀ,ᴀ,əu,əu,合流型,多元合并,S0=S1，S2=S3,False
FJ01,枫泾镇,M,ᴀ,o,u,u,合流型,单一合并,S2=S3,False
FJ01,枫泾镇,P,ᴀ,o,u,u,合流型,单一合并,S2=S3,False
FJ01,枫泾镇,TS,ᴀ,o,u,u,合流型,单一合并,S2=S3,False
FJ01,枫泾镇,Ø,ᴀ,o,u,u,合流型,单一合并,S2=S3,False
FX01,奉贤,K,iɑ,ɑ,u,u,合流型,单一合并,S2=S3,False
FX01,奉贤,M,ɑ,o,o,o,合流型,多元合并,S1=S2=S3,False
FX01,奉贤,P,ɑ,o,u,u,合流型,单一合并,S2=S3,False
FX01,奉贤,TS,ɑ,o,u,u,合流型,单一合并,S2=S3,False
FX01,奉贤,Ø,ɑ,iɑ,u,u,合流型,单一合并,S2=S3,False
FY01,富阳城关,K,a,o,ʊ,u,分立型,全不等,全对立,False
FY01,富阳城关,M,a,o,ʊ,ʊ,合流型,单一合并,S2=S3,False
FY01,富阳城关,P,a,o,u,u,合流型,单一合并,S2=S3,False
FY01,富阳城关,TS,a,o,ʊ,ʊ,合流型,单一合并,S2=S3,False
FY01,富阳城关,Ø,a,o,u,u,合流型,单一合并,S2=S3,False
FY02,富阳东梓关,K,a,uo,u,u,合流型,单一合并,S2=S3,False
FY02,富阳东梓关,M,a,uo,u,u,合流型,单一合并,S2=S3,False
FY02,富阳东梓关,P,a,uo,u,u,合流型,单一合并,S2=S3,False
